                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/prompt_warmup_factor
                     38,                0.68293,                0.44882,                 1.3714,                0.03023,                0.00045,                0.83619,                0.81268,                0.86579,                0.72512,                0.65197,                0.40392,                 1.4487,                0.02841,                 0.0004,               0.006337,               0.006337,               0.006337,               0.042363,                 0.4393,                0.48167,               0.055748,                0.14343,                0.51845,               0.044573,             0.00043977,                0.50005,                0.49995,               0.030622,                0.49772,                0.52834,               0.045869,                0.14643,                0.51599,               0.044589,              0.0015028,                      1
                     39,                0.67897,                0.44397,                 1.3726,                 0.0301,                0.00045,                0.82765,                0.82351,                0.86456,                0.72327,                0.65342,                0.40397,                 1.4449,                0.02833,                 0.0004,               0.006238,               0.006238,               0.006238,               0.042644,                0.43944,                0.48208,               0.056118,                0.14358,                0.51843,               0.044704,             0.00041786,                0.50005,                0.49995,               0.030773,                0.49798,                0.52875,               0.046125,                0.14644,                0.51605,               0.044709,              0.0014234,                      1
                     40,                0.67763,                 0.4451,                 1.3666,                0.03013,                0.00045,                0.83036,                0.82634,                0.86633,                0.72545,                0.65282,                0.40326,                 1.4473,                0.02829,                 0.0004,               0.006139,               0.006139,               0.006139,               0.041834,                0.43875,                0.48059,               0.055239,                0.14353,                0.51863,               0.044815,             0.00039585,                0.50005,                0.49995,               0.030242,                0.49904,                0.52929,                0.04557,                0.14635,                0.51622,               0.044825,              0.0013398,                      1
                     41,                0.67767,                0.44131,                 1.3721,                0.03019,                0.00045,                0.82376,                0.84008,                0.86918,                0.72766,                0.65268,                0.40249,                 1.4466,                0.02826,                0.00039,                0.00604,                0.00604,                0.00604,               0.042685,                 0.4401,                0.48279,               0.056199,                0.14416,                0.51876,               0.045138,             0.00037974,                0.50006,                0.49994,               0.030803,                0.49811,                0.52891,               0.046171,                 0.1468,                0.51644,                0.04512,               0.001271,                      1
                     42,                0.67504,                0.44141,                 1.3636,                0.03004,                0.00045,                 0.8302,                0.83014,                0.86836,                0.72721,                0.65168,                0.40235,                 1.4459,                0.02819,                0.00039,               0.005941,               0.005941,               0.005941,               0.042189,                 0.4406,                0.48279,               0.055654,                0.14393,                0.51843,               0.045135,             0.00035708,                0.50006,                0.49994,               0.030295,                0.49873,                0.52902,               0.045608,                0.14613,                0.51646,               0.045151,              0.0012135,                      1
                     43,                0.66971,                0.43723,                 1.3697,                0.02988,                0.00045,                 0.8302,                0.82487,                0.86515,                0.72512,                0.65054,                0.40232,                 1.4517,                0.02817,                0.00039,               0.005842,               0.005842,               0.005842,               0.040941,                0.44374,                0.48468,               0.054526,                0.14341,                0.51866,               0.045035,             0.00033783,                0.50006,                0.49994,               0.029378,                0.49994,                0.52932,               0.044775,                0.14573,                0.51676,               0.045031,              0.0011566,                      1
                     44,                0.67163,                0.43575,                  1.363,                   0.03,                0.00045,                0.83286,                0.82319,                0.86561,                 0.7253,                0.65059,                 0.4025,                 1.4472,                0.02813,                0.00039,               0.005743,               0.005743,               0.005743,               0.041783,                0.44389,                0.48567,               0.055488,                0.14476,                0.51881,                0.04514,             0.00032146,                0.50007,                0.49993,               0.030354,                0.49968,                0.53003,               0.045859,                0.14667,                0.51694,               0.045128,               0.001096,                      1
                     45,                0.67492,                0.43788,                  1.366,                0.02987,                0.00045,                0.82665,                0.82744,                0.86392,                 0.7248,                0.65025,                0.40303,                 1.4449,                0.02809,                0.00039,               0.005644,               0.005644,               0.005644,               0.041078,                0.44216,                0.48323,               0.054531,                0.14325,                0.51897,               0.044885,             0.00030767,                0.50007,                0.49993,               0.030021,                0.50046,                0.53048,               0.045327,                0.14611,                0.51702,               0.044891,              0.0010449,                      1
                     46,                0.67102,                0.43561,                  1.372,                0.02986,                0.00045,                0.82713,                0.82915,                0.86331,                0.72469,                0.65053,                0.40308,                 1.4465,                0.02805,                0.00039,               0.005545,               0.005545,               0.005545,                0.04107,                0.44171,                0.48278,               0.054457,                0.14335,                0.51896,               0.044942,             0.00029257,                0.50007,                0.49993,               0.029555,                 0.5001,                0.52965,               0.044795,                0.14564,                0.51716,               0.044937,              0.0010016,                      1
                     47,                0.67085,                0.43269,                 1.3616,                0.02979,                0.00045,                0.82157,                0.83234,                0.86127,                0.72286,                0.64932,                0.40322,                 1.4444,                0.02802,                0.00039,               0.005446,               0.005446,               0.005446,               0.040996,                0.44605,                0.48704,               0.054578,                0.14444,                0.51885,               0.044722,             0.00028096,                0.50008,                0.49992,               0.029782,                 0.5029,                0.53268,               0.045173,                0.14621,                 0.5173,               0.044725,              0.0009471,                      1
