                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_global_mean,   p2/P3_rgb_global_mse,   p2/P3_rgb_global_std, p2/P3_rgb_spatial_mean,  p2/P3_rgb_spatial_mse,  p2/P3_rgb_spatial_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_global_mean,   p2/P4_rgb_global_mse,   p2/P4_rgb_global_std, p2/P4_rgb_spatial_mean,  p2/P4_rgb_spatial_mse,  p2/P4_rgb_spatial_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,  p2/P5_rgb_global_mean,   p2/P5_rgb_global_mse,   p2/P5_rgb_global_std,p2/rgb_global_teacher_max,p2/rgb_global_teacher_mean,p2/rgb_global_teacher_min,p2/rgb_global_teacher_std,p2/prompt_warmup_factor
                     21,                0.71691,                0.48816,                 1.3787,                0.03198,                0.00045,                  6e-05,                0.79631,                0.79858,                0.83461,                0.68793,                0.67592,                 0.4438,                  1.457,                 0.0305,                0.00039,                  5e-05,                0.00802,                0.00802,                0.00802,               0.051817,                 0.4147,                0.46652,               0.064287,                0.14019,                0.52059,              0.0037587,               0.050644,                0.51963,               0.044864,             0.00084915,                0.50003,                0.49997,             3.9697e-05,               0.044011,                0.45711,                0.50112,               0.057839,                0.14349,                0.50156,               0.030978,                0.13472,                0.51601,               0.044848,               0.003154,                0.50013,                0.49987,             0.00016781,                0.51848,              0.0044673,               0.055471,                 0.6945,                0.52073,                0.32786,               0.093356,                      1
                     22,                0.70864,                0.48587,                 1.3732,                0.03197,                0.00045,                  5e-05,                0.80607,                0.81071,                0.84482,                0.69914,                0.66818,                0.43276,                 1.4403,                0.03015,                0.00039,                  5e-05,               0.007921,               0.007921,               0.007921,               0.051571,                0.41819,                0.46976,               0.064427,                0.14237,                0.52201,              0.0035084,               0.052259,                0.51975,                0.04489,             0.00077641,                0.50003,                0.49997,             4.3247e-05,               0.041049,                0.46419,                0.50524,               0.055397,                0.14583,                0.52088,               0.024947,                 0.1368,                0.51611,               0.044856,              0.0029241,                0.50013,                0.49987,             0.00017054,                 0.5202,              0.0046008,               0.052814,                 0.6923,                0.51999,                0.32324,               0.093398,                      1
                     23,                0.71128,                0.48625,                 1.3819,                0.03169,                0.00045,                  5e-05,                0.81581,                0.79796,                0.85137,                0.70643,                0.66817,                0.43114,                 1.4333,                   0.03,                 0.0004,                  5e-05,               0.007822,               0.007822,               0.007822,               0.050101,                0.41716,                0.46726,               0.062666,                0.14102,                0.51877,              0.0033846,               0.053006,                0.51932,               0.044797,             0.00071709,                0.50003,                0.49997,             4.6045e-05,               0.039323,                0.46595,                0.50527,               0.053432,                  0.145,                0.49776,                0.02904,                0.13937,                0.51586,               0.044772,              0.0026571,                0.50013,                0.49987,             0.00017382,                0.51757,              0.0042898,               0.055041,                0.69296,                0.52119,                0.32325,               0.093298,                      1
                     24,                0.70886,                0.48405,                 1.3735,                 0.0317,                0.00045,                  5e-05,                0.81402,                0.77761,                0.83669,                0.69505,                0.66905,                0.43159,                 1.4541,                0.02988,                 0.0004,                  6e-05,               0.007723,               0.007723,               0.007723,               0.049049,                0.42091,                0.46996,               0.061987,                0.14224,                0.52111,              0.0036263,               0.050553,                0.51904,               0.045013,             0.00066815,                0.50003,                0.49997,             4.9662e-05,               0.037765,                0.47088,                0.50865,               0.052307,                0.14616,                0.52148,               0.026993,                0.13539,                0.51584,               0.044986,              0.0024907,                0.50013,                0.49987,             0.00017649,                0.51901,              0.0043854,               0.053377,                0.69386,                0.52003,                0.32394,               0.093762,                      1
                     25,                0.70435,                0.47349,                 1.3762,                0.03174,                0.00045,                  5e-05,                0.80596,                0.81698,                0.84957,                0.70543,                0.66304,                0.42479,                  1.444,                0.02968,                0.00039,                  5e-05,               0.007624,               0.007624,               0.007624,               0.048991,                0.42141,                 0.4704,               0.062051,                0.14276,                0.52274,              0.0035493,                0.05219,                0.51904,               0.044693,             0.00061854,                0.50004,                0.49996,             5.3617e-05,               0.036867,                0.47274,                0.50961,               0.051606,                 0.1466,                0.50119,               0.026341,                0.13447,                0.51609,               0.044669,              0.0023074,                0.50013,                0.49987,             0.00017878,                0.52073,              0.0044473,               0.052651,                0.69441,                0.51902,                0.32436,               0.093755,                      1
                     26,                0.70181,                0.47265,                 1.3737,                0.03109,                0.00045,                  6e-05,                 0.8133,                0.79943,                0.84739,                0.70386,                0.66649,                0.42749,                 1.4305,                0.02951,                0.00039,                  5e-05,               0.007525,               0.007525,               0.007525,               0.047328,                0.42922,                0.47655,               0.060357,                0.14289,                0.52087,              0.0032958,               0.053348,                0.51899,               0.044734,             0.00057615,                0.50004,                0.49996,             5.6257e-05,               0.036445,                0.47941,                0.51586,               0.051083,                 0.1465,                0.52537,               0.030092,                0.13871,                 0.5161,               0.044691,              0.0021627,                0.50014,                0.49986,             0.00018093,                0.51988,              0.0046129,               0.050964,                0.69133,                 0.5193,                0.32344,               0.093634,                      1
                     27,                0.69707,                0.47163,                 1.3692,                0.03142,                0.00045,                  6e-05,                0.80053,                0.81037,                0.84799,                0.70715,                0.66075,                0.42423,                 1.4368,                0.02942,                0.00039,                  5e-05,               0.007426,               0.007426,               0.007426,               0.047278,                0.42459,                0.47186,               0.060464,                0.14336,                0.52122,              0.0034187,               0.053759,                0.51898,               0.044836,             0.00053725,                0.50004,                0.49996,             5.9567e-05,               0.035768,                0.47833,                 0.5141,               0.050713,                0.14707,                0.50225,               0.030223,                0.14561,                0.51611,               0.044794,              0.0019927,                0.50014,                0.49986,             0.00018366,                0.51917,              0.0044881,               0.051746,                 0.6927,                0.52029,                0.32366,               0.093789,                      1
                     28,                0.69809,                0.46924,                 1.3695,                0.03106,                0.00045,                  6e-05,                0.82195,                0.79886,                0.85967,                0.71523,                 0.6598,                0.42005,                 1.4471,                0.02924,                 0.0004,                  5e-05,               0.007327,               0.007327,               0.007327,               0.046573,                0.42839,                0.47496,               0.059639,                0.14327,                0.51953,               0.003395,               0.053269,                0.51882,               0.044988,             0.00050268,                0.50005,                0.49995,             6.7253e-05,               0.035089,                 0.4835,                0.51859,               0.049932,                 0.1469,                0.50714,               0.033355,                0.14458,                0.51611,               0.044949,              0.0018727,                0.50014,                0.49986,             0.00018627,                0.51938,              0.0044433,               0.051903,                0.69182,                0.51905,                0.32052,               0.093963,                      1
                     29,                0.69806,                0.46806,                 1.3783,                0.03094,                0.00045,                  6e-05,                0.80932,                0.81395,                0.85238,                0.71054,                0.65825,                0.41775,                 1.4516,                0.02913,                 0.0004,                  5e-05,               0.007228,               0.007228,               0.007228,               0.045093,                0.42941,                0.47451,               0.058134,                0.14252,                0.51993,              0.0034994,               0.053584,                0.51855,               0.045015,             0.00047043,                0.50005,                0.49995,             7.2829e-05,               0.034321,                0.48335,                0.51767,               0.049082,                0.14625,                0.52378,               0.030535,                0.14972,                0.51611,               0.044986,              0.0017369,                0.50014,                0.49986,             0.00018883,                0.51694,              0.0047837,               0.049772,                0.69508,                0.52031,                 0.3229,               0.094689,                      1
                     30,                0.69484,                0.46532,                 1.3678,                0.03082,                0.00045,                  7e-05,                0.81923,                0.81115,                0.85263,                0.71065,                 0.6595,                0.41748,                 1.4404,                0.02908,                 0.0004,                  5e-05,               0.007129,               0.007129,               0.007129,               0.045183,                0.43206,                0.47724,               0.058317,                0.14293,                0.52013,              0.0034968,               0.052658,                0.51835,               0.045122,              0.0004391,                0.50005,                0.49995,             7.9409e-05,               0.033748,                0.48508,                0.51883,               0.048585,                0.14617,                0.49446,               0.037148,                0.15313,                0.51599,               0.045105,              0.0016125,                0.50014,                0.49986,             0.00019119,                0.51699,              0.0047305,               0.051333,                0.69376,                0.51951,                 0.3257,               0.093956,                      1
