                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                0.63125,                0.38826,                 1.3424,                0.04253,                0.85745,                0.81838,                0.87064,                0.73017,                 0.6488,                0.39672,                 1.4576,                0.04679,               0.002575,               0.002575,               0.002575
                     77,                0.63015,                0.38687,                 1.3418,                0.04253,                0.85752,                0.81778,                0.87054,                   0.73,                0.64879,                0.39669,                 1.4579,                0.04678,               0.002476,               0.002476,               0.002476
                     78,                0.62932,                0.38536,                 1.3422,                0.04248,                0.85392,                0.82206,                0.87025,                0.72968,                0.64871,                0.39682,                 1.4582,                0.04676,               0.002377,               0.002377,               0.002377
                     79,                0.63042,                 0.3847,                 1.3482,                0.04247,                0.85485,                0.82125,                0.87041,                0.72957,                0.64857,                0.39679,                 1.4586,                0.04674,               0.002278,               0.002278,               0.002278
                     80,                0.62497,                0.38211,                 1.3426,                0.04222,                0.85243,                0.82297,                0.87002,                0.72933,                0.64846,                0.39671,                 1.4591,                0.04673,               0.002179,               0.002179,               0.002179
                     81,                0.62457,                 0.3786,                 1.3481,                0.04219,                0.85053,                0.82438,                0.86961,                0.72943,                0.64839,                0.39694,                 1.4594,                0.04671,                0.00208,                0.00208,                0.00208
                     82,                0.62644,                0.38059,                 1.3379,                0.04235,                0.85114,                0.82433,                0.86958,                0.72957,                 0.6484,                0.39693,                 1.4595,                0.04669,               0.001981,               0.001981,               0.001981
                     83,                0.61999,                0.37479,                 1.3372,                0.04171,                0.85127,                0.82425,                0.86942,                 0.7293,                0.64835,                0.39709,                 1.4597,                0.04667,               0.001882,               0.001882,               0.001882
                     84,                 0.6216,                0.37766,                 1.3453,                0.04235,                0.84959,                 0.8256,                0.86935,                0.72923,                0.64835,                0.39714,                 1.4601,                0.04665,               0.001783,               0.001783,               0.001783
                     85,                0.62308,                0.37603,                 1.3365,                0.04225,                0.85593,                0.81938,                0.86902,                 0.7291,                0.64826,                0.39738,                 1.4601,                0.04664,               0.001684,               0.001684,               0.001684
                     86,                0.61753,                0.37286,                  1.339,                0.04171,                0.84597,                0.82766,                  0.869,                0.72945,                0.64819,                0.39747,                 1.4603,                0.04662,               0.001585,               0.001585,               0.001585
                     87,                0.61546,                0.36979,                 1.3321,                0.04178,                0.84782,                0.82679,                0.86893,                0.72912,                0.64818,                0.39744,                 1.4606,                0.04661,               0.001486,               0.001486,               0.001486
                     88,                0.61518,                0.37163,                 1.3367,                 0.0421,                 0.8577,                0.81817,                0.86907,                0.72926,                0.64821,                0.39768,                 1.4607,                0.04659,               0.001387,               0.001387,               0.001387
                     89,                 0.6124,                0.36729,                 1.3389,                0.04163,                0.85688,                0.81831,                0.86869,                0.72907,                0.64815,                0.39801,                  1.461,                0.04658,               0.001288,               0.001288,               0.001288
                     90,                0.61016,                0.36718,                 1.3307,                0.04168,                0.85582,                0.82041,                0.86858,                0.72894,                0.64816,                0.39818,                 1.4613,                0.04657,               0.001189,               0.001189,               0.001189
                     91,                0.61052,                0.36462,                 1.3253,                0.04138,                0.85611,                0.82039,                0.86846,                0.72893,                0.64817,                 0.3982,                 1.4614,                0.04655,                0.00109,                0.00109,                0.00109
                     92,                0.60928,                0.36133,                 1.3306,                0.04136,                0.85635,                0.82133,                0.86819,                0.72865,                0.64812,                0.39838,                 1.4616,                0.04653,               0.000991,               0.000991,               0.000991
                     93,                0.60628,                0.35931,                 1.3331,                0.04148,                 0.8549,                0.82283,                0.86798,                 0.7286,                 0.6482,                0.39842,                 1.4619,                0.04652,               0.000892,               0.000892,               0.000892
                     94,                0.60707,                0.36136,                 1.3272,                0.04124,                0.85187,                0.82461,                0.86741,                0.72844,                0.64819,                0.39861,                 1.4621,                 0.0465,               0.000793,               0.000793,               0.000793
                     95,                0.60554,                0.36087,                 1.3278,                0.04123,                0.85007,                 0.8261,                 0.8672,                0.72811,                0.64815,                0.39864,                 1.4625,                0.04649,               0.000694,               0.000694,               0.000694
                     96,                0.60269,                0.35582,                 1.3237,                0.04151,                0.84998,                0.82688,                0.86725,                 0.7281,                0.64817,                0.39876,                 1.4629,                0.04648,               0.000595,               0.000595,               0.000595
                     97,                0.59921,                0.35466,                 1.3226,                0.04095,                0.85027,                0.82627,                0.86675,                0.72751,                0.64816,                0.39877,                 1.4633,                0.04646,               0.000496,               0.000496,               0.000496
                     98,                0.60152,                0.35519,                 1.3312,                0.04134,                0.84904,                0.82655,                0.86641,                0.72726,                0.64812,                0.39896,                 1.4636,                0.04645,               0.000397,               0.000397,               0.000397
                     99,                 0.6001,                0.35413,                 1.3228,                0.04152,                0.84905,                0.82655,                0.86608,                0.72666,                0.64817,                0.39887,                 1.4641,                0.04643,               0.000298,               0.000298,               0.000298
                    100,                0.59894,                0.35482,                 1.3205,                0.04143,                0.84605,                0.82938,                0.86572,                0.72647,                0.64821,                0.39894,                 1.4642,                0.04642,               0.000199,               0.000199,               0.000199
