                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,p2/P4_gder_attention_weight,    p2/P4_gder_gate_std,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     44,                0.71642,                0.48733,                 1.3823,                0.03173,                      0,                      0,                 0.8259,                0.78728,                0.85102,                0.70555,                0.66987,                0.43093,                 1.4476,                0.02979,                      0,                      0,               0.005743,               0.005743,               0.005743,               0.052114,                 0.4098,                0.46191,               0.064773,                0.14344,                0.50278,              0.0084256,                0.49722,              0.0079525,               0.036595,                 0.4811,                0.51769,               0.051528,                0.14743,                      1
                     45,                 0.7192,                0.49029,                  1.383,                 0.0316,                      0,                      0,                0.81572,                0.79656,                0.85221,                0.70722,                0.66868,                0.43043,                 1.4442,                0.02977,                      0,                      0,               0.005644,               0.005644,               0.005644,               0.050923,                0.40998,                0.46091,               0.063406,                0.14254,                0.50295,              0.0088025,                0.49705,              0.0082939,               0.036047,                0.48139,                0.51744,               0.050772,                0.14636,                      1
                     46,                0.71696,                0.48895,                  1.387,                0.03159,                      0,                      0,                0.81916,                0.79913,                0.85331,                0.70856,                0.66817,                0.42986,                 1.4439,                0.02974,                      0,                      0,               0.005545,               0.005545,               0.005545,               0.050443,                0.40917,                0.45962,               0.062844,                0.14208,                0.50301,              0.0089695,                0.49699,              0.0084502,               0.035548,                0.48188,                0.51743,               0.050226,                0.14635,                      1
                     47,                0.71456,                0.48565,                 1.3762,                0.03157,                      0,                      0,                0.82884,                0.79569,                0.85451,                0.70946,                0.66803,                0.42924,                 1.4404,                 0.0297,                      0,                      0,               0.005446,               0.005446,               0.005446,               0.050452,                  0.412,                0.46245,               0.062997,                0.14315,                0.50312,              0.0092256,                0.49688,              0.0086808,               0.035278,                  0.484,                0.51928,               0.050092,                0.14679,                      1
                     48,                0.71385,                0.48751,                 1.3802,                0.03158,                      0,                      0,                0.81751,                 0.8037,                0.85463,                0.70961,                0.66782,                0.42809,                  1.442,                0.02969,                      0,                      0,               0.005347,               0.005347,               0.005347,                0.05081,                0.40899,                 0.4598,               0.063292,                0.14267,                0.50321,              0.0094501,                0.49679,              0.0088878,               0.035348,                0.48223,                0.51758,               0.050148,                0.14633,                      1
                     49,                0.71044,                 0.4822,                 1.3719,                0.03145,                      0,                      0,                0.82025,                0.79908,                0.85414,                0.70932,                0.66745,                0.42784,                 1.4411,                0.02967,                      0,                      0,               0.005248,               0.005248,               0.005248,               0.049558,                0.41082,                0.46038,               0.062056,                0.14205,                0.50332,              0.0097393,                0.49668,              0.0091543,               0.034836,                0.48688,                0.52171,               0.049718,                0.14697,                      1
                     50,                0.70512,                0.47771,                 1.3738,                0.03156,                      0,                      0,                0.81885,                0.79699,                0.85286,                 0.7079,                0.66704,                0.42748,                 1.4408,                0.02965,                      0,                      0,               0.005149,               0.005149,               0.005149,               0.049817,                0.41268,                 0.4625,               0.062576,                0.14318,                0.50343,              0.0099385,                0.49657,              0.0093269,               0.034327,                0.48396,                0.51829,               0.049374,                0.14672,                      1
                     51,                0.71003,                0.48241,                 1.3775,                0.03148,                      0,                      0,                0.81873,                0.80067,                0.85437,                0.70921,                0.66712,                0.42674,                 1.4409,                0.02962,                      0,                      0,                0.00505,                0.00505,                0.00505,                0.05013,                0.41127,                 0.4614,               0.062769,                0.14288,                0.50351,               0.010165,                0.49649,              0.0095392,               0.034605,                0.48544,                0.52005,               0.049604,                0.14674,                      1
                     52,                 0.7059,                0.47871,                 1.3803,                0.03127,                      0,                      0,                0.82244,                0.79951,                0.85517,                0.71001,                 0.6673,                0.42633,                 1.4399,                 0.0296,                      0,                      0,               0.004951,               0.004951,               0.004951,               0.049058,                0.41205,                 0.4611,               0.061511,                0.14165,                0.50361,               0.010358,                0.49639,              0.0097104,               0.034434,                0.48571,                0.52014,               0.049194,                0.14634,                      1
                     53,                0.70336,                0.47336,                  1.381,                0.03125,                      0,                      0,                0.81636,                0.80428,                0.85481,                0.70995,                0.66713,                0.42567,                 1.4402,                0.02957,                      0,                      0,               0.004852,               0.004852,               0.004852,               0.049372,                0.41676,                0.46613,                0.06202,                0.14324,                 0.5037,               0.010558,                 0.4963,              0.0098884,               0.034197,                0.48762,                0.52182,               0.049086,                0.14643,                      1
                     54,                0.69978,                0.47212,                 1.3816,                0.03115,                      0,                      0,                0.81663,                0.80463,                 0.8545,                 0.7105,                0.66698,                0.42563,                 1.4409,                0.02956,                      0,                      0,               0.004753,               0.004753,               0.004753,               0.048739,                0.41654,                0.46528,               0.061377,                 0.1428,                0.50384,               0.010821,                0.49616,               0.010116,               0.034408,                0.49015,                0.52456,                0.04937,                0.14693,                      1
                     55,                0.70349,                0.47165,                 1.3719,                0.03125,                      0,                      0,                0.81928,                0.80233,                0.85411,                0.70985,                0.66699,                0.42575,                 1.4407,                0.02954,                      0,                      0,               0.004654,               0.004654,               0.004654,               0.049783,                0.41673,                0.46651,               0.062486,                 0.1434,                0.50391,                0.01099,                0.49609,               0.010271,               0.034483,                0.48907,                0.52356,               0.049474,                 0.1469,                      1
                     56,                0.69927,                 0.4712,                 1.3752,                0.03134,                      0,                      0,                0.81939,                0.80258,                 0.8552,                0.71106,                0.66686,                0.42507,                 1.4407,                0.02953,                      0,                      0,               0.004555,               0.004555,               0.004555,               0.048943,                0.41543,                0.46437,                0.06173,                0.14287,                0.50397,               0.011132,                0.49603,               0.010398,               0.034194,                0.48643,                0.52062,               0.049262,                0.14686,                      1
                     57,                0.69611,                0.46529,                 1.3702,                0.03126,                      0,                      0,                0.81735,                0.80727,                0.85556,                 0.7116,                0.66625,                 0.4247,                 1.4409,                0.02951,                      0,                      0,               0.004456,               0.004456,               0.004456,                0.04916,                0.41794,                 0.4671,               0.062038,                0.14389,                0.50407,               0.011328,                0.49593,                0.01057,               0.034054,                0.49198,                0.52604,               0.049286,                 0.1475,                      1
                     58,                0.70333,                  0.469,                  1.368,                0.03119,                      0,                      0,                0.81237,                0.81224,                0.85576,                0.71202,                0.66587,                0.42412,                 1.4411,                 0.0295,                      0,                      0,               0.004357,               0.004357,               0.004357,                0.04936,                0.41495,                0.46431,               0.061976,                0.14279,                0.50419,               0.011497,                0.49581,               0.010708,               0.033721,                0.48982,                0.52354,               0.048708,                 0.1469,                      1
                     59,                0.70303,                0.46914,                 1.3831,                0.03123,                      0,                      0,                0.81142,                0.81579,                 0.8567,                0.71256,                 0.6657,                0.42367,                 1.4406,                0.02948,                      0,                      0,               0.004258,               0.004258,               0.004258,               0.048276,                0.41386,                0.46214,               0.060821,                0.14217,                0.50428,               0.011675,                0.49572,               0.010861,               0.033405,                0.48857,                0.52197,               0.048301,                 0.1464,                      1
                     60,                0.70167,                0.46829,                 1.3696,                0.03125,                      0,                      0,                0.80951,                0.81816,                 0.8568,                0.71274,                0.66546,                0.42344,                 1.4406,                0.02946,                      0,                      0,               0.004159,               0.004159,               0.004159,               0.049395,                0.41774,                0.46713,               0.062242,                0.14419,                0.50434,               0.011854,                0.49566,                0.01103,               0.033051,                0.48946,                0.52251,               0.048179,                0.14666,                      1
                     61,                0.69441,                0.46224,                 1.3705,                0.03115,                      0,                      0,                0.81334,                 0.8164,                 0.8572,                0.71327,                0.66526,                0.42296,                 1.4405,                0.02944,                      0,                      0,                0.00406,                0.00406,                0.00406,               0.049085,                0.41702,                0.46611,               0.061858,                0.14334,                0.50439,               0.011996,                0.49561,               0.011164,               0.033353,                0.49267,                0.52603,               0.048526,                0.14728,                      1
