                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.60956,                0.36743,                 1.3285,                0.04117,                0.85616,                0.82511,                0.86695,                0.72956,                0.64669,                0.39704,                 1.4593,                0.04606,               0.001189,               0.001189,               0.001189
                     91,                0.61072,                0.36395,                 1.3295,                0.04087,                0.85675,                0.82401,                0.86675,                0.72948,                0.64668,                0.39715,                 1.4596,                0.04605,                0.00109,                0.00109,                0.00109
                     92,                0.60905,                0.36125,                 1.3304,                0.04084,                0.85681,                0.82406,                0.86613,                0.72884,                0.64678,                0.39718,                 1.4597,                0.04603,               0.000991,               0.000991,               0.000991
                     93,                0.60627,                0.35924,                  1.333,                0.04095,                 0.8578,                 0.8228,                0.86604,                0.72892,                0.64662,                0.39719,                   1.46,                0.04602,               0.000892,               0.000892,               0.000892
                     94,                0.60674,                0.36107,                 1.3294,                0.04077,                0.85413,                0.82611,                0.86535,                0.72836,                0.64663,                0.39724,                 1.4603,                  0.046,               0.000793,               0.000793,               0.000793
                     95,                 0.6048,                0.36071,                 1.3246,                0.04072,                0.85467,                0.82559,                 0.8652,                0.72823,                0.64664,                 0.3973,                 1.4606,                0.04599,               0.000694,               0.000694,               0.000694
                     96,                0.60207,                 0.3561,                 1.3216,                0.04102,                0.85354,                0.82533,                0.86487,                0.72803,                0.64664,                0.39748,                 1.4608,                0.04598,               0.000595,               0.000595,               0.000595
                     97,                0.59907,                0.35491,                 1.3212,                0.04044,                0.85329,                0.82542,                0.86472,                0.72817,                0.64653,                 0.3976,                  1.461,                0.04597,               0.000496,               0.000496,               0.000496
                     98,                0.60146,                0.35466,                 1.3345,                0.04085,                0.85355,                0.82491,                0.86442,                0.72778,                0.64651,                0.39777,                 1.4613,                0.04596,               0.000397,               0.000397,               0.000397
                     99,                0.59931,                0.35358,                  1.324,                0.04093,                0.85468,                0.82439,                0.86411,                0.72742,                0.64657,                0.39802,                 1.4616,                0.04595,               0.000298,               0.000298,               0.000298
                    100,                0.59906,                 0.3538,                 1.3223,                0.04088,                0.85466,                0.82452,                0.86371,                0.72736,                0.64656,                0.39819,                 1.4619,                0.04594,               0.000199,               0.000199,               0.000199
