                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     26,                0.71369,                0.47717,                   1.38,                0.03092,                      0,                      0,                0.81499,                0.79481,                0.84702,                0.69682,                0.67556,                0.43038,                 1.4512,                0.02941,                      0,                      0,               0.007525,               0.007525,               0.007525,               0.048255,                0.42805,                0.47631,               0.061244,                0.14307,               0.033631,                0.48683,                0.52047,               0.048487,                 0.1459,                      1
                     27,                0.70879,                0.47743,                 1.3745,                0.03128,                      0,                      0,                0.80636,                0.76276,                0.82961,                0.67726,                 0.6833,                0.44285,                  1.471,                0.02944,                      0,                      0,               0.007426,               0.007426,               0.007426,               0.048055,                0.42415,                0.47221,               0.061222,                0.14365,               0.033771,                0.48468,                0.51845,               0.048907,                0.14689,                      1
                     28,                0.70898,                0.47348,                 1.3707,                0.03092,                      0,                      0,                 0.8039,                0.80689,                 0.8481,                0.69809,                 0.6725,                0.43038,                 1.4439,                0.02909,                      0,                      0,               0.007327,               0.007327,               0.007327,                 0.0471,                0.42764,                0.47474,               0.060136,                 0.1433,               0.033296,                0.48994,                0.52323,                0.04832,                0.14675,                      1
                     29,                0.70932,                0.47343,                 1.3805,                0.03083,                      0,                      0,                0.81415,                0.80701,                0.84892,                0.69917,                0.66965,                0.42382,                 1.4613,                0.02905,                      0,                      0,               0.007228,               0.007228,               0.007228,               0.046166,                0.42863,                 0.4748,               0.059182,                0.14273,               0.032548,                0.48887,                0.52142,               0.047468,                0.14585,                      1
                     30,                0.70646,                0.47096,                 1.3751,                0.03075,                      0,                      0,                0.81088,                0.81302,                0.85188,                0.70317,                0.67152,                0.42048,                 1.4629,                0.02897,                      0,                      0,               0.007129,               0.007129,               0.007129,               0.045911,                0.43107,                0.47699,               0.059013,                0.14295,               0.032518,                0.48834,                0.52086,               0.047446,                0.14557,                      1
                     31,                0.70978,                0.47175,                 1.3794,                 0.0307,                      0,                      0,                0.82428,                0.81741,                0.85843,                0.70767,                0.66905,                0.41884,                 1.4505,                0.02883,                      0,                      0,                0.00703,                0.00703,                0.00703,               0.045229,                0.42815,                0.47338,               0.058248,                0.14279,               0.031978,                 0.4892,                0.52118,               0.046931,                0.14595,                      1
                     32,                0.70344,                0.46587,                 1.3784,                0.03066,                      0,                      0,                0.82024,                0.81218,                0.85595,                0.70627,                0.66643,                0.41762,                  1.448,                0.02882,                      0,                      0,               0.006931,               0.006931,               0.006931,               0.045841,                0.43128,                0.47712,               0.059023,                0.14379,               0.032232,                0.49193,                0.52416,               0.047365,                 0.1463,                      1
                     33,                0.70338,                0.46621,                 1.3734,                 0.0305,                      0,                      0,                 0.8197,                0.82697,                0.85738,                0.70873,                0.66592,                 0.4162,                 1.4529,                0.02874,                      0,                      0,               0.006832,               0.006832,               0.006832,               0.044579,                0.43129,                0.47587,               0.057648,                0.14272,               0.031652,                0.49179,                0.52344,               0.046623,                0.14556,                      1
                     34,                0.69835,                0.46103,                 1.3709,                0.03039,                      0,                      0,                0.83931,                0.79142,                0.85184,                0.70424,                0.66657,                0.41888,                 1.4594,                0.02864,                      0,                      0,               0.006733,               0.006733,               0.006733,               0.043675,                0.43445,                0.47813,               0.056907,                0.14311,               0.031368,                0.49488,                0.52625,               0.046516,                0.14589,                      1
                     35,                0.70162,                0.46316,                 1.3735,                0.03042,                      0,                      0,                0.80166,                0.83955,                0.85845,                0.70963,                0.66528,                0.41389,                 1.4586,                 0.0286,                      0,                      0,               0.006634,               0.006634,               0.006634,               0.044092,                0.43479,                0.47888,               0.057253,                0.14331,               0.031021,                0.49694,                0.52796,                0.04614,                0.14608,                      1
