                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,p2/P3_gate_prompt_direction_agreement,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_gate_accuracy,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,  p2/P3_prompt_strength,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,p2/P4_gate_prompt_direction_agreement,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_gate_accuracy,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,  p2/P4_prompt_strength,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     71,                0.64639,                0.40127,                 1.3536,                0.04146,                0.84366,                0.83057,                  0.869,                 0.7224,                0.65772,                0.40044,                 1.4603,                0.04259,                0.00307,                0.00307,                0.00307,                0.65857,                0.63927,                 0.7054,                0.66321,                0.63439,                0.72912,                0.66025,                0.39578,                0.14114,                0.44033,                0.62538,                0.41267,                0.63275,                0.53874,                0.99325,                0.41643,                0.66582,                0.65844,                 0.6295,                 0.2774,                0.65116,                0.43966,                0.13957,                0.43813,                 0.5777,                0.41267,                0.40273,                 0.6117,              0.0040599,                0.12092,                0.64719,                0.58313,                0.31415,                0.48403,                0.27088,                0.72912,                0.72912,                      1
                     72,                0.64453,                0.39704,                 1.3481,                0.04141,                0.84343,                0.83144,                0.86897,                0.72222,                0.65774,                0.40039,                 1.4604,                0.04258,               0.002971,               0.002971,               0.002971,                0.65652,                0.63454,                0.70415,                0.66266,                0.63379,                0.72818,                0.66277,                0.39957,                0.14127,                0.43976,                 0.6179,                0.41351,                0.63228,                0.55192,                0.99674,                0.42089,                0.66603,                0.65849,                0.63023,                0.27901,                0.65522,                0.44059,                0.13963,                0.43943,                0.57193,                0.41351,                0.40322,                0.62624,              0.0041878,                0.12076,                0.64694,                0.58207,                0.31324,                0.48393,                0.27182,                0.72818,                0.72818,                      1
                     73,                0.64143,                0.39416,                 1.3526,                0.04144,                 0.8425,                0.83272,                0.86919,                 0.7227,                0.65773,                0.40009,                 1.4606,                0.04258,               0.002872,               0.002872,               0.002872,                0.65729,                0.62702,                0.69216,                 0.6631,                0.63421,                0.73181,                0.65423,                0.39471,                 0.1417,                0.43966,                0.62028,                0.41249,                0.63016,                0.55074,                0.98249,                 0.4094,                  0.672,                0.65987,                 0.6307,                0.27541,                0.65363,                0.43346,                0.13905,                0.43714,                0.57921,                0.41249,                0.40374,                 0.6035,              0.0039293,                0.12039,                0.64753,                0.58578,                0.31311,                0.48656,                0.26819,                0.73181,                0.73181,                      1
                     74,                0.63977,                0.39324,                 1.3488,                0.04133,                0.84696,                 0.8273,                0.86902,                0.72265,                0.65755,                0.40017,                 1.4607,                0.04258,               0.002773,               0.002773,               0.002773,                0.64935,                0.63989,                0.70701,                0.66258,                 0.6333,                0.73314,                0.66364,                0.39898,                0.14063,                0.43873,                0.61609,                0.41198,                0.62988,                0.54449,                0.98674,                0.41258,                0.66956,                0.65886,                0.62957,                0.27323,                0.65452,                0.43995,                0.13864,                0.43839,                0.57205,                0.41198,                 0.4023,                 0.6132,              0.0039334,                0.11947,                 0.6467,                0.58746,                 0.3139,                0.48742,                0.26686,                0.73314,                0.73314,                      1
                     75,                0.64031,                0.39322,                  1.347,                0.04146,                0.84628,                0.82767,                0.86896,                0.72253,                 0.6575,                0.40006,                 1.4606,                0.04257,               0.002674,               0.002674,               0.002674,                0.65155,                0.63501,                0.70089,                0.66363,                 0.6352,                0.73318,                0.65957,                0.39243,                0.14142,                0.44061,                0.62725,                0.41258,                0.63002,                0.54602,                0.99432,                 0.4251,                0.65653,                0.65877,                0.63072,                0.27323,                  0.648,                0.43691,                0.14026,                0.44107,                0.58188,                0.41258,                0.40314,                0.62455,              0.0039539,                0.12002,                0.64786,                 0.5858,                0.31323,                0.48641,                0.26682,                0.73318,                0.73318,                      1
                     76,                0.63789,                0.39099,                 1.3438,                0.04146,                0.84469,                0.82987,                0.86872,                0.72258,                0.65744,                0.40013,                 1.4608,                0.04257,               0.002575,               0.002575,               0.002575,                0.65422,                0.64237,                0.71023,                0.66451,                 0.6351,                0.72854,                0.66395,                0.38999,                0.14078,                0.43785,                0.62485,                0.41331,                0.62872,                0.53976,                0.97539,                0.40333,                0.68226,                0.66048,                0.63075,                0.28073,                0.65913,                0.43181,                0.13945,                0.43512,                0.57545,                0.41331,                0.40442,                0.59706,              0.0042689,                0.11974,                0.64841,                0.58322,                  0.311,                0.48439,                0.27146,                0.72854,                0.72854,                      1
                     77,                0.63713,                0.39031,                 1.3397,                0.04136,                0.83955,                0.83273,                0.86852,                0.72232,                0.65751,                 0.4001,                 1.4606,                0.04257,               0.002476,               0.002476,               0.002476,                  0.648,                0.63649,                0.70252,                0.66277,                  0.634,                0.73659,                0.66186,                0.39592,                0.14234,                0.44132,                0.62234,                0.41049,                0.62914,                0.54815,                0.98715,                0.40673,                0.67664,                0.65824,                0.62936,                0.27071,                0.65929,                0.43926,                0.13986,                0.43845,                0.57989,                0.41049,                0.40456,                0.61079,              0.0039141,                0.11931,                0.64686,                0.58397,                0.31739,                0.48191,                0.26341,                0.73659,                0.73659,                      1
                     78,                0.63716,                0.38801,                 1.3442,                0.04139,                0.84715,                0.82795,                0.86841,                0.72246,                0.65742,                0.40006,                 1.4608,                0.04256,               0.002377,               0.002377,               0.002377,                0.65148,                0.65216,                0.72038,                0.66309,                0.63423,                0.73226,                0.67059,                0.39747,                0.14014,                0.43842,                0.62565,                0.41246,                0.62667,                0.53443,                0.97883,                0.40155,                0.68499,                0.65809,                0.62967,                0.27577,                0.66403,                0.43994,                0.13875,                 0.4368,                0.57698,                0.41246,                 0.4056,                 0.6067,              0.0042115,                0.11949,                0.64707,                0.58455,                0.31294,                0.48517,                0.26774,                0.73226,                0.73226,                      1
                     79,                0.63758,                0.38935,                 1.3432,                0.04141,                0.84012,                0.83483,                0.86834,                0.72221,                0.65734,                0.39993,                 1.4607,                0.04256,               0.002278,               0.002278,               0.002278,                0.65163,                0.63211,                0.70095,                0.66297,                0.63558,                0.72573,                0.65956,                  0.393,                0.14197,                0.44123,                0.62332,                0.41414,                0.62688,                0.55004,                0.98206,                0.43033,                0.65679,                0.65743,                0.63122,                0.28106,                0.65083,                  0.439,                0.13987,                0.44289,                0.57854,                0.41414,                0.40559,                0.63506,              0.0039099,                0.11962,                0.64763,                 0.5807,                0.31269,                 0.4835,                0.27427,                0.72573,                0.72573,                      1
                     80,                0.63179,                0.38639,                 1.3415,                0.04146,                0.84489,                0.82879,                0.86773,                0.72181,                0.65735,                0.39992,                 1.4607,                0.04256,               0.002179,               0.002179,               0.002179,                 0.6515,                0.64353,                0.71051,                0.66373,                 0.6352,                0.73197,                0.66464,                0.38966,                0.14189,                0.44038,                0.62776,                0.41155,                0.62607,                0.53938,                0.99097,                0.39918,                0.68216,                0.65881,                0.62974,                0.27332,                 0.6604,                 0.4367,                0.13891,                0.43789,                0.58512,                0.41155,                 0.4045,                0.60096,              0.0037291,                 0.1199,                0.64774,                0.58564,                0.31607,                0.48477,                0.26803,                0.73197,                0.73197,                      1
                     81,                0.63142,                0.38173,                 1.3474,                0.04128,                0.83848,                0.83542,                0.86789,                0.72179,                0.65737,                0.40004,                 1.4608,                0.04255,                0.00208,                0.00208,                0.00208,                0.65202,                0.62852,                0.69841,                0.66096,                0.63294,                0.72625,                0.65968,                0.40171,                0.14219,                0.44069,                0.62106,                0.41341,                0.62627,                0.55692,                0.98035,                0.42916,                0.65925,                0.65509,                0.62804,                0.28083,                0.65307,                0.44832,                0.13919,                0.44123,                0.57541,                0.41341,                0.40479,                0.63669,              0.0038018,                0.11961,                0.64516,                0.58163,                0.31436,                0.48282,                0.27375,                0.72625,                0.72625,                      1
                     82,                0.63378,                0.38452,                 1.3386,                0.04139,                0.84352,                0.83128,                0.86757,                0.72134,                0.65737,                    0.4,                 1.4609,                0.04255,               0.001981,               0.001981,               0.001981,                0.64736,                0.63874,                0.70754,                0.66291,                0.63522,                0.72863,                 0.6637,                0.39236,                0.14154,                0.44037,                0.62476,                0.41275,                0.62461,                0.54597,                0.98729,                0.40315,                0.68153,                0.65809,                0.62976,                0.27832,                0.66041,                 0.4376,                0.13876,                0.43747,                0.58135,                0.41275,                 0.4044,                0.60371,              0.0039485,                0.11922,                0.64735,                0.58411,                0.31384,                0.48519,                0.27137,                0.72863,                0.72863,                      1
                     83,                0.62788,                0.37883,                 1.3341,                0.04132,                0.84348,                0.83146,                0.86754,                0.72167,                 0.6573,                0.40003,                 1.4609,                0.04254,               0.001882,               0.001882,               0.001882,                0.64867,                0.64471,                0.71393,                0.66244,                0.63369,                0.72751,                0.66656,                0.39768,                0.14175,                0.43884,                0.61951,                0.41312,                0.62424,                0.54009,                0.97507,                0.40411,                0.68197,                0.65885,                0.62918,                0.28073,                0.66029,                0.43664,                0.13919,                0.43607,                0.57658,                0.41312,                0.40483,                0.60243,              0.0037559,                0.11899,                0.64672,                0.58188,                0.31374,                0.48286,                0.27249,                0.72751,                0.72751,                      1
                     84,                0.62942,                0.38132,                 1.3404,                 0.0414,                0.84247,                0.83201,                 0.8671,                0.72172,                 0.6573,                0.40013,                 1.4611,                0.04254,               0.001783,               0.001783,               0.001783,                 0.6463,                0.63874,                0.70679,                 0.6634,                0.63402,                 0.7321,                0.66405,                0.39886,                0.14094,                0.44007,                0.62763,                0.41202,                0.62411,                0.54725,                0.98417,                0.41227,                0.67327,                0.65932,                0.62976,                0.27619,                0.65713,                0.44056,                0.13772,                0.43831,                0.58774,                0.41202,                0.40505,                0.61303,              0.0037663,                0.11898,                0.64732,                 0.5863,                0.31311,                0.48639,                 0.2679,                 0.7321,                 0.7321,                      1
                     85,                0.63023,                0.38022,                 1.3373,                0.04128,                0.84221,                0.83182,                0.86693,                0.72131,                0.65733,                0.40035,                 1.4611,                0.04254,               0.001684,               0.001684,               0.001684,                0.64788,                0.64792,                0.71434,                0.66268,                0.63217,                0.73632,                0.66773,                0.39962,                0.14212,                0.43765,                0.62165,                0.41011,                0.62375,                0.53757,                0.98214,                0.39985,                0.68494,                0.65699,                0.62684,                0.27109,                0.66445,                0.44712,                0.13847,                0.43591,                0.57821,                0.41011,                0.40498,                0.60722,              0.0038614,                0.11912,                0.64559,                0.58638,                0.31682,                0.48429,                0.26368,                0.73632,                0.73632,                      1
                     86,                0.62393,                0.37611,                  1.337,                0.04129,                0.84223,                 0.8303,                0.86683,                0.72131,                0.65741,                0.40054,                 1.4611,                0.04254,               0.001585,               0.001585,               0.001585,                0.64784,                0.64997,                0.72027,                0.66216,                0.63371,                0.73124,                0.67217,                0.40078,                0.14063,                0.43902,                0.61821,                0.41333,                0.62137,                0.54131,                0.97706,                  0.413,                0.67494,                0.65723,                0.62876,                0.27622,                0.66088,                0.44571,                0.13819,                0.43883,                0.57328,                0.41333,                0.40507,                0.62262,               0.003702,                0.11895,                0.64629,                0.58704,                0.31339,                 0.4888,                0.26876,                0.73124,                0.73124,                      1
                     87,                0.62284,                0.37414,                 1.3303,                0.04123,                0.84145,                0.83005,                 0.8665,                0.72089,                 0.6574,                0.40055,                 1.4614,                0.04253,               0.001486,               0.001486,               0.001486,                0.64655,                0.65841,                0.72756,                0.66122,                0.63181,                0.73151,                0.67452,                0.40392,                0.14098,                 0.4367,                0.62031,                0.41198,                 0.6217,                   0.53,                0.97932,                0.41346,                0.67518,                0.65639,                0.62826,                0.27658,                0.66122,                0.44582,                  0.139,                0.43944,                 0.5738,                0.41198,                0.40425,                0.62321,               0.003652,                0.11885,                0.64512,                0.58568,                0.31539,                0.48522,                0.26849,                0.73151,                0.73151,                      1
                     88,                0.62191,                0.37458,                 1.3383,                0.04131,                0.84234,                 0.8305,                0.86638,                0.72108,                0.65746,                0.40074,                 1.4616,                0.04253,               0.001387,               0.001387,               0.001387,                0.64233,                0.65388,                0.72325,                0.66235,                0.63483,                0.72861,                0.67144,                0.39734,                0.14027,                0.44067,                0.62492,                0.41292,                 0.6215,                0.53237,                0.97544,                0.40603,                0.68107,                0.65772,                0.62894,                0.27934,                0.66145,                0.44301,                0.13726,                0.43696,                 0.5818,                0.41292,                0.40406,                0.60879,              0.0037505,                0.11816,                0.64684,                0.58328,                0.31181,                0.48431,                0.27139,                0.72861,                0.72861,                      1
                     89,                0.62019,                0.37143,                  1.335,                0.04127,                0.84323,                0.82928,                0.86628,                0.72085,                0.65752,                0.40073,                 1.4619,                0.04252,               0.001288,               0.001288,               0.001288,                0.64359,                0.66048,                  0.728,                0.66288,                0.63363,                0.73425,                0.67434,                0.39447,                0.14167,                0.43803,                0.62029,                0.41097,                0.62007,                0.52607,                0.96538,                0.40918,                0.68066,                0.65742,                0.62866,                0.27669,                0.66293,                0.44083,                 0.1391,                0.43701,                0.57941,                0.41097,                 0.4046,                0.61394,              0.0038747,                0.11799,                0.64651,                0.58473,                0.31513,                0.48289,                0.26575,                0.73425,                0.73425,                      1
                     90,                0.61727,                0.37032,                 1.3297,                0.04125,                0.83945,                0.83139,                0.86588,                0.72066,                 0.6575,                0.40079,                  1.462,                0.04252,               0.001189,               0.001189,               0.001189,                0.64183,                0.65313,                0.72239,                 0.6625,                0.63363,                0.73521,                0.67387,                0.40104,                0.14062,                0.43868,                0.62379,                0.41128,                0.61899,                0.53916,                0.96965,                0.41207,                 0.6763,                0.65585,                0.62858,                0.27398,                0.66157,                 0.4481,                0.13831,                0.43887,                0.57631,                0.41128,                0.40484,                0.62067,              0.0037896,                 0.1179,                0.64611,                0.58666,                0.31467,                0.48609,                0.26479,                0.73521,                0.73521,                      1
                     91,                0.61773,                0.36818,                 1.3289,                 0.0412,                0.83939,                0.83046,                0.86529,                0.72015,                0.65747,                0.40095,                 1.4623,                0.04252,                0.00109,                0.00109,                0.00109,                0.64137,                0.64891,                  0.718,                0.66095,                0.63401,                0.73177,                0.67013,                0.40032,                0.14049,                0.44081,                0.61747,                0.41353,                0.61804,                0.53956,                0.96437,                0.41213,                0.67541,                0.65603,                0.62898,                0.27763,                0.65898,                0.44458,                0.13781,                0.43892,                0.57344,                0.41353,                0.40447,                0.61418,               0.003755,                0.11766,                0.64582,                0.58406,                0.31266,                 0.4863,                0.26823,                0.73177,                0.73177,                      1
                     92,                0.61568,                0.36471,                 1.3314,                0.04116,                0.84178,                0.82839,                0.86494,                0.71998,                0.65744,                0.40127,                 1.4624,                0.04251,               0.000991,               0.000991,               0.000991,                0.63957,                0.65548,                0.72465,                0.66251,                0.63193,                0.73234,                0.67356,                0.39976,                0.14034,                0.43773,                0.62153,                0.41156,                0.61853,                0.53378,                0.95578,                0.40964,                0.68081,                0.65667,                0.62655,                0.27896,                0.66275,                 0.4478,                0.13788,                0.43622,                0.57388,                0.41156,                0.40463,                0.61331,              0.0039203,                0.11713,                0.64535,                0.58336,                0.31338,                0.48223,                0.26766,                0.73234,                0.73234,                      1
                     93,                0.61316,                0.36303,                 1.3299,                0.04116,                0.83906,                0.83178,                0.86465,                0.71987,                0.65752,                0.40137,                 1.4626,                 0.0425,               0.000892,               0.000892,               0.000892,                0.64072,                0.65233,                0.72512,                0.66044,                0.63204,                0.72844,                0.67565,                0.40384,                0.14078,                0.43832,                0.62201,                0.41283,                 0.6182,                0.54294,                0.96456,                0.41802,                0.67381,                0.65631,                0.62792,                0.28313,                0.65902,                0.44177,                0.14005,                0.43733,                0.57471,                0.41283,                0.40547,                0.61936,              0.0040026,                0.11758,                0.64487,                0.58135,                0.31485,                 0.4816,                0.27156,                0.72844,                0.72844,                      1
                     94,                0.61354,                0.36428,                 1.3281,                0.04112,                0.83886,                0.83052,                0.86441,                0.71987,                0.65748,                0.40145,                 1.4628,                 0.0425,               0.000793,               0.000793,               0.000793,                 0.6395,                0.64349,                0.71439,                0.66057,                0.63254,                 0.7295,                0.66931,                0.40293,                0.14202,                0.43996,                0.61541,                0.41228,                 0.6184,                0.54774,                0.95811,                 0.4224,                 0.6682,                0.65553,                0.62758,                0.28166,                0.65588,                0.44958,                0.13944,                0.43986,                0.57543,                0.41228,                0.40526,                0.62268,              0.0037462,                 0.1172,                0.64489,                0.58108,                 0.3162,                0.48116,                 0.2705,                 0.7295,                 0.7295,                      1
                     95,                 0.6127,                0.36454,                 1.3254,                 0.0412,                0.83724,                0.83136,                0.86405,                 0.7198,                0.65752,                0.40154,                 1.4632,                0.04249,               0.000694,               0.000694,               0.000694,                0.64331,                0.66079,                0.73017,                 0.6628,                0.63199,                0.73415,                0.67716,                0.39958,                0.14105,                0.43719,                0.61692,                0.41034,                0.61811,                0.53078,                0.96391,                0.40967,                0.67949,                0.65715,                0.62784,                0.27604,                0.66259,                0.44422,                0.13921,                0.43901,                0.57174,                0.41034,                0.40452,                0.61595,              0.0036395,                 0.1179,                0.64576,                0.58404,                0.31739,                0.48148,                0.26585,                0.73415,                0.73415,                      1
                     96,                0.60807,                0.35871,                 1.3257,                0.04111,                0.83755,                0.83068,                0.86378,                0.71957,                0.65758,                0.40183,                 1.4637,                0.04249,               0.000595,               0.000595,               0.000595,                0.64142,                0.66103,                 0.7298,                0.66125,                0.63099,                0.72926,                0.67414,                0.40541,                0.14078,                0.43684,                0.61583,                0.41148,                0.61756,                 0.5242,                0.95343,                0.41008,                0.68306,                0.65655,                0.62651,                0.28401,                  0.663,                0.44738,                 0.1389,                0.43611,                0.57475,                0.41148,                0.40509,                0.60897,              0.0036126,                 0.1173,                0.64459,                0.58231,                0.31487,                0.48131,                0.27074,                0.72926,                0.72926,                      1
                     97,                0.60524,                0.35749,                 1.3203,                0.04121,                0.83564,                0.83086,                0.86353,                 0.7193,                0.65764,                0.40183,                 1.4642,                0.04248,               0.000496,               0.000496,               0.000496,                0.64082,                0.65563,                0.72544,                0.66276,                0.63292,                0.73139,                0.67413,                0.39852,                0.14009,                0.43759,                0.62115,                0.41203,                0.61679,                0.53444,                 0.9599,                0.42155,                0.66924,                0.65596,                0.62833,                0.27934,                0.65775,                0.44706,                0.13807,                0.44099,                0.57852,                0.41203,                0.40487,                0.62648,              0.0035817,                0.11744,                0.64594,                0.58375,                0.31231,                0.48361,                0.26861,                0.73139,                0.73139,                      1
                     98,                0.60783,                0.35765,                 1.3318,                0.04112,                0.83933,                0.82721,                0.86322,                0.71939,                0.65768,                0.40185,                 1.4645,                0.04248,               0.000397,               0.000397,               0.000397,                0.63848,                0.63845,                0.71137,                0.66033,                0.63307,                  0.727,                0.66888,                0.40376,                0.14127,                 0.4414,                 0.6192,                0.41364,                0.61681,                0.55572,                0.95736,                0.42179,                0.67136,                0.65428,                0.62776,                0.28221,                0.66129,                0.45232,                0.13786,                0.44193,                0.57496,                0.41364,                0.40453,                0.63448,              0.0036134,                0.11704,                 0.6448,                0.58359,                0.31369,                0.48538,                  0.273,                  0.727,                  0.727,                      1
                     99,                  0.606,                0.35663,                 1.3246,                 0.0411,                0.83951,                0.82685,                 0.8629,                0.71912,                0.65768,                0.40193,                  1.465,                0.04248,               0.000298,               0.000298,               0.000298,                0.63606,                0.64953,                0.71543,                0.66127,                0.63081,                0.73789,                 0.6684,                0.40266,                 0.1416,                0.43811,                0.62291,                0.40886,                0.61654,                  0.536,                0.96251,                0.41206,                0.67512,                0.65568,                0.62535,                0.27312,                 0.6588,                0.45197,                0.13823,                0.43693,                0.57767,                0.40886,                0.40442,                0.61285,               0.003681,                0.11689,                 0.6442,                0.58636,                0.31748,                0.48223,                0.26211,                0.73789,                0.73789,                      1
                    100,                 0.6056,                0.35783,                 1.3207,                0.04113,                 0.8366,                0.82818,                 0.8625,                0.71872,                 0.6577,                0.40205,                 1.4653,                0.04247,               0.000199,               0.000199,               0.000199,                0.63563,                0.63499,                0.70507,                0.66138,                0.63293,                0.73418,                0.66613,                0.40033,                0.14178,                 0.4409,                0.61955,                0.41133,                0.61649,                0.55857,                0.95379,                0.41863,                0.67241,                0.65672,                 0.6274,                0.27752,                0.65929,                0.44786,                0.13789,                0.43772,                0.57423,                0.41133,                0.40435,                0.62306,              0.0037118,                0.11654,                0.64546,                0.58621,                0.31529,                0.48531,                0.26582,                0.73418,                0.73418,                      1
