                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,p2/P3_gate_prompt_direction_agreement,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_gate_accuracy,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,  p2/P3_prompt_strength,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,p2/P4_gate_prompt_direction_agreement,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_gate_accuracy,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,  p2/P4_prompt_strength,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     21,                0.72763,                0.49298,                 1.3801,                0.04247,                0.81268,                0.80656,                0.85451,                0.69939,                0.68115,                0.43594,                 1.4511,                0.04321,                0.00802,                0.00802,                0.00802,                0.71252,                0.69748,                0.74062,                0.67193,                0.63643,                0.73087,                0.65425,                0.36998,                  0.139,                0.43101,                0.63844,                0.41142,                0.62288,                0.41967,                 1.0164,              0.0089418,                0.99926,                0.68255,                0.64321,                0.27628,                0.73091,                0.38029,                0.13467,                0.42143,                0.61988,                0.41142,                0.71714,                0.00216,              0.0035636,                0.12888,                0.65708,                0.58415,                0.31647,                0.48313,                0.26913,                0.73087,                0.73087,                      1
                     22,                0.72008,                0.49224,                 1.3757,                0.04238,                0.80885,                0.79585,                0.83705,                0.68307,                0.67989,                0.44278,                 1.4564,                0.04307,               0.007921,               0.007921,               0.007921,                0.70654,                0.66912,                0.71724,                0.67091,                0.63655,                0.73212,                0.64898,                0.37214,                0.13905,                0.43344,                0.63841,                0.41097,                 0.6251,                0.46242,                 1.0142,               0.018974,                0.99184,                0.67961,                0.64323,                0.27468,                0.73182,                0.38567,                  0.134,                 0.4268,                0.61952,                0.41097,                0.69485,               0.021194,              0.0033112,                0.12801,                0.65629,                0.58597,                0.31677,                 0.4841,                0.26788,                0.73212,                0.73212,                      1
                     23,                0.72151,                0.48985,                  1.385,                0.04245,                0.81307,                0.77948,                0.83701,                0.68439,                0.67847,                0.43533,                 1.4623,                0.04316,               0.007822,               0.007822,               0.007822,                0.70912,                0.62046,                 0.6733,                0.67144,                0.63891,                0.72745,                0.63167,                0.36416,                0.14053,                0.43529,                0.63661,                0.41293,                0.62684,                0.52057,                 1.0148,               0.038627,                0.97812,                0.67994,                0.64419,                0.28036,                0.72556,                0.38231,                0.13404,                0.42658,                0.61662,                0.41293,                0.67305,               0.051442,              0.0037566,                0.12837,                0.65747,                0.58417,                0.31415,                0.48545,                0.27255,                0.72745,                0.72745,                      1
                     24,                0.71911,                0.48765,                 1.3808,                 0.0423,                0.80619,                0.78974,                0.84153,                0.68833,                0.67955,                0.43658,                  1.455,                0.04311,               0.007723,               0.007723,               0.007723,                0.70299,                0.64157,                0.69413,                0.67007,                0.63611,                0.73204,                0.64265,                0.37587,                0.13916,                0.43366,                0.63588,                0.41152,                0.62469,                0.50203,                 1.0177,               0.049959,                0.96961,                0.67771,                0.64213,                0.27454,                0.73037,                0.39007,                 0.1331,                0.42804,                0.61354,                0.41152,                0.65421,                 0.0768,              0.0034652,                0.12765,                0.65537,                0.58644,                0.31583,                0.48597,                0.26796,                0.73204,                0.73204,                      1
                     25,                0.71596,                0.47967,                 1.3782,                0.04226,                0.78865,                0.82993,                0.85125,                0.69718,                0.67685,                0.43059,                 1.4503,                 0.0431,               0.007624,               0.007624,               0.007624,                0.70124,                0.61244,                0.66714,                0.66991,                0.63716,                0.72965,                0.63147,                0.37346,                0.13966,                0.43521,                0.63542,                0.41332,                0.62697,                0.53519,                  1.009,                0.09055,                0.94173,                0.67703,                0.64073,                0.28208,                0.72234,                0.38916,                0.13294,                0.42517,                0.60581,                0.41332,                0.63527,                0.13023,              0.0035821,                0.12713,                0.65532,                0.58158,                0.31321,                0.48275,                0.27035,                0.72965,                0.72965,                      1
                     26,                0.71304,                0.47754,                 1.3809,                0.04228,                0.80847,                0.80575,                0.85054,                0.70024,                0.67515,                 0.4293,                 1.4496,                0.04303,               0.007525,               0.007525,               0.007525,                0.70653,                0.63414,                 0.6853,                0.67117,                0.63691,                0.73289,                0.63746,                0.36956,                0.14005,                0.43443,                0.63278,                0.41188,                0.62577,                0.50622,                 1.0045,                0.15813,                 0.8838,                0.67566,                0.64043,                0.27794,                0.70902,                0.38972,                0.13426,                 0.4299,                0.60434,                0.41188,                0.61371,                0.22946,              0.0034194,                0.12769,                0.65538,                0.58325,                0.31482,                0.48273,                0.26711,                0.73289,                0.73289,                      1
                     27,                0.70759,                0.47578,                 1.3753,                0.04227,                0.81637,                 0.8081,                0.85482,                 0.7035,                0.67449,                0.42606,                 1.4486,                0.04301,               0.007426,               0.007426,               0.007426,                0.70379,                0.62186,                0.67578,                   0.67,                0.63812,                0.72971,                0.63468,                0.36983,                0.13901,                0.43649,                0.63429,                0.41334,                 0.6259,                0.52371,                 1.0129,                 0.1577,                0.88563,                 0.6743,                0.64085,                0.28079,                0.70923,                0.39389,                0.13251,                0.43226,                 0.6056,                0.41334,                0.59725,                0.23297,              0.0034093,                 0.1276,                0.65523,                0.58636,                0.31113,                 0.4875,                0.27029,                0.72971,                0.72971,                      1
                     28,                0.70992,                0.47528,                 1.3687,                0.04211,                 0.8144,                0.81419,                0.85808,                0.70575,                0.67304,                0.42906,                 1.4351,                0.04294,               0.007327,               0.007327,               0.007327,                0.70087,                0.63122,                0.68753,                0.66848,                0.63533,                0.73025,                0.64267,                0.37778,                0.14052,                0.43401,                0.63512,                0.41199,                0.62768,                0.52123,                 1.0011,                0.17301,                0.87666,                0.67294,                0.63664,                0.28348,                0.70837,                0.40063,                0.13406,                 0.4275,                0.59849,                0.41199,                0.58067,                 0.2528,              0.0033951,                0.12682,                0.65287,                0.58155,                 0.3163,                0.48049,                0.26975,                0.73025,                0.73025,                      1
                     29,                0.70909,                0.47466,                 1.3756,                0.04211,                0.81009,                0.82689,                 0.8579,                0.70663,                0.67076,                 0.4221,                 1.4478,                0.04297,               0.007228,               0.007228,               0.007228,                0.69413,                0.61771,                0.67516,                0.66873,                 0.6359,                 0.7323,                0.63882,                0.37941,                0.14015,                0.43609,                0.63964,                0.41077,                0.62541,                0.53943,                  1.007,                 0.2024,                0.85254,                0.67144,                 0.6375,                0.27997,                0.70534,                0.40639,                0.13393,                0.43062,                0.60412,                0.41077,                0.56587,                0.30266,              0.0034025,                0.12612,                0.65303,                0.58478,                0.31724,                 0.4836,                 0.2677,                 0.7323,                 0.7323,                      1
                     30,                 0.7063,                0.47223,                  1.371,                0.04206,                 0.8228,                0.80301,                0.85263,                0.70198,                0.67383,                0.42458,                 1.4553,                0.04289,               0.007129,               0.007129,               0.007129,                0.69427,                0.63082,                0.68703,                0.66854,                 0.6349,                 0.7344,                0.64388,                0.38038,                0.13975,                0.43456,                0.63566,                0.40967,                0.62334,                0.52458,                 1.0146,                0.27968,                0.78501,                0.66997,                 0.6375,                0.27715,                0.68568,                0.40374,                 0.1352,                0.43572,                0.59825,                0.40967,                 0.5505,                0.41104,              0.0035864,                0.12639,                0.65239,                0.58492,                0.31711,                 0.4819,                 0.2656,                 0.7344,                 0.7344,                      1
