                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/true_object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/true_object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,p2/P3_gate_prompt_direction_agreement,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_gate_accuracy,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,  p2/P3_prompt_strength,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,p2/P4_gate_prompt_direction_agreement,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_gate_accuracy,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,  p2/P4_prompt_strength,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     21,                 0.7324,                0.49554,                 1.3843,                0.10263,                0.80487,                0.79215,                0.84375,                0.68874,                0.68841,                0.44507,                 1.4574,                0.10605,                0.00802,                0.00802,                0.00802,                0.56868,                0.98977,                0.96974,                0.68516,                0.62978,                0.73805,                 0.6458,                0.73793,                 0.3904,                   0.14,                0.38151,                0.62678,                0.41142,                      1,                0.10839,                0.54344,                0.95469,                0.66584,                0.66657,                0.67064,                0.68133,                0.59798,                0.66184,                 0.3461,                0.16818,                0.50534,                0.59945,                0.41142,                      1,                0.65096,               0.013077,                0.11205,                0.79071,                0.58415,                0.31647,                0.48313,                0.26913,                0.73087,                0.73087,                      1
                     22,                0.72458,                0.49495,                  1.379,                0.10249,                0.81117,                0.79452,                0.84302,                0.68661,                0.68263,                0.43845,                 1.4765,                0.10619,               0.007921,               0.007921,               0.007921,                 0.5664,                0.98927,                0.96579,                0.68471,                0.62933,                0.73736,                0.64456,                0.73764,                0.39407,                 0.1396,                0.38155,                0.62638,                0.41097,                      1,                0.11408,                0.54056,                0.95345,                0.66512,                0.66591,                 0.6695,                0.68308,                0.59777,                0.66343,                0.34977,                0.16673,                0.50309,                0.60209,                0.41097,                      1,                0.65881,               0.012617,                0.11156,                0.78964,                0.58597,                0.31677,                 0.4841,                0.26788,                0.73212,                0.73212,                      1
                     23,                0.72666,                0.49287,                 1.3901,                0.10178,                0.80634,                0.77211,                0.83667,                 0.6817,                0.68587,                0.44542,                  1.454,                0.10683,               0.007822,               0.007822,               0.007822,                0.56307,                0.98614,                0.94789,                 0.6845,                0.63119,                 0.7356,                0.64055,                  0.735,                0.39031,                0.14018,                0.38265,                0.62173,                0.41293,                      1,                0.16679,                 0.5321,                0.95436,                 0.6809,                0.66553,                0.66738,                0.68785,                0.59122,                0.66965,                 0.3513,                0.16575,                0.49877,                0.59185,                0.41293,                      1,                0.63962,               0.012381,                0.11055,                0.78492,                0.58417,                0.31415,                0.48545,                0.27255,                0.72745,                0.72745,                      1
                     24,                0.72324,                0.48939,                 1.3839,                 0.1012,                0.79956,                0.79701,                0.84453,                0.68909,                0.68284,                0.43788,                 1.4623,                0.10542,               0.007723,               0.007723,               0.007723,                 0.5577,                 0.9856,                0.94481,                0.68299,                0.62862,                0.74153,                0.63765,                0.74013,                0.39992,                0.13956,                0.38132,                0.62081,                0.41152,                      1,                0.18094,                0.52703,                0.95826,                0.67367,                0.66354,                0.66507,                0.68602,                0.58529,                0.66767,                0.36501,                0.16646,                 0.4982,                0.58995,                0.41152,                      1,                0.65128,               0.012466,                0.10949,                0.78039,                0.58644,                0.31583,                0.48597,                0.26796,                0.73204,                0.73204,                      1
                     25,                0.71975,                0.48213,                 1.3835,                0.10125,                0.81709,                0.80385,                0.85597,                0.69964,                0.68126,                0.43083,                 1.4503,                 0.1058,               0.007624,               0.007624,               0.007624,                0.55701,                0.98543,                0.93998,                0.68205,                0.62965,                0.73874,                0.63649,                0.73758,                0.40009,                0.13909,                  0.384,                0.61962,                0.41332,                      1,                0.19131,                0.52991,                0.95774,                0.67875,                0.66465,                0.66562,                0.68655,                0.58827,                0.66979,                0.35794,                0.16542,                0.49698,                0.59266,                0.41332,                      1,                0.64563,               0.011935,                 0.1096,                0.78083,                0.58158,                0.31321,                0.48275,                0.27035,                0.72965,                0.72965,                      1
                     26,                0.71729,                0.48055,                  1.384,                0.10148,                0.79234,                0.81805,                0.84926,                0.69624,                0.67969,                0.42818,                 1.4578,                0.10533,               0.007525,               0.007525,               0.007525,                0.56229,                0.98668,                0.94341,                 0.6851,                0.62927,                0.74084,                0.64034,                0.73934,                0.39526,                0.14013,                0.38047,                0.61794,                0.41188,                      1,                0.17942,                0.52995,                0.95981,                0.67952,                0.66462,                0.66477,                0.68598,                0.58706,                0.66929,                0.35857,                0.16613,                0.49526,                0.58839,                0.41188,                      1,                0.64121,               0.012509,                 0.1103,                0.78286,                0.58325,                0.31482,                0.48273,                0.26711,                0.73289,                0.73289,                      1
                     27,                0.71233,                0.47976,                 1.3759,                0.10088,                0.79803,                0.80798,                0.84375,                0.68939,                0.68141,                0.43554,                 1.4648,                0.10544,               0.007426,               0.007426,               0.007426,                0.55579,                0.98317,                0.92581,                0.68206,                0.63014,                0.73663,                0.63431,                 0.7341,                0.39585,                0.13925,                0.38413,                0.61722,                0.41334,                      1,                0.21653,                0.52631,                0.96333,                0.68758,                0.66322,                0.66232,                0.68702,                0.58519,                0.67292,                0.35945,                0.16321,                 0.4906,                0.58698,                0.41334,                      1,                0.63334,               0.011435,                0.10919,                0.77815,                0.58636,                0.31113,                 0.4875,                0.27029,                0.72971,                0.72971,                      1
                     28,                0.71289,                0.47721,                 1.3736,                0.10062,                0.81549,                0.79423,                0.84838,                 0.6943,                 0.6774,                0.43296,                 1.4397,                0.10507,               0.007327,               0.007327,               0.007327,                0.55296,                0.98314,                0.92448,                0.68126,                0.62792,                 0.7396,                0.63191,                0.73691,                0.40065,                0.14172,                0.38144,                0.61943,                0.41199,                      1,                0.22913,                0.52565,                0.96482,                0.68725,                0.66233,                0.66067,                0.68907,                0.58374,                 0.6743,                0.36578,                0.16521,                0.48994,                0.58946,                0.41199,                      1,                0.63922,               0.011593,                0.10877,                0.77556,                0.58155,                 0.3163,                0.48049,                0.26975,                0.73025,                0.73025,                      1
                     29,                0.71257,                0.47675,                 1.3828,                0.10002,                0.80749,                 0.8073,                0.84667,                0.69356,                0.67656,                0.42806,                 1.4647,                0.10496,               0.007228,               0.007228,               0.007228,                 0.5491,                0.98184,                0.90878,                0.68014,                0.62757,                 0.7388,                0.62966,                0.73574,                0.40537,                0.14039,                0.38388,                0.62049,                0.41077,                      1,                0.26238,                0.51525,                0.96825,                0.69897,                0.66057,                0.65852,                0.69493,                0.57549,                0.68172,                0.37312,                0.16528,                0.48762,                0.58201,                0.41077,                      1,                0.63453,               0.011391,                0.10756,                0.77108,                0.58478,                0.31724,                 0.4836,                 0.2677,                 0.7323,                 0.7323,                      1
                     30,                0.71025,                0.47491,                 1.3766,                0.09988,                0.80801,                0.80266,                0.84937,                 0.6962,                0.67477,                0.42566,                 1.4643,                0.10478,               0.007129,               0.007129,               0.007129,                0.54735,                 0.9817,                0.89865,                0.67993,                0.62701,                0.73604,                0.62749,                0.73249,                0.40481,                 0.1411,                0.38334,                0.61585,                0.40967,                      1,                0.27306,                 0.5185,                   0.97,                 0.7016,                0.66213,                0.65787,                0.69388,                0.57779,                0.68167,                0.36951,                0.16508,                0.48357,                0.58352,                0.40967,                      1,                0.62657,               0.010948,                0.10755,                0.77025,                0.58492,                0.31711,                 0.4819,                 0.2656,                 0.7344,                 0.7344,                      1
