                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_global_mean,   p2/P3_rgb_global_mse,   p2/P3_rgb_global_std, p2/P3_rgb_spatial_mean,  p2/P3_rgb_spatial_mse,  p2/P3_rgb_spatial_std, p2/P4_final_weight_std,    p2/P4_gamma_spatial,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_global_mean,   p2/P4_rgb_global_mse,   p2/P4_rgb_global_std, p2/P4_rgb_spatial_mean,  p2/P4_rgb_spatial_mse,  p2/P4_rgb_spatial_std,p2/P4_spatial_logits_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,  p2/P5_rgb_global_mean,   p2/P5_rgb_global_mse,   p2/P5_rgb_global_std,p2/rgb_global_teacher_max,p2/rgb_global_teacher_mean,p2/rgb_global_teacher_min,p2/rgb_global_teacher_std,p2/prompt_warmup_factor
                     21,                0.71611,                0.48802,                  1.378,                0.03161,                0.00045,                  6e-05,                0.80349,                0.80766,                0.84568,                0.69771,                0.67079,                0.43599,                 1.4484,                0.02991,                0.00039,                  6e-05,                0.00802,                0.00802,                0.00802,               0.048388,                0.41851,                 0.4669,               0.060968,                 0.1413,                0.52077,               0.003995,                0.04725,                0.51975,               0.044863,              0.0008453,             0.00016404,              -0.002067,                0.50016,                0.49984,             3.6159e-05,               0.040032,                0.46739,                0.50742,               0.054161,                0.14403,                0.49954,               0.028512,                0.13711,                0.51611,               0.044841,              0.0031546,                0.12775,                0.50013,                0.49987,             0.00014815,                0.51854,               0.004418,               0.050896,                 0.6945,                0.52073,                0.32786,               0.093356,                      1
                     22,                0.70806,                0.48557,                 1.3744,                0.03161,                0.00045,                  5e-05,                0.79152,                0.81096,                0.83987,                 0.6941,                0.66974,                  0.435,                 1.4454,                0.02976,                0.00039,                  6e-05,               0.007921,               0.007921,               0.007921,               0.048482,                0.42216,                0.47064,               0.061454,                 0.1432,                0.51976,              0.0038442,               0.048145,                 0.5197,                0.04489,             0.00077912,             0.00017877,             -0.0022681,                0.50017,                0.49983,             3.8873e-05,               0.038453,                0.47213,                0.51059,               0.053041,                0.14581,                0.51994,               0.025594,                0.13382,                0.51611,               0.044858,              0.0029082,                0.12762,                0.50014,                0.49986,             0.00015126,                0.51951,               0.004561,               0.049225,                 0.6923,                0.51999,                0.32324,               0.093398,                      1
                     23,                0.71104,                0.48464,                 1.3834,                0.03137,                0.00045,                  5e-05,                0.78245,                 0.8181,                0.84325,                0.69791,                0.66796,                0.42917,                 1.4456,                0.02959,                 0.0004,                  5e-05,               0.007822,               0.007822,               0.007822,                0.04721,                0.42104,                0.46825,               0.059894,                0.14174,                0.51955,              0.0035906,               0.049329,                0.51907,               0.044796,             0.00072437,             0.00019545,             -0.0024965,                0.50019,                0.49981,             4.1226e-05,               0.036854,                0.47238,                0.50923,               0.051152,                0.14432,                0.49584,               0.028334,                 0.1405,                0.51611,               0.044771,              0.0027006,                0.12749,                0.50014,                0.49986,             0.00015247,                0.51841,              0.0043236,               0.049465,                0.69296,                0.52119,                0.32325,               0.093298,                      1
                     24,                 0.7076,                0.48258,                 1.3782,                0.03136,                0.00045,                  5e-05,                0.80754,                0.78981,                0.84282,                0.69914,                0.66901,                0.42963,                  1.445,                0.02945,                0.00039,                  6e-05,               0.007723,               0.007723,               0.007723,               0.046311,                0.42437,                0.47068,               0.059361,                0.14275,                0.52125,              0.0038707,               0.047964,                0.51896,               0.045013,              0.0006697,             0.00020806,             -0.0026677,                 0.5002,                 0.4998,             4.3356e-05,               0.035533,                0.47754,                0.51307,                0.05028,                0.14551,                0.50755,               0.028381,                 0.1375,                0.51603,               0.044994,              0.0024919,                0.12735,                0.50014,                0.49986,             0.00015464,                0.51976,              0.0043367,               0.051652,                0.69386,                0.52003,                0.32394,               0.093762,                      1
                     25,                0.70436,                0.47414,                 1.3736,                0.03144,                0.00045,                  5e-05,                0.81439,                 0.8116,                0.85243,                  0.707,                0.66353,                0.42764,                 1.4342,                0.02927,                0.00039,                  5e-05,               0.007624,               0.007624,               0.007624,               0.046707,                0.42597,                0.47267,               0.059909,                0.14376,                0.52211,              0.0036864,               0.049976,                0.51904,               0.044693,             0.00062363,             0.00022191,             -0.0028527,                0.50022,                0.49978,             4.6548e-05,               0.035147,                0.47792,                0.51307,               0.050042,                0.14596,                0.51687,               0.027036,                0.14032,                0.51611,                0.04467,              0.0023286,                0.12729,                0.50014,                0.49986,               0.000157,                0.51901,              0.0044366,               0.050139,                0.69441,                0.51902,                0.32436,               0.093755,                      1
                     26,                0.70172,                0.47165,                 1.3773,                0.03081,                0.00045,                  5e-05,                0.80051,                0.80598,                0.83931,                0.69514,                0.66722,                0.42825,                 1.4557,                0.02925,                0.00039,                  5e-05,               0.007525,               0.007525,               0.007525,               0.045719,                0.43174,                0.47745,                0.05883,                 0.1433,                0.52017,              0.0035722,               0.050494,                0.51891,               0.044734,              0.0005809,             0.00023566,             -0.0030368,                0.50023,                0.49977,             4.9706e-05,               0.034567,                0.48461,                0.51918,               0.049362,                0.14588,                0.51718,               0.028033,                0.13653,                0.51612,               0.044693,              0.0021396,                 0.1272,                0.50014,                0.49986,              0.0001598,                0.51987,              0.0043165,               0.050904,                0.69133,                 0.5193,                0.32344,               0.093634,                      1
                     27,                0.69738,                0.47082,                   1.37,                0.03119,                0.00045,                  6e-05,                0.81656,                0.79621,                0.83928,                0.69703,                0.66193,                0.42415,                 1.4481,                0.02911,                0.00039,                  6e-05,               0.007426,               0.007426,               0.007426,               0.045571,                0.42798,                0.47355,               0.058856,                0.14393,                0.51965,              0.0037123,               0.049644,                0.51869,               0.044836,             0.00053793,             0.00026011,             -0.0033688,                0.50025,                0.49975,             5.4955e-05,               0.034093,                0.48217,                0.51627,               0.049157,                0.14627,                0.53547,               0.031162,                0.14232,                0.51615,               0.044793,              0.0019914,                0.12711,                0.50015,                0.49985,             0.00016286,                0.51845,              0.0042765,               0.051313,                 0.6927,                0.52029,                0.32366,               0.093789,                      1
                     28,                0.69727,                0.46914,                 1.3688,                0.03085,                0.00045,                  6e-05,                0.81134,                0.80237,                0.84948,                0.70435,                0.66053,                0.42408,                 1.4338,                  0.029,                 0.0004,                  5e-05,               0.007327,               0.007327,               0.007327,               0.045404,                0.43103,                0.47643,               0.058554,                0.14371,                0.52012,              0.0036431,               0.050089,                0.51858,               0.044987,             0.00050552,             0.00027288,             -0.0035342,                0.50027,                0.49973,             5.9684e-05,               0.033797,                0.48721,                  0.521,               0.048748,                0.14628,                0.50205,               0.031493,                0.14308,                 0.5163,               0.044949,              0.0018485,                0.12703,                0.50015,                0.49985,             0.00016608,                0.51865,              0.0043189,               0.049624,                0.69182,                0.51905,                0.32052,               0.093963,                      1
                     29,                  0.698,                0.46865,                 1.3777,                0.03074,                0.00045,                  6e-05,                0.82025,                0.80025,                0.84381,                0.70159,                0.66056,                0.41971,                 1.4426,                0.02894,                 0.0004,                  5e-05,               0.007228,               0.007228,               0.007228,               0.044245,                0.43268,                0.47693,               0.057387,                0.14285,                0.52043,              0.0037933,               0.049497,                0.51851,               0.045014,             0.00047194,             0.00030303,             -0.0039445,                 0.5003,                 0.4997,              6.577e-05,               0.033071,                0.48684,                0.51991,               0.047932,                0.14551,                0.50646,               0.029461,                0.15012,                0.51612,                0.04499,              0.0017118,                0.12698,                0.50015,                0.49985,              0.0001687,                0.51734,              0.0045173,               0.047705,                0.69508,                0.52031,                 0.3229,               0.094689,                      1
                     30,                0.69495,                0.46569,                 1.3718,                0.03066,                0.00045,                  5e-05,                0.80617,                0.81942,                0.85465,                0.71164,                  0.659,                0.41677,                 1.4521,                0.02882,                 0.0004,                  5e-05,               0.007129,               0.007129,               0.007129,               0.044634,                0.43403,                0.47867,               0.057834,                0.14331,                0.51939,              0.0036131,               0.050088,                0.51829,               0.045121,             0.00044324,             0.00032457,             -0.0042347,                0.50032,                0.49968,             7.0551e-05,               0.032864,                0.48698,                0.51985,               0.047755,                0.14528,                0.51038,               0.028741,                0.14004,                0.51611,                0.04511,               0.001587,                0.12691,                0.50015,                0.49985,             0.00017039,                0.51668,               0.004388,                0.04805,                0.69376,                0.51951,                 0.3257,               0.093956,                      1
