                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std, p2/P3_rgb_spatial_mean,  p2/P3_rgb_spatial_mse,  p2/P3_rgb_spatial_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,p2/P4_gder_modality_weight_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std, p2/P4_rgb_spatial_mean,  p2/P4_rgb_spatial_mse,  p2/P4_rgb_spatial_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/P5_gder_modality_weight_std,p2/prompt_warmup_factor
                     37,                0.68038,                0.45003,                 1.3623,                0.03015,                0.00045,                      0,                0.81207,                0.82661,                 0.8659,                0.72342,                0.65251,                 0.4063,                 1.4424,                0.02837,                0.00039,                      0,               0.006436,               0.006436,               0.006436,               0.041717,                0.43838,                0.48009,                0.05509,                0.14302,                0.51904,               0.045154,             0.00031323,                0.50043,                0.49957,             0.00056729,               0.030814,                 0.4967,                0.52752,               0.046055,                0.14586,                0.51709,               0.045143,              0.0010651,                0.50008,                0.49992,             9.8318e-05,                      1
                     38,                0.68427,                0.44934,                 1.3717,                0.03021,                0.00045,                      0,                0.81712,                0.83334,                0.86519,                0.72333,                0.65153,                0.40512,                 1.4476,                0.02832,                0.00039,                      0,               0.006337,               0.006337,               0.006337,               0.041327,                0.43942,                0.48074,               0.054712,                0.14294,                0.51869,               0.044579,             0.00029906,                0.50043,                0.49957,             0.00058165,               0.030699,                0.49908,                0.52978,               0.045985,                0.14636,                0.51709,               0.044596,              0.0009996,                0.50008,                0.49992,             9.9943e-05,                      1
                     39,                0.67958,                0.44528,                 1.3696,                0.03005,                0.00045,                      0,                0.84002,                 0.8177,                0.86994,                0.72719,                0.65227,                0.40472,                 1.4417,                0.02824,                0.00039,                      0,               0.006238,               0.006238,               0.006238,               0.041757,                0.44014,                 0.4819,               0.055254,                 0.1433,                0.51876,               0.044709,             0.00028314,                0.50043,                0.49957,             0.00059805,               0.030664,                0.49984,                 0.5305,               0.046066,                0.14637,                0.51709,               0.044711,             0.00095236,                0.50008,                0.49992,             0.00010101,                      1
                     40,                0.67749,                0.44547,                 1.3647,                0.03013,                0.00045,                      0,                0.83017,                0.82759,                0.86953,                 0.7269,                0.65244,                0.40388,                 1.4421,                0.02818,                0.00039,                      0,               0.006139,               0.006139,               0.006139,               0.041284,                0.43896,                0.48024,               0.054695,                0.14352,                0.51904,                0.04482,             0.00027609,                0.50043,                0.49957,             0.00060973,               0.030088,                0.49868,                0.52877,               0.045404,                0.14605,                0.51709,               0.044825,             0.00088571,                0.50008,                0.49992,             0.00010219,                      1
                     41,                0.67736,                0.44184,                 1.3688,                0.03016,                0.00045,                      0,                0.83379,                0.82374,                0.86819,                0.72594,                0.65228,                0.40362,                   1.44,                0.02814,                0.00039,                      0,                0.00604,                0.00604,                0.00604,               0.041822,                0.44145,                0.48328,               0.055371,                0.14404,                0.51904,               0.045143,             0.00024705,                0.50043,                0.49957,             0.00062494,               0.030781,                0.50023,                0.53102,               0.046209,                0.14706,                0.51709,               0.045127,             0.00084543,                0.50008,                0.49992,              0.0001035,                      1
                     42,                0.67548,                0.44093,                 1.3643,                0.03001,                0.00045,                      0,                0.82222,                0.83591,                0.87134,                0.72971,                0.65098,                0.40133,                 1.4424,                0.02809,                0.00039,                      0,               0.005941,               0.005941,               0.005941,               0.041511,                0.44063,                0.48214,               0.054976,                0.14312,                0.51896,                0.04514,             0.00026227,                0.50043,                0.49957,             0.00063414,               0.030244,                0.50144,                0.53168,               0.045635,                0.14641,                0.51709,               0.045156,             0.00079876,                0.50008,                0.49992,             0.00010504,                      1
                     43,                 0.6701,                0.43804,                 1.3692,                0.02986,                0.00045,                      0,                0.82679,                0.83172,                0.87177,                0.73127,                0.65067,                0.40016,                 1.4474,                0.02803,                0.00039,                      0,               0.005842,               0.005842,               0.005842,               0.040526,                0.44472,                0.48525,               0.054146,                0.14349,                0.51904,               0.045041,             0.00021626,                0.50043,                0.49957,             0.00064272,               0.029661,                0.50176,                0.53143,                0.04511,                  0.146,                0.51749,               0.045036,             0.00075869,                0.50008,                0.49992,             0.00010635,                      1
                     44,                0.67203,                0.43539,                 1.3656,                0.02996,                0.00045,                      0,                  0.822,                0.83903,                0.87283,                0.73137,                0.64971,                0.39975,                 1.4485,                0.02801,                0.00039,                      0,               0.005743,               0.005743,               0.005743,               0.041003,                0.44419,                 0.4852,                0.05471,                0.14419,                0.51904,               0.045146,              0.0002202,                0.50043,                0.49957,             0.00065964,               0.030056,                0.50249,                0.53254,               0.045649,                0.14676,                0.51758,               0.045133,             0.00071183,                0.50009,                0.49991,             0.00010744,                      1
                     45,                 0.6743,                0.43752,                 1.3684,                0.02982,                0.00045,                      0,                0.82697,                0.83573,                0.87286,                0.73098,                   0.65,                 0.3995,                 1.4476,                0.02796,                0.00039,                      0,               0.005644,               0.005644,               0.005644,               0.040778,                0.44254,                0.48332,               0.054245,                0.14302,                0.51925,               0.044888,             0.00023487,                0.50044,                0.49956,             0.00067137,               0.029768,                0.50299,                0.53276,               0.045152,                0.14606,                0.51758,               0.044895,             0.00068266,                0.50009,                0.49991,             0.00010897,                      1
                     46,                0.67146,                0.43653,                 1.3733,                0.02981,                0.00045,                      0,                0.83825,                0.82136,                0.87283,                0.73225,                0.65009,                 0.3988,                 1.4499,                0.02793,                0.00039,                      0,               0.005545,               0.005545,               0.005545,               0.040146,                0.44209,                0.48223,               0.053551,                0.14287,                0.51916,               0.044946,             0.00022954,                0.50045,                0.49955,              0.0006841,               0.029712,                0.50308,                0.53279,               0.045034,                0.14611,                0.51758,               0.044941,             0.00063908,                0.50009,                0.49991,             0.00011006,                      1
                     47,                0.67095,                 0.4323,                  1.363,                0.02974,                0.00045,                      0,                0.84696,                0.81964,                0.87393,                0.73376,                 0.6489,                0.39751,                 1.4465,                 0.0279,                0.00039,                      0,               0.005446,               0.005446,               0.005446,               0.040326,                0.44585,                0.48618,               0.053903,                0.14394,                0.51923,               0.044727,             0.00020458,                0.50046,                0.49954,             0.00070344,               0.029824,                0.50601,                0.53583,               0.045315,                0.14695,                0.51758,               0.044731,             0.00061301,                0.50009,                0.49991,             0.00011101,                      1
