                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     38,                0.68267,                0.44873,                   1.37,                0.03012,                      0,                0.83553,                0.82151,                0.86287,                0.72239,                0.65214,                 0.4057,                 1.4477,                0.02826,                      0,               0.006337,               0.006337,               0.006337,               0.041841,                0.43968,                0.48152,               0.055245,                0.14299,                0.03045,                0.50074,                0.53119,               0.045788,                0.14625,                      1
                     39,                0.67915,                0.44433,                 1.3709,                0.02998,                      0,                0.84145,                0.81708,                0.86267,                0.72135,                0.65271,                0.40504,                 1.4519,                0.02818,                      0,               0.006238,               0.006238,               0.006238,               0.042263,                0.43919,                0.48145,                0.05573,                0.14295,               0.030426,                0.50147,                0.53189,               0.045885,                0.14648,                      1
                     40,                0.67691,                0.44553,                  1.365,                0.03006,                      0,                0.83121,                0.82532,                 0.8639,                0.72199,                0.65187,                0.40416,                  1.447,                0.02813,                      0,               0.006139,               0.006139,               0.006139,               0.041678,                0.43861,                0.48029,                0.05508,                0.14317,                0.02994,                0.49988,                0.52982,               0.045298,                0.14607,                      1
                     41,                0.67699,                 0.4409,                 1.3744,                0.03011,                      0,                0.82554,                0.83094,                0.86328,                0.72239,                 0.6521,                0.40458,                 1.4525,                0.02811,                      0,                0.00604,                0.00604,                0.00604,               0.042295,                0.44078,                0.48307,               0.055825,                0.14404,               0.030565,                0.50154,                 0.5321,               0.046032,                0.14698,                      1
                     42,                0.67604,                0.44141,                 1.3648,                0.02992,                      0,                0.82946,                0.82734,                0.86691,                0.72621,                0.65102,                0.40323,                 1.4513,                0.02804,                      0,               0.005941,               0.005941,               0.005941,                0.04169,                0.44114,                0.48283,               0.055172,                0.14328,                0.03024,                0.50249,                0.53273,               0.045668,                0.14629,                      1
                     43,                0.66921,                0.43682,                 1.3691,                0.02976,                      0,                0.84232,                0.82523,                0.87002,                0.72942,                0.65042,                0.40142,                 1.4509,                0.02799,                      0,               0.005842,               0.005842,               0.005842,               0.040635,                0.44431,                0.48494,               0.054239,                0.14308,               0.029282,                0.50286,                0.53214,               0.044766,                0.14549,                      1
                     44,                0.67241,                0.43646,                 1.3655,                0.02989,                      0,                0.83928,                0.83142,                0.87293,                0.73153,                0.65047,                0.40027,                 1.4478,                0.02797,                      0,               0.005743,               0.005743,               0.005743,               0.041159,                0.44382,                0.48498,               0.054863,                0.14421,               0.029755,                0.50379,                0.53355,               0.045394,                0.14666,                      1
                     45,                0.67467,                 0.4386,                  1.366,                0.02976,                      0,                 0.8419,                0.82723,                0.87087,                0.73014,                0.65095,                0.40157,                  1.445,                0.02793,                      0,               0.005644,               0.005644,               0.005644,               0.040621,                0.44263,                0.48326,               0.054088,                0.14289,               0.029541,                0.50371,                0.53325,               0.044944,                0.14601,                      1
                     46,                0.67124,                0.43575,                 1.3722,                0.02976,                      0,                0.83531,                0.82612,                0.86967,                0.72942,                0.65066,                0.40111,                 1.4462,                0.02789,                      0,               0.005545,               0.005545,               0.005545,               0.040919,                 0.4423,                0.48322,                0.05433,                0.14332,               0.029294,                0.50414,                0.53343,               0.044654,                0.14567,                      1
                     47,                0.66966,                 0.4319,                 1.3644,                0.02969,                      0,                0.83001,                0.83082,                0.86937,                0.72999,                0.64981,                0.40083,                 1.4465,                0.02785,                      0,               0.005446,               0.005446,               0.005446,               0.040645,                0.44467,                0.48531,               0.054184,                0.14374,               0.029413,                0.50581,                0.53522,                 0.0449,                0.14633,                      1
                     48,                0.66935,                0.43448,                 1.3665,                0.02971,                      0,                 0.8387,                0.82626,                0.86687,                0.72772,                0.64939,                0.40066,                 1.4461,                0.02782,                      0,               0.005347,               0.005347,               0.005347,               0.039828,                 0.4431,                0.48293,               0.053353,                0.14283,               0.029321,                0.50374,                0.53306,               0.044773,                0.14592,                      1
