                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,saliency/P3_background_mean,saliency/P3_foreground_background_gap,saliency/P3_foreground_mean,  saliency/P3_gate_mean,   saliency/P3_gate_std,saliency/P3_negative_ratio,saliency/P3_positive_ratio,saliency/P4_background_mean,saliency/P4_foreground_background_gap,saliency/P4_foreground_mean,  saliency/P4_gate_mean,   saliency/P4_gate_std,saliency/P4_negative_ratio,saliency/P4_positive_ratio,          saliency/gain
                     49,                0.66898,                0.43265,                 1.3617,                0.03708,                0.84569,                0.82933,                0.87163,                0.73008,                0.65189,                0.40365,                 1.4513,                0.03518,               0.005248,               0.005248,               0.005248,               0.058537,                0.39675,                0.45529,                 0.0706,                0.14192,                 0.9681,                0.03183,                0.22469,             2.5658e-05,                0.22472,                0.22469,             0.00028089,                      1,                      0,                  0.025
                     50,                0.66429,                0.42687,                  1.366,                0.03722,                0.83587,                0.83473,                0.87051,                0.72902,                0.65157,                0.40315,                 1.4539,                0.03516,               0.005149,               0.005149,               0.005149,               0.059149,                 0.3981,                0.45725,               0.071455,                0.14315,                0.96759,               0.032337,                0.22526,             2.6209e-05,                0.22528,                0.22526,             0.00085593,                      1,                      0,                  0.025
                     51,                0.66804,                 0.4318,                 1.3652,                0.03715,                0.84416,                0.82729,                0.87204,                0.73015,                0.65094,                 0.4028,                 1.4519,                0.03513,                0.00505,                0.00505,                0.00505,               0.059226,                0.39611,                0.45534,               0.071397,                0.14198,                0.96801,               0.031918,                0.22526,             2.6578e-05,                0.22528,                0.22526,              0.0011788,                      1,                      0,                  0.025
                     52,                0.66354,                0.42745,                 1.3722,                0.03692,                0.83762,                0.83727,                0.87215,                0.73077,                0.65046,                0.40221,                  1.453,                0.03511,               0.004951,               0.004951,               0.004951,               0.056865,                0.39671,                0.45357,               0.068853,                0.14105,                0.96871,                0.03122,                0.22507,             2.6376e-05,                 0.2251,                0.22507,              0.0017783,                      1,                      0,                  0.025
                     53,                0.66128,                 0.4234,                 1.3693,                0.03698,                0.84323,                0.83403,                0.87299,                0.73129,                 0.6503,                0.40093,                 1.4535,                0.03509,               0.004852,               0.004852,               0.004852,                0.05759,                0.39973,                0.45732,               0.069728,                 0.1419,                0.96817,                0.03176,                0.22516,             2.6984e-05,                0.22519,                0.22517,              0.0018909,                      1,                      0,                  0.025
                     54,                  0.659,                 0.4224,                 1.3678,                 0.0369,                0.84287,                0.83643,                0.87312,                0.73192,                0.64999,                0.40047,                 1.4535,                0.03508,               0.004753,               0.004753,               0.004753,               0.057966,                0.39892,                0.45689,               0.070072,                0.14158,                0.96837,                0.03156,                0.22499,             2.7274e-05,                0.22502,                0.22499,              0.0012218,                      1,                      0,                  0.025
                     55,                0.66092,                0.42105,                 1.3569,                0.03695,                 0.8455,                0.83215,                0.87273,                0.73166,                0.64978,                0.40012,                 1.4534,                0.03506,               0.004654,               0.004654,               0.004654,               0.057577,                0.40385,                0.46142,                 0.0699,                0.14333,                0.96745,               0.032472,                0.22519,             2.6065e-05,                0.22522,                0.22519,             0.00028304,                      1,                      0,                  0.025
                     56,                0.65666,                0.42023,                 1.3616,                0.03706,                0.84327,                0.83646,                0.87311,                0.73263,                0.64951,                0.39979,                 1.4543,                0.03505,               0.004555,               0.004555,               0.004555,               0.056211,                0.40106,                0.45727,               0.068559,                0.14257,                0.96795,               0.031979,                0.22518,             2.5863e-05,                0.22521,                0.22518,             0.00025184,                      1,                      0,                  0.025
                     57,                0.65325,                0.41502,                 1.3584,                0.03701,                0.84114,                0.83616,                0.87258,                0.73171,                0.64914,                0.39945,                 1.4549,                0.03503,               0.004456,               0.004456,               0.004456,                0.05872,                0.40295,                0.46167,               0.071138,                0.14407,                0.96736,               0.032562,                0.22519,             2.4477e-05,                0.22521,                0.22519,             0.00017515,                      1,                      0,                  0.025
                     58,                 0.6605,                0.41856,                 1.3544,                0.03687,                0.83882,                0.83584,                0.87204,                0.73105,                0.64896,                0.39979,                 1.4554,                0.03502,               0.004357,               0.004357,               0.004357,               0.057279,                0.39971,                0.45699,               0.069442,                0.14253,                0.96826,               0.031674,                0.22553,             2.2358e-05,                0.22556,                0.22553,             0.00076519,                      1,                      0,                  0.025
                     59,                0.65871,                0.41679,                 1.3697,                0.03682,                0.84069,                0.83527,                0.87147,                0.73083,                0.64887,                0.40038,                 1.4555,                  0.035,               0.004258,               0.004258,               0.004258,               0.056697,                0.40222,                0.45891,               0.068895,                0.14232,                0.96821,                0.03172,                0.22568,             2.0118e-05,                 0.2257,                0.22568,              0.0012585,                      1,                      0,                  0.025
                     60,                0.65721,                0.41656,                 1.3582,                0.03696,                0.84128,                0.83344,                0.87084,                0.73072,                0.64879,                0.40044,                 1.4556,                0.03499,               0.004159,               0.004159,               0.004159,               0.056366,                0.40286,                0.45922,               0.068762,                0.14322,                0.96756,               0.032365,                0.22583,             1.9058e-05,                0.22585,                0.22583,              0.0013185,                      1,                      0,                  0.025
                     61,                 0.6519,                0.41036,                 1.3569,                0.03685,                0.84027,                0.83453,                0.87051,                0.73033,                0.64853,                 0.4007,                 1.4558,                0.03497,                0.00406,                0.00406,                0.00406,               0.057002,                0.40335,                0.46035,               0.069361,                0.14321,                0.96777,               0.032154,                0.22629,             1.6933e-05,                0.22631,                0.22629,              0.0009199,                      1,                      0,                  0.025
                     62,                0.64829,                0.40955,                  1.358,                0.03684,                 0.8396,                0.83444,                0.86957,                0.73009,                0.64854,                0.40085,                  1.456,                0.03496,               0.003961,               0.003961,               0.003961,               0.056246,                0.40407,                0.46031,               0.068618,                0.14359,                0.96765,               0.032279,                 0.2263,              1.382e-05,                0.22632,                 0.2263,             0.00084543,                      1,                      0,                  0.025
                     63,                0.65214,                 0.4107,                 1.3619,                0.03672,                0.83946,                0.83484,                0.86911,                0.72966,                0.64849,                0.40121,                 1.4558,                0.03495,               0.003862,               0.003862,               0.003862,               0.055728,                0.40294,                0.45867,               0.067918,                0.14213,                0.96838,               0.031544,                0.22638,             1.1855e-05,                0.22639,                0.22638,              0.0002873,                      1,                      0,                  0.025
                     64,                0.65156,                 0.4134,                  1.359,                0.03652,                0.83759,                 0.8363,                0.86889,                0.72953,                0.64834,                0.40137,                 1.4555,                0.03494,               0.003763,               0.003763,               0.003763,               0.056373,                0.40507,                0.46145,               0.068432,                0.14205,                0.96833,               0.031599,                0.22646,             9.2122e-06,                0.22647,                0.22646,             0.00068333,                      1,                      0,                  0.025
                     65,                0.64574,                0.40497,                 1.3576,                0.03691,                0.83853,                0.83537,                0.86887,                0.72955,                0.64825,                0.40121,                 1.4555,                0.03493,               0.003664,               0.003664,               0.003664,               0.056775,                0.40573,                0.46251,               0.069335,                0.14424,                0.96733,               0.032596,                0.22656,              6.681e-06,                0.22657,                0.22656,             0.00036353,                      1,                      0,                  0.025
                     66,                0.64518,                0.40526,                 1.3599,                0.03672,                0.83798,                0.83659,                0.86891,                0.72962,                0.64819,                  0.401,                 1.4559,                0.03492,               0.003565,               0.003565,               0.003565,               0.056666,                0.40437,                0.46103,               0.068968,                0.14301,                0.96806,               0.031862,                 0.2267,             5.2167e-06,                0.22671,                 0.2267,             0.00031291,                      1,                      0,                  0.025
                     67,                0.64922,                0.40438,                  1.351,                0.03679,                0.83856,                0.83569,                0.86888,                0.72959,                0.64815,                0.40105,                  1.456,                0.03491,               0.003466,               0.003466,               0.003466,               0.056424,                0.40365,                0.46007,               0.068751,                0.14309,                0.96784,               0.032089,                0.22714,             3.6406e-06,                0.22714,                0.22714,             0.00053688,                      1,                      0,                  0.025
                     68,                0.64241,                0.39935,                 1.3593,                0.03666,                0.83858,                0.83459,                0.86868,                0.72939,                0.64808,                0.40086,                 1.4566,                0.03489,               0.003367,               0.003367,               0.003367,               0.056127,                0.40792,                0.46404,               0.068559,                0.14365,                0.96765,               0.032278,                0.22735,             2.6903e-06,                0.22736,                0.22735,             0.00028165,                      1,                      0,                  0.025
                     69,                0.64304,                0.39981,                 1.3544,                0.03673,                0.83758,                0.83563,                0.86826,                0.72909,                0.64794,                0.40088,                 1.4565,                0.03488,               0.003268,               0.003268,               0.003268,               0.056858,                0.40714,                  0.464,               0.069411,                0.14421,                0.96735,               0.032572,                0.22755,             1.8414e-06,                0.22755,                0.22755,             0.00045527,                      1,                      0,                  0.025
