                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_global_mean,   p2/P3_rgb_global_mse,   p2/P3_rgb_global_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_global_mean,   p2/P4_rgb_global_mse,   p2/P4_rgb_global_std,p2/rgb_global_teacher_max,p2/rgb_global_teacher_mean,p2/rgb_global_teacher_min,p2/rgb_global_teacher_std,p2/prompt_warmup_factor
                     31,                0.69756,                0.46522,                  1.376,                0.03078,                      0,                  5e-05,                0.82227,                0.82275,                0.86393,                0.72039,                0.65804,                0.41228,                 1.4402,                0.02897,                      0,                  5e-05,                0.00703,                0.00703,                0.00703,               0.045337,                0.43065,                0.47598,                0.05843,                0.14365,                0.52385,              0.0041948,                0.04593,               0.033171,                0.48573,                 0.5189,               0.048022,                0.14583,                0.51627,               0.021842,                0.12442,                0.69088,                  0.521,                0.32444,               0.092914,                      1
                     32,                0.69308,                0.46165,                  1.377,                0.03073,                      0,                  6e-05,                0.81154,                0.82229,                0.85603,                0.71361,                0.65783,                0.41232,                 1.4413,                0.02894,                      0,                  5e-05,               0.006931,               0.006931,               0.006931,               0.045896,                0.43304,                0.47893,               0.059134,                0.14444,                0.52228,              0.0041678,               0.047215,               0.033364,                0.48795,                0.52131,               0.048376,                0.14626,                0.52296,               0.024909,                0.13206,                0.69565,                  0.521,                0.32257,               0.094856,                      1
                     33,                0.69249,                0.46092,                 1.3678,                0.03058,                      0,                  5e-05,                0.80729,                 0.8215,                0.85344,                0.71286,                0.65508,                0.41387,                 1.4496,                0.02881,                      0,                  5e-05,               0.006832,               0.006832,               0.006832,               0.044518,                0.43179,                0.47631,               0.057603,                0.14314,                 0.5226,              0.0040302,               0.047569,               0.032469,                0.48883,                 0.5213,               0.047353,                 0.1456,                0.51318,               0.024379,                0.12982,                0.69494,                0.52061,                0.32435,               0.093526,                      1
                     34,                0.68802,                0.45615,                 1.3689,                0.03048,                      0,                  5e-05,                0.81881,                0.81676,                0.85598,                0.71564,                 0.6554,                0.41462,                 1.4498,                0.02874,                      0,                  5e-05,               0.006733,               0.006733,               0.006733,               0.044128,                0.43466,                0.47879,               0.057373,                 0.1438,                0.52305,              0.0039244,               0.048393,                0.03203,                0.49166,                0.52369,               0.047087,                0.14581,                0.51896,                0.02223,                0.12481,                 0.6939,                 0.5225,                0.32289,                0.09398,                      1
                     35,                0.69078,                0.45788,                 1.3692,                0.03049,                      0,                  5e-05,                0.81506,                0.82621,                0.85905,                0.71861,                0.65567,                0.41205,                 1.4372,                0.02862,                      0,                  5e-05,               0.006634,               0.006634,               0.006634,               0.044303,                0.43457,                0.47887,               0.057459,                0.14372,                0.52108,              0.0041445,                0.04716,               0.032136,                0.49306,                 0.5252,               0.047147,                0.14587,                0.50637,               0.021046,                0.12164,                0.69302,                0.51973,                0.32142,               0.094232,                      1
                     36,                0.68441,                0.45219,                 1.3617,                 0.0305,                      0,                  6e-05,                0.82131,                0.81166,                0.85467,                0.71395,                0.65372,                0.40959,                 1.4423,                0.02855,                      0,                  5e-05,               0.006535,               0.006535,               0.006535,               0.043692,                0.43445,                0.47814,               0.057031,                0.14353,                0.52567,              0.0040929,               0.047005,               0.031573,                0.49237,                0.52394,               0.046771,                0.14611,                 0.5228,               0.026209,                0.12742,                0.69587,                0.52121,                0.32621,               0.093516,                      1
                     37,                 0.6797,                0.44937,                 1.3631,                0.03018,                      0,                  5e-05,                 0.8139,                0.82544,                0.85568,                0.71534,                0.65277,                0.40854,                 1.4434,                0.02849,                      0,                  5e-05,               0.006436,               0.006436,               0.006436,               0.042678,                0.43775,                0.48043,               0.056032,                0.14334,                0.51904,              0.0041481,               0.046191,               0.030963,                0.49533,                0.52629,               0.046143,                 0.1456,                0.51021,                0.02262,                0.12578,                0.69287,                0.51935,                0.32481,               0.093947,                      1
                     38,                0.68312,                0.44989,                 1.3681,                0.03022,                      0,                  5e-05,                0.82921,                0.81996,                0.86099,                0.71998,                0.65267,                 0.4066,                  1.445,                0.02844,                      0,                  5e-05,               0.006337,               0.006337,               0.006337,               0.042246,                0.43984,                0.48209,               0.055652,                0.14372,                0.51994,               0.003951,               0.048023,               0.030781,                0.49719,                0.52797,               0.046009,                0.14588,                0.52049,               0.022392,                0.12463,                0.69092,                0.51767,                0.32209,               0.093687,                      1
                     39,                0.68045,                0.44539,                 1.3699,                0.03008,                      0,                  5e-05,                0.82587,                0.82121,                0.86185,                0.72007,                0.65316,                0.40599,                 1.4467,                0.02836,                      0,                  5e-05,               0.006238,               0.006238,               0.006238,               0.042614,                0.44043,                0.48305,               0.056114,                0.14412,                0.52526,              0.0039308,               0.047051,               0.030588,                0.49803,                0.52862,               0.045931,                0.14595,                0.51432,               0.023308,                0.12878,                0.69384,                0.52096,                0.32313,               0.093824,                      1
                     40,                0.67754,                0.44666,                 1.3659,                0.03017,                      0,                  6e-05,                0.83484,                0.82104,                0.86311,                 0.7224,                0.65379,                0.40443,                 1.4469,                 0.0283,                      0,                  5e-05,               0.006139,               0.006139,               0.006139,               0.041731,                0.43821,                0.47994,               0.055117,                0.14372,                0.52072,              0.0040507,                0.04754,               0.030164,                0.49698,                0.52714,                0.04542,                0.14574,                0.51014,               0.026755,                0.13857,                0.69644,                  0.522,                0.32219,               0.094501,                      1
