                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,    train/saliency_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,      val/saliency_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.67455,                0.43845,                  1.368,                0.03242,                0.83728,                0.83516,                0.87189,                0.72978,                0.65211,                0.40071,                 1.4501,                0.03556,               0.005743,               0.005743,               0.005743
                     45,                0.67843,                0.44172,                 1.3717,                0.03239,                0.84721,                0.82681,                0.87074,                 0.7285,                0.65281,                0.40126,                 1.4517,                0.03543,               0.005644,               0.005644,               0.005644
                     46,                0.67469,                0.43929,                 1.3737,                0.03272,                0.84093,                 0.8349,                0.86999,                0.72786,                0.65298,                 0.4016,                  1.451,                0.03539,               0.005545,               0.005545,               0.005545
                     47,                0.67321,                0.43569,                 1.3662,                0.03244,                0.83957,                0.83928,                0.87023,                0.72743,                0.65213,                0.40165,                 1.4493,                0.03536,               0.005446,               0.005446,               0.005446
                     48,                0.67216,                 0.4373,                 1.3694,                0.03222,                0.83012,                0.84109,                 0.8683,                0.72594,                0.65125,                0.40168,                 1.4519,                0.03531,               0.005347,               0.005347,               0.005347
                     49,                0.66819,                 0.4314,                 1.3628,                 0.0319,                0.83044,                0.83733,                0.86806,                0.72559,                0.65081,                0.40153,                 1.4523,                0.03526,               0.005248,               0.005248,               0.005248
                     50,                0.66403,                0.42811,                 1.3647,                0.03167,                0.83451,                 0.8357,                0.86693,                0.72463,                0.65053,                 0.4017,                 1.4538,                0.03521,               0.005149,               0.005149,               0.005149
                     51,                0.66715,                0.43081,                 1.3683,                0.03189,                0.84228,                0.83578,                 0.8695,                0.72726,                 0.6504,                0.40068,                 1.4547,                0.03517,                0.00505,                0.00505,                0.00505
                     52,                0.66325,                 0.4271,                 1.3707,                0.03179,                0.84103,                  0.837,                0.86891,                0.72707,                0.65013,                0.40012,                 1.4559,                0.03512,               0.004951,               0.004951,               0.004951
                     53,                0.66042,                 0.4225,                 1.3684,                0.03146,                0.84158,                0.83579,                0.87041,                0.72858,                 0.6503,                0.39951,                 1.4563,                0.03507,               0.004852,               0.004852,               0.004852
                     54,                0.65888,                0.42346,                 1.3676,                0.03136,                0.84657,                0.83399,                0.87079,                0.72913,                 0.6504,                0.39944,                 1.4555,                0.03499,               0.004753,               0.004753,               0.004753
                     55,                0.66182,                0.42105,                 1.3617,                0.03139,                0.84379,                0.83634,                0.87116,                0.72963,                0.65018,                0.39908,                 1.4563,                0.03494,               0.004654,               0.004654,               0.004654
                     56,                0.65551,                0.41948,                 1.3621,                0.03148,                0.84457,                0.83695,                0.87231,                0.73086,                0.64981,                0.39829,                 1.4568,                 0.0349,               0.004555,               0.004555,               0.004555
                     57,                0.65318,                0.41536,                  1.358,                0.03105,                0.83851,                0.84058,                0.87221,                0.73077,                0.64918,                0.39792,                 1.4567,                0.03487,               0.004456,               0.004456,               0.004456
                     58,                0.66009,                0.41753,                 1.3563,                 0.0312,                0.83622,                 0.8414,                0.87191,                0.73077,                0.64901,                 0.3979,                  1.457,                0.03484,               0.004357,               0.004357,               0.004357
                     59,                0.65897,                0.41668,                 1.3682,                0.03115,                 0.8395,                0.83789,                0.87109,                 0.7299,                0.64888,                0.39812,                 1.4568,                0.03481,               0.004258,               0.004258,               0.004258
                     60,                0.65732,                0.41626,                 1.3586,                0.03113,                0.84543,                0.83316,                0.87079,                0.72944,                0.64885,                0.39809,                 1.4565,                0.03478,               0.004159,               0.004159,               0.004159
                     61,                0.65193,                 0.4108,                 1.3578,                0.03071,                 0.8407,                0.83717,                0.87043,                 0.7297,                 0.6485,                0.39801,                 1.4568,                0.03475,                0.00406,                0.00406,                0.00406
