                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     21,                0.72812,                0.49318,                 1.3745,                0.08078,                0.78489,                0.81624,                0.84666,                0.68963,                0.68382,                0.43725,                  1.472,                0.08617,                0.00802,                0.00802,                0.00802,                      0,                 0.6843,                0.68282,                0.66995,                0.53488,                0.67104,                0.40002,                0.18604,                0.45088,                0.57506,                0.41286,                0.63583,                      0,                0.65587,                0.67637,                0.66475,                0.51283,                0.66727,                0.43881,                0.19058,                0.45816,                0.54839,                0.41286,                0.69754,              0.0092894,                      0,                0.69458,                0.57717,                0.31643,                0.47805,                 0.2735,                 0.7265,                 0.7265,                      1
                     22,                0.72279,                 0.4917,                 1.3781,                0.08083,                0.75981,                0.78347,                0.81096,                0.65995,                0.68643,                 0.4507,                 1.4754,                0.08812,               0.007921,               0.007921,               0.007921,                      0,                0.68288,                0.68272,                0.66992,                0.53421,                0.67282,                0.40336,                0.18318,                0.45099,                0.57393,                0.41166,                0.64509,                      0,                 0.6592,                 0.6771,                0.66468,                0.51457,                0.66936,                0.43729,                0.18853,                0.45515,                0.55546,                0.41166,                0.69739,              0.0089856,                      0,                0.69471,                0.58783,                0.31497,                0.48757,                0.26605,                0.73395,                0.73395,                      1
                     23,                0.72226,                0.48723,                 1.3828,                0.08116,                0.80088,                0.79352,                0.84207,                0.68822,                0.67975,                0.43544,                 1.4737,                0.08643,               0.007822,               0.007822,               0.007822,                      0,                0.68533,                0.68552,                0.67202,                0.53664,                0.67234,                0.39664,                0.18603,                0.44893,                 0.5854,                0.41033,                0.63675,                      0,                0.66235,                0.67727,                0.66509,                0.51288,                0.67024,                0.43447,                0.18968,                 0.4534,                0.56108,                0.41033,                0.69187,              0.0092296,                      0,                0.69615,                0.58385,                0.31669,                 0.4814,                0.26724,                0.73276,                0.73276,                      1
                     24,                0.72092,                 0.4881,                 1.3772,                0.08023,                0.82378,                0.76591,                 0.8349,                0.68267,                0.68266,                0.44001,                 1.4726,                0.08661,               0.007723,               0.007723,               0.007723,                      0,                0.67753,                 0.6829,                0.67264,                 0.5285,                0.66912,                0.40178,                0.18668,                0.45191,                0.57617,                0.41155,                 0.6458,                      0,                 0.6587,                0.67597,                0.66644,                0.50496,                0.66905,                0.43993,                0.19022,                0.45578,                0.55793,                0.41155,                0.69777,              0.0093251,                      0,                 0.6883,                0.58422,                 0.3137,                0.48391,                0.26505,                0.73495,                0.73495,                      1
                     25,                0.71772,                0.48364,                 1.3776,                0.08061,                0.80071,                0.79521,                0.84039,                0.68884,                0.67934,                 0.4346,                 1.4562,                0.08596,               0.007624,               0.007624,               0.007624,                      0,                0.68292,                0.68302,                0.67061,                0.53339,                 0.6722,                0.40186,                0.18554,                0.45257,                0.57302,                0.41361,                0.64343,                      0,                0.65576,                0.67745,                0.66655,                0.51023,                0.66894,                0.43767,                0.19131,                0.45971,                0.55087,                0.41361,                0.70435,              0.0090295,                      0,                0.69299,                0.58057,                0.31345,                 0.4822,                 0.2713,                 0.7287,                 0.7287,                      1
                     26,                0.71318,                0.48044,                 1.3715,                0.08073,                0.82156,                 0.7729,                0.84444,                0.68988,                0.67883,                0.43371,                 1.4462,                0.08586,               0.007525,               0.007525,               0.007525,                      0,                0.68481,                0.68494,                0.67104,                0.53307,                0.67159,                0.40117,                 0.1865,                0.44698,                0.57723,                0.41039,                 0.6346,                      0,                0.66375,                0.67809,                0.66559,                0.51203,                0.67016,                 0.4367,                0.19109,                0.45256,                 0.5545,                0.41039,                0.68808,              0.0087844,                      0,                0.69336,                0.58507,                0.31619,                0.48268,                0.26328,                0.73672,                0.73672,                      1
                     27,                0.70954,                0.47778,                 1.3804,                 0.0797,                0.81323,                0.80584,                0.85718,                0.70355,                0.67565,                0.42582,                 1.4575,                0.08638,               0.007426,               0.007426,               0.007426,                      0,                 0.6871,                0.68337,                0.67069,                0.52392,                0.67602,                0.41027,                0.18554,                0.44942,                0.57231,                0.41328,                0.64641,                      0,                0.66747,                 0.6773,                 0.6661,                0.50161,                0.67628,                0.44291,                0.19018,                0.45357,                0.55443,                0.41328,                0.69986,              0.0087015,                      0,                0.68377,                0.58501,                 0.3114,                 0.4865,                0.27219,                0.72781,                0.72781,                      1
                     28,                0.71106,                0.47722,                 1.3716,                0.08032,                  0.803,                0.79403,                 0.8448,                0.69614,                0.67392,                0.42879,                 1.4444,                0.08633,               0.007327,               0.007327,               0.007327,                      0,                0.68652,                0.68554,                0.67213,                0.52987,                0.67473,                0.40484,                0.18671,                0.44887,                 0.5685,                0.41045,                0.64235,                      0,                0.66427,                0.67935,                0.66657,                0.50927,                0.67247,                0.44084,                0.19101,                0.45453,                0.55237,                0.41045,                  0.695,              0.0087972,                      0,                0.69057,                0.58558,                 0.3148,                0.48364,                0.26691,                0.73309,                0.73309,                      1
                     29,                0.70664,                0.47271,                 1.3828,                 0.0794,                 0.8096,                0.81832,                0.85762,                0.70275,                 0.6731,                0.42284,                 1.4536,                0.08573,               0.007228,               0.007228,               0.007228,                      0,                0.68982,                0.68084,                0.66867,                0.52241,                0.67712,                 0.4136,                0.18614,                0.44929,                0.56902,                0.41262,                0.64304,                      0,                0.66618,                0.67479,                0.66381,                0.49973,                0.67452,                0.44904,                0.19077,                0.45517,                0.54703,                0.41262,                 0.6969,              0.0091475,                      0,                0.68161,                0.58216,                0.31659,                0.48273,                0.27145,                0.72855,                0.72855,                      1
                     30,                0.70934,                0.47456,                 1.3727,                0.08061,                0.80582,                0.80956,                0.85263,                 0.6994,                 0.6688,                0.42424,                 1.4517,                0.08589,               0.007129,               0.007129,               0.007129,                      0,                0.68635,                0.68464,                0.67145,                0.53154,                0.67378,                0.40089,                0.18653,                  0.448,                0.58152,                0.40999,                0.63873,                      0,                0.66608,                0.67782,                0.66553,                0.50864,                0.67337,                0.43932,                0.19039,                0.45312,                0.55916,                0.40999,                0.69372,              0.0087494,                      0,                0.69127,                0.58696,                0.31641,                0.48447,                0.26393,                0.73607,                0.73607,                      1
