                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/prompt_warmup_factor
                     23,                0.71123,                0.48436,                 1.3848,                0.03144,                0.00045,                0.81755,                0.79041,                0.84389,                0.69815,                0.66574,                0.42793,                 1.4551,                0.02975,                 0.0004,               0.007822,               0.007822,               0.007822,               0.049959,                0.41992,                0.46988,               0.062604,                0.14192,                0.51868,                0.04478,              0.0010549,               0.035456,                 0.4731,                0.50856,               0.049778,                0.14458,                0.51481,               0.044795,              0.0036215,                      1
                     24,                0.70772,                0.48304,                 1.3783,                0.03145,                0.00045,                 0.8054,                 0.7908,                0.84608,                0.70203,                0.66572,                0.42742,                 1.4532,                0.02952,                 0.0004,               0.007723,               0.007723,               0.007723,                0.04905,                0.42194,                0.47099,               0.062019,                0.14253,                0.51861,               0.044996,             0.00098959,               0.034771,                0.47691,                0.51168,               0.049496,                0.14556,                0.51478,               0.045011,               0.003403,                      1
                     25,                0.70434,                0.47321,                 1.3768,                0.03149,                0.00045,                0.81668,                0.80974,                0.85285,                0.70728,                0.66471,                0.42684,                 1.4444,                0.02941,                 0.0004,               0.007624,               0.007624,               0.007624,                0.04879,                0.42353,                0.47232,               0.061919,                0.14342,                0.51865,               0.044678,             0.00092295,               0.034656,                0.47629,                0.51095,                 0.0495,                0.14565,                0.51494,                0.04469,              0.0032213,                      1
                     26,                0.70199,                0.47281,                 1.3778,                0.03089,                0.00045,                0.79902,                0.80174,                0.83898,                0.69698,                0.66491,                0.42638,                 1.4458,                0.02936,                 0.0004,               0.007525,               0.007525,               0.007525,               0.047546,                0.42985,                 0.4774,               0.060588,                0.14312,                0.51854,                0.04472,             0.00086898,               0.033664,                0.48312,                0.51679,               0.048415,                0.14531,                  0.515,               0.044714,              0.0030375,                      1
                     27,                0.69803,                0.47236,                  1.372,                0.03126,                0.00045,                0.79444,                0.78177,                0.83485,                0.69312,                0.66718,                0.43249,                 1.4585,                0.02931,                 0.0004,               0.007426,               0.007426,               0.007426,               0.047775,                0.42547,                0.47325,               0.060991,                0.14374,                0.51846,               0.044824,             0.00081517,               0.033599,                 0.4818,                 0.5154,               0.048653,                 0.1464,                0.51504,               0.044814,              0.0028452,                      1
                     28,                0.69757,                0.46785,                 1.3682,                0.03088,                0.00045,                0.80436,                0.80533,                0.84593,                0.70342,                0.66047,                0.42207,                 1.4525,                 0.0291,                 0.0004,               0.007327,               0.007327,               0.007327,               0.046933,                0.42896,                0.47589,               0.060026,                0.14339,                0.51846,               0.044974,             0.00077012,               0.033353,                0.48797,                0.52132,               0.048327,                0.14644,                0.51507,               0.044964,              0.0026806,                      1
                     29,                0.69823,                0.46875,                 1.3746,                0.03079,                0.00045,                 0.8028,                0.81264,                0.83972,                0.69777,                 0.6615,                0.42304,                 1.4443,                0.02902,                 0.0004,               0.007228,               0.007228,               0.007228,                0.04597,                0.42968,                0.47565,               0.059026,                0.14285,                0.51816,               0.045003,             0.00072747,                0.03232,                0.48699,                0.51931,               0.047189,                0.14539,                0.51505,               0.045004,              0.0024915,                      1
                     30,                 0.6961,                0.46725,                 1.3686,                 0.0307,                0.00045,                0.81254,                 0.8043,                0.84318,                0.70292,                0.66163,                0.42034,                 1.4524,                0.02893,                 0.0004,               0.007129,               0.007129,               0.007129,               0.045963,                0.43268,                0.47864,                0.05912,                0.14325,                  0.518,               0.045109,             0.00068522,               0.032391,                0.48704,                0.51943,               0.047286,                0.14514,                0.51505,               0.045119,              0.0023522,                      1
                     31,                0.69875,                0.46773,                 1.3741,                 0.0307,                0.00045,                0.82254,                0.82276,                0.86124,                0.71775,                0.65888,                0.41457,                 1.4443,                0.02882,                 0.0004,                0.00703,                0.00703,                0.00703,               0.044844,                0.42972,                0.47457,               0.057913,                0.14301,                0.51823,               0.044936,             0.00064921,               0.032041,                0.48723,                0.51928,               0.046935,                0.14555,                0.51528,               0.044962,              0.0022285,                      1
                     32,                0.69317,                0.46307,                 1.3738,                0.03065,                0.00045,                0.82854,                 0.8144,                0.86032,                  0.716,                0.65923,                0.41271,                 1.4421,                0.02878,                 0.0004,               0.006931,               0.006931,               0.006931,               0.045543,                0.43161,                0.47715,               0.058738,                0.14366,                0.51819,                0.04482,               0.000606,               0.032391,                0.48948,                0.52187,               0.047455,                0.14595,                0.51536,               0.044833,              0.0020967,                      1
