                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gder_attention_weight,p2/P3_gder_modality_weight,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/prompt_warmup_factor
                     21,                0.71539,                0.48787,                 1.3717,                0.03157,                0.00045,                0.79954,                0.80922,                0.84374,                0.69376,                0.67601,                0.43725,                  1.442,                0.03001,                 0.0004,                0.00802,                0.00802,                0.00802,                0.49998,                0.50002,               0.052372,                0.41499,                0.46736,               0.064916,                0.14141,                0.51816,               0.044638,               0.001194,                0.50018,                0.49982,                0.03644,                0.47567,                0.51211,               0.050893,                 0.1455,                0.51554,               0.044571,              0.0034243,                0.50009,                0.49991,                      1
                     22,                0.70586,                0.47656,                 1.3727,                0.03149,                0.00045,                0.80404,                 0.7989,                   0.84,                0.69435,                0.67385,                0.43691,                 1.4494,                0.02977,                 0.0004,               0.007921,               0.007921,               0.007921,                0.49995,                0.50005,                0.05059,                0.42134,                0.47193,               0.063556,                0.14225,                 0.5182,               0.045019,              0.0011145,                0.50018,                0.49982,               0.035281,                0.48142,                 0.5167,               0.050184,                0.14664,                0.51552,               0.044958,              0.0033878,                 0.5001,                 0.4999,                      1
                     23,                0.70816,                0.48386,                 1.3804,                0.03124,                0.00044,                0.81809,                0.77704,                 0.8443,                0.69814,                0.66729,                0.43276,                 1.4532,                0.02973,                 0.0004,               0.007822,               0.007822,               0.007822,                 0.4999,                 0.5001,               0.049177,                 0.4198,                0.46898,               0.061824,                0.14108,                0.51865,               0.044467,              0.0010459,                0.50018,                0.49982,               0.034506,                0.47955,                0.51405,               0.049046,                0.14508,                0.51573,               0.044425,              0.0031758,                 0.5001,                 0.4999,                      1
                     24,                0.70345,                0.47623,                 1.3758,                0.03148,                0.00045,                0.81051,                0.78842,                0.84467,                0.69912,                0.66728,                0.43178,                 1.4519,                0.02955,                 0.0004,               0.007723,               0.007723,               0.007723,                0.49985,                0.50015,               0.049261,                0.41983,                0.46909,               0.062183,                0.14245,                0.51861,               0.045065,             0.00098694,                0.50019,                0.49981,               0.034327,                0.48013,                0.51446,               0.049169,                0.14621,                0.51591,               0.045007,              0.0030711,                 0.5001,                 0.4999,                      1
                     25,                0.70595,                0.47552,                 1.3776,                0.03146,                0.00045,                0.79916,                0.82219,                0.84233,                0.69815,                0.66452,                0.42548,                 1.4441,                0.02933,                 0.0004,               0.007624,               0.007624,               0.007624,                0.49984,                0.50016,               0.048664,                 0.4209,                0.46956,               0.061715,                0.14296,                0.51844,               0.044895,               0.000923,                0.50019,                0.49981,               0.034107,                0.48116,                0.51527,               0.049119,                 0.1463,                0.51579,                0.04485,              0.0029052,                 0.5001,                 0.4999,                      1
                     26,                0.70067,                0.47122,                 1.3697,                0.03113,                0.00045,                0.81818,                0.78817,                0.84576,                0.70273,                0.66283,                0.42766,                 1.4398,                0.02931,                 0.0004,               0.007525,               0.007525,               0.007525,                0.49978,                0.50022,               0.048254,                 0.4269,                0.47515,               0.061433,                0.14375,                0.51849,               0.044732,              0.0008618,                0.50019,                0.49981,               0.033916,                 0.4864,                0.52032,               0.049018,                0.14696,                0.51596,               0.044672,              0.0028608,                0.50011,                0.49989,                      1
                     27,                  0.698,                0.47126,                 1.3702,                0.03113,                0.00045,                0.80508,                0.79527,                0.84537,                0.70165,                0.66243,                 0.4269,                 1.4638,                0.02921,                 0.0004,               0.007426,               0.007426,               0.007426,                0.49971,                0.50029,               0.047918,                0.42419,                0.47211,                0.06101,                0.14292,                 0.5184,               0.044997,             0.00081705,                 0.5002,                 0.4998,               0.033514,                0.48626,                0.51978,               0.048594,                0.14654,                0.51581,               0.044977,               0.002683,                0.50011,                0.49989,                      1
                     28,                0.69972,                0.47121,                 1.3775,                0.03088,                0.00045,                0.82482,                0.81028,                0.85889,                0.71227,                0.66315,                0.41883,                 1.4478,                0.02908,                 0.0004,               0.007327,               0.007327,               0.007327,                0.49966,                0.50034,               0.046592,                0.42648,                0.47308,               0.059597,                0.14279,                0.51839,               0.045027,             0.00077555,                 0.5002,                 0.4998,               0.032782,                0.48881,                0.52159,               0.047775,                0.14617,                0.51568,               0.044982,              0.0025528,                0.50011,                0.49989,                      1
                     29,                0.69544,                0.46509,                 1.3807,                0.03086,                0.00045,                0.81292,                0.81787,                0.85315,                0.70965,                0.65856,                0.41996,                 1.4498,                0.02898,                 0.0004,               0.007228,               0.007228,               0.007228,                 0.4996,                 0.5004,               0.045658,                0.42823,                0.47389,               0.058742,                0.14289,                0.51847,               0.044948,             0.00072479,                 0.5002,                 0.4998,               0.032311,                0.49026,                0.52257,               0.047361,                 0.1464,                 0.5158,               0.044912,              0.0024469,                0.50011,                0.49989,                      1
                     30,                0.69755,                0.46739,                 1.3708,                0.03076,                0.00045,                0.82406,                 0.8041,                0.85118,                0.70697,                0.65897,                0.42081,                  1.449,                0.02889,                 0.0004,               0.007129,               0.007129,               0.007129,                0.49956,                0.50044,               0.045749,                0.42982,                0.47557,               0.058899,                0.14332,                0.51829,               0.045016,             0.00067791,                0.50021,                0.49979,               0.032253,                0.48981,                0.52206,               0.047321,                 0.1461,                0.51559,               0.045002,              0.0022772,                0.50011,                0.49989,                      1
