                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/prompt_warmup_factor
                     23,                0.71198,                0.48545,                  1.382,                0.03163,                0.00045,                0.79634,                0.79373,                 0.8342,                0.69039,                0.66854,                0.43392,                 1.4505,                0.02997,                0.00039,               0.007822,               0.007822,               0.007822,               0.047499,                0.42071,                 0.4682,               0.060165,                0.14174,                0.51931,               0.044795,             0.00071463,                0.50024,                0.49976,                0.03871,                0.46413,                0.50284,               0.052761,                0.14435,                0.51719,               0.044796,              0.0026583,                0.50013,                0.49987,                      1
                     24,                0.70872,                0.48379,                 1.3787,                0.03164,                0.00045,                0.81056,                0.78457,                0.84073,                0.69643,                0.66897,                0.43186,                 1.4408,                0.02966,                0.00039,               0.007723,               0.007723,               0.007723,               0.047135,                0.42368,                0.47082,               0.060167,                0.14277,                0.51904,               0.045011,             0.00065985,                0.50024,                0.49976,               0.038106,                 0.4687,                0.50681,               0.052571,                0.14569,                0.51708,               0.045013,               0.002448,                0.50013,                0.49987,                      1
                     25,                0.70493,                0.47423,                 1.3748,                0.03167,                0.00045,                0.82534,                0.79868,                0.84882,                0.70179,                0.66514,                0.42816,                 1.4478,                0.02948,                0.00039,               0.007624,               0.007624,               0.007624,               0.046833,                0.42482,                0.47165,               0.059993,                0.14354,                0.51905,               0.044694,             0.00061373,                0.50024,                0.49976,               0.037305,                0.47062,                0.50793,               0.051972,                0.14632,                0.51712,               0.044698,              0.0022882,                0.50013,                0.49987,                      1
                     26,                0.70244,                0.47236,                 1.3792,                0.03105,                0.00045,                0.81564,                0.79951,                0.84597,                 0.7018,                0.66466,                0.42566,                 1.4496,                0.02948,                0.00039,               0.007525,               0.007525,               0.007525,               0.045947,                0.43064,                0.47658,               0.059019,                0.14313,                 0.5189,               0.044735,             0.00056817,                0.50025,                0.49975,               0.036405,                0.47762,                0.51402,               0.050981,                0.14588,                 0.5171,               0.044718,              0.0021439,                0.50013,                0.49987,                      1
                     27,                0.69713,                0.47137,                 1.3693,                0.03139,                0.00045,                0.80926,                0.80252,                 0.8448,                0.70234,                 0.6629,                 0.4278,                 1.4312,                0.02937,                0.00039,               0.007426,               0.007426,               0.007426,               0.045974,                0.42693,                0.47291,               0.059223,                 0.1437,                0.51879,               0.044836,             0.00052536,                0.50025,                0.49975,               0.036008,                0.47731,                0.51331,               0.050918,                0.14689,                0.51712,               0.044815,               0.001995,                0.50013,                0.49987,                      1
                     28,                 0.6979,                0.46942,                 1.3714,                0.03107,                0.00045,                 0.7859,                0.82206,                0.85003,                0.70695,                0.66154,                0.42493,                 1.4401,                0.02916,                0.00039,               0.007327,               0.007327,               0.007327,               0.046314,                0.42975,                0.47606,               0.059422,                0.14376,                 0.5187,               0.044987,             0.00048921,                0.50025,                0.49975,               0.035065,                0.48337,                0.51843,               0.049893,                0.14664,                0.51711,               0.044969,              0.0018478,                0.50014,                0.49986,                      1
                     29,                0.69828,                0.46889,                 1.3759,                0.03096,                0.00045,                0.80622,                0.81127,                 0.8507,                0.70782,                0.65848,                0.41746,                 1.4495,                0.02913,                0.00039,               0.007228,               0.007228,               0.007228,               0.045048,                 0.4313,                0.47635,               0.058148,                0.14314,                0.51849,               0.045014,             0.00045013,                0.50026,                0.49974,               0.034443,                0.48216,                0.51661,               0.049156,                 0.1457,                0.51698,               0.045001,              0.0017332,                0.50014,                0.49986,                      1
                     30,                0.69468,                0.46588,                 1.3696,                0.03081,                0.00045,                0.80788,                0.81818,                0.85257,                0.71037,                0.66033,                0.41717,                 1.4445,                0.02898,                 0.0004,               0.007129,               0.007129,               0.007129,               0.044965,                0.43388,                0.47885,               0.058152,                0.14351,                0.51831,                0.04512,             0.00042008,                0.50026,                0.49974,               0.034009,                0.48398,                0.51799,                0.04881,                0.14559,                0.51689,               0.045125,              0.0016305,                0.50014,                0.49986,                      1
                     31,                0.69847,                0.46757,                 1.3726,                0.03077,                0.00045,                0.83018,                 0.8159,                0.86139,                0.71843,                0.65844,                0.41498,                  1.435,                0.02887,                0.00039,                0.00703,                0.00703,                0.00703,               0.043801,                0.43205,                0.47585,               0.056934,                 0.1432,                0.51849,               0.044947,             0.00039468,                0.50027,                0.49973,               0.033375,                0.48398,                0.51736,               0.048172,                0.14583,                0.51707,               0.044959,               0.001543,                0.50014,                0.49986,                      1
                     32,                0.69352,                0.46161,                  1.376,                0.03077,                0.00045,                0.81303,                0.82923,                 0.8636,                0.72059,                0.65818,                0.41119,                 1.4445,                0.02886,                0.00039,               0.006931,               0.006931,               0.006931,               0.044797,                0.43427,                0.47907,               0.058074,                0.14407,                0.51852,                0.04483,             0.00036582,                0.50027,                0.49973,               0.033997,                0.48642,                0.52042,                0.04897,                0.14657,                0.51716,                0.04483,              0.0014503,                0.50014,                0.49986,                      1
