                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,p2/P3_prompt_residual_gain,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     21,                0.72856,                0.49414,                 1.3728,                0.08097,                0.79254,                0.80597,                 0.8436,                0.68574,                0.68509,                0.43964,                 1.4706,                0.08666,                0.00802,                0.00802,                0.00802,                      0,                0.68421,                0.68274,                0.66964,                0.53773,                0.67132,                0.39943,                0.18529,                0.45148,                0.57765,                0.41286,               0.080671,                0.63707,                      0,                0.65963,                 0.6758,                 0.6636,                0.51198,                0.66938,                0.44145,                0.18873,                0.45752,                0.54961,                0.41286,                0.69529,              0.0096113,                      0,                0.69605,                0.57717,                0.31643,                0.47805,                 0.2735,                 0.7265,                 0.7265,                      1
                     22,                0.72307,                0.49186,                 1.3768,                0.08101,                0.77241,                0.79998,                0.82835,                0.67581,                0.68053,                0.43895,                 1.4589,                0.08691,               0.007921,               0.007921,               0.007921,                      0,                0.68152,                0.68234,                0.66906,                0.53713,                0.67179,                0.40332,                0.18212,                0.45174,                0.57663,                0.41166,               0.075436,                0.64492,                      0,                0.66294,                 0.6763,                0.66326,                0.51406,                 0.6715,                0.44029,                0.18648,                0.45448,                0.55462,                0.41166,                 0.6951,              0.0092942,                      0,                0.69622,                0.58783,                0.31497,                0.48757,                0.26605,                0.73395,                0.73395,                      1
                     23,                0.72288,                0.48896,                 1.3829,                0.08133,                0.79575,                0.79923,                0.84225,                0.68973,                0.67798,                0.43442,                 1.4631,                0.08687,               0.007822,               0.007822,               0.007822,                      0,                0.68453,                0.68546,                0.67139,                0.53927,                0.67197,                0.39562,                0.18531,                0.44944,                0.58627,                0.41033,               0.081469,                0.63751,                      0,                 0.6649,                0.67673,                 0.6639,                0.51275,                0.67178,                0.43725,                0.18832,                0.45335,                 0.5625,                0.41033,                0.69066,              0.0094861,                      0,                0.69765,                0.58385,                0.31669,                 0.4814,                0.26724,                0.73276,                0.73276,                      1
                     24,                0.72046,                0.48808,                 1.3761,                0.08045,                0.83436,                0.77709,                0.85013,                0.69653,                0.67707,                0.43331,                 1.4412,                0.08679,               0.007723,               0.007723,               0.007723,                      0,                0.67573,                0.68292,                0.67228,                0.53073,                 0.6685,                0.40136,                0.18603,                0.45283,                0.57878,                0.41155,               0.079965,                0.64844,                      0,                 0.6578,                0.67595,                0.66608,                0.50593,                0.66803,                0.44102,                0.18918,                0.45619,                0.56022,                0.41155,                0.69639,              0.0095658,                      0,                0.69001,                0.58422,                 0.3137,                0.48391,                0.26505,                0.73495,                0.73495,                      1
                     25,                0.71812,                0.48321,                 1.3786,                0.08081,                0.79951,                0.81587,                0.84719,                0.69481,                0.67543,                0.43125,                 1.4648,                0.08636,               0.007624,               0.007624,               0.007624,                      0,                0.68002,                0.68301,                0.67076,                0.53539,                0.67176,                0.40127,                0.18523,                0.45408,                0.57538,                0.41361,               0.084576,                0.64958,                      0,                0.65777,                0.67687,                0.66507,                0.51098,                0.66965,                0.43993,                0.18889,                0.45906,                0.55428,                0.41361,                0.70156,               0.009182,                      0,                0.69447,                0.58057,                0.31345,                 0.4822,                 0.2713,                 0.7287,                 0.7287,                      1
                     26,                0.71334,                0.47917,                 1.3739,                0.08107,                0.81956,                0.78597,                0.84891,                0.69681,                0.67548,                0.43001,                 1.4505,                0.08593,               0.007525,               0.007525,               0.007525,                      0,                0.68406,                0.68523,                0.67066,                0.53719,                0.67109,                 0.3983,                0.18581,                0.44779,                0.58013,                0.41039,               0.086528,                0.63481,                      0,                0.66505,                0.67794,                0.66451,                0.51261,                0.67046,                0.43843,                0.18942,                0.45242,                0.55747,                0.41039,                 0.6856,              0.0091094,                      0,                0.69615,                0.58507,                0.31619,                0.48268,                0.26328,                0.73672,                0.73672,                      1
                     27,                0.71013,                0.47758,                 1.3784,                0.07982,                0.82977,                0.80503,                0.85895,                0.70417,                0.67356,                0.42363,                 1.4486,                0.08685,               0.007426,               0.007426,               0.007426,                      0,                0.68861,                0.68313,                0.66983,                0.52606,                0.67694,                0.41011,                0.18471,                 0.4498,                0.57297,                0.41328,               0.084839,                0.64574,                      0,                0.67063,                0.67705,                0.66473,                 0.5013,                 0.6775,                0.44627,                0.18887,                0.45358,                0.55399,                0.41328,                0.69587,              0.0089985,                      0,                0.68484,                0.58501,                 0.3114,                 0.4865,                0.27219,                0.72781,                0.72781,                      1
                     28,                0.71209,                0.47721,                 1.3737,                0.08052,                 0.8055,                 0.7974,                 0.8418,                 0.6943,                0.67345,                 0.4309,                 1.4565,                0.08611,               0.007327,               0.007327,               0.007327,                      0,                 0.6861,                0.68537,                0.67179,                0.53246,                0.67452,                0.40288,                0.18636,                0.44964,                0.56952,                0.41045,               0.086815,                 0.6427,                      0,                0.66882,                0.68045,                 0.6668,                0.50974,                0.67543,                0.44051,                0.19015,                0.45421,                 0.5523,                0.41045,                0.69358,               0.009045,                      0,                0.69242,                0.58558,                 0.3148,                0.48364,                0.26691,                0.73309,                0.73309,                      1
                     29,                0.70781,                0.47394,                  1.384,                0.07942,                0.82579,                0.81106,                0.85833,                0.70576,                0.67229,                0.41779,                 1.4646,                0.08605,               0.007228,               0.007228,               0.007228,                      0,                0.68818,                0.68078,                0.66833,                0.52308,                0.67716,                0.41406,                0.18609,                0.45026,                0.56931,                0.41262,               0.091731,                0.64757,                      0,                0.66983,                 0.6751,                0.66339,                0.49931,                0.67633,                0.44952,                0.18969,                0.45438,                0.54683,                0.41262,                0.69377,              0.0092021,                      0,                0.68183,                0.58216,                0.31659,                0.48273,                0.27145,                0.72855,                0.72855,                      1
                     30,                0.70869,                0.47364,                 1.3735,                0.08064,                0.81661,                0.80704,                 0.8537,                0.70158,                0.67104,                0.42394,                 1.4485,                0.08571,               0.007129,               0.007129,               0.007129,                      0,                0.68692,                0.68434,                0.67082,                0.53219,                0.67484,                0.40053,                0.18646,                0.44764,                 0.5814,                0.40999,               0.093722,                0.64115,                      0,                0.66921,                0.67794,                0.66512,                0.50821,                0.67413,                0.44012,                0.18879,                0.45221,                0.56149,                0.40999,                0.68783,              0.0088164,                      0,                0.69143,                0.58696,                0.31641,                0.48447,                0.26393,                0.73607,                0.73607,                      1
