                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/reliability_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/reliability_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,         p2/P3_gate_std,p2/P3_gate_teacher_agreement,     p2/P3_ir_gate_mean,   p2/P3_ir_prompt_mean,       p2/P3_prompt_std,p2/P3_prompt_teacher_agreement,p2/P3_prompt_teacher_mae,    p2/P3_rgb_gate_mean,    p2/P3_rgb_prompt_fg,  p2/P3_rgb_prompt_mean,       p2/P3_target_rgb,         p2/P4_gate_std,p2/P4_gate_teacher_agreement,     p2/P4_ir_gate_mean,   p2/P4_ir_prompt_mean,       p2/P4_prompt_std,p2/P4_prompt_teacher_agreement,p2/P4_prompt_teacher_mae,    p2/P4_rgb_gate_mean,    p2/P4_rgb_prompt_fg,  p2/P4_rgb_prompt_mean,       p2/P4_target_rgb,  p2/teacher_ir_quality,p2/teacher_relative_entropy,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/reliability_warmup_factor
                     21,                 0.7279,                0.49296,                 1.3794,                0.03341,                0.79628,                0.80359,                0.84585,                0.69048,                0.68444,                0.44067,                 1.4386,                0.03351,                0.00802,                0.00802,                0.00802,                0.62303,                 0.7826,                 1.5857,                 0.6049,                 0.1049,                 0.7826,                0.13686,                0.41434,                0.39516,                 0.3951,                0.39608,                0.56299,                0.23517,                0.44537,                0.58269,               0.098898,                0.75927,                0.12599,                 1.5546,                0.39938,                0.41731,                0.40022,                 0.5874,                0.56544,                0.31618,                0.48578,                      1
                     22,                0.72078,                0.49275,                 1.3767,                0.03339,                0.80602,                0.80038,                0.84587,                0.69109,                0.67875,                0.43839,                 1.4452,                0.03351,               0.007921,               0.007921,               0.007921,                0.62478,                0.78349,                 1.5877,                0.60437,                0.10438,                0.78349,                0.13653,                 0.4123,                 0.3957,                0.39563,                0.39565,                0.55923,                0.23417,                0.44923,                0.58058,               0.097734,                0.75981,                0.12504,                 1.5508,                0.39976,                0.41942,                0.40005,                0.58935,                0.56532,                0.31585,                0.48708,                      1
                     23,                0.72178,                0.48954,                 1.3856,                0.03338,                0.81285,                0.78352,                0.84446,                0.69148,                0.67701,                 0.4324,                  1.466,                0.03351,               0.007822,               0.007822,               0.007822,                 0.6256,                0.78503,                 1.5884,                0.60516,                0.10516,                0.78503,                0.13598,                0.41159,                0.39493,                0.39484,                0.39501,                0.56522,                0.23422,                0.44312,                0.58204,               0.098731,                0.76049,                0.12439,                 1.5569,                0.39979,                0.41796,                0.39983,                0.58774,                0.56671,                0.31458,                0.48788,                      1
                     24,                0.71939,                0.48786,                   1.38,                0.03332,                0.79956,                0.80179,                0.84517,                0.69029,                0.68013,                 0.4341,                 1.4653,                0.03351,               0.007723,               0.007723,               0.007723,                 0.6273,                0.79042,                 1.5903,                0.60568,                0.10569,                0.79042,                0.13704,                0.40972,                0.39441,                0.39432,                0.39318,                0.56287,                0.22922,                0.44565,                0.57955,                0.09839,                0.76459,                0.12448,                 1.5543,                0.39914,                0.42045,                0.39825,                0.58941,                 0.5659,                0.31571,                0.48824,                      1
                     25,                0.71546,                0.47964,                 1.3785,                0.03338,                0.81405,                0.81343,                0.85902,                0.70457,                0.67367,                0.42695,                 1.4451,                 0.0335,               0.007624,               0.007624,               0.007624,                0.62624,                0.78766,                 1.5891,                0.60508,                0.10509,                0.78766,                0.13612,                0.41092,                0.39507,                0.39492,                0.39575,                0.56632,                0.23173,                0.44224,                0.58315,                0.10084,                0.76258,                0.12362,                 1.5578,                0.39882,                0.41685,                0.40043,                0.58581,                0.56664,                0.31276,                0.48624,                      1
                     26,                0.71263,                0.47745,                 1.3793,                0.03337,                0.80166,                0.82091,                0.85214,                0.70077,                0.67537,                 0.4279,                 1.4417,                 0.0335,               0.007525,               0.007525,               0.007525,                0.62835,                0.78725,                 1.5914,                0.60552,                0.10553,                0.78725,                0.13595,                0.40864,                0.39466,                0.39448,                0.39593,                0.56322,                0.23162,                 0.4456,                0.58351,                0.10266,                0.76092,                0.12309,                 1.5544,                0.39875,                0.41649,                0.40042,                0.58646,                0.56603,                0.31449,                0.48531,                      1
                     27,                0.70766,                0.47725,                 1.3722,                 0.0334,                0.74602,                0.75198,                0.79108,                 0.6351,                0.70998,                0.48192,                 1.5013,                0.03352,               0.007426,               0.007426,               0.007426,                0.62873,                0.78474,                 1.5917,                0.60484,                0.10485,                0.78474,                0.13531,                0.40833,                0.39543,                0.39516,                0.39698,                0.56772,                0.23418,                0.44052,                0.58695,                0.10302,                0.75993,                0.12247,                 1.5595,                0.39987,                0.41305,                0.40147,                0.58916,                0.56701,                0.31152,                 0.4898,                      1
                     28,                0.70934,                0.47505,                 1.3729,                0.03335,                 0.8011,                0.81372,                0.85212,                0.69922,                0.67284,                0.42731,                 1.4444,                0.03349,               0.007327,               0.007327,               0.007327,                0.63553,                0.78673,                 1.5992,                0.60513,                0.10515,                0.78673,                0.13678,                0.40075,                0.39523,                0.39487,                0.39508,                0.57155,                0.23257,                0.43682,                0.58412,                0.10257,                 0.7608,                0.12366,                 1.5632,                0.39933,                0.41588,                0.39979,                0.58463,                0.56413,                0.31624,                0.48273,                      1
                     29,                0.70871,                0.47362,                 1.3806,                 0.0333,                0.79484,                0.81344,                0.84904,                0.69895,                0.66896,                0.42223,                  1.457,                0.03348,               0.007228,               0.007228,               0.007228,                0.63406,                0.78808,                 1.5973,                0.60503,                0.10505,                0.78808,                0.13717,                 0.4027,                0.39543,                0.39497,                0.39315,                 0.5751,                0.23071,                0.43309,                0.58505,                0.10403,                 0.7624,                 0.1229,                 1.5669,                0.39889,                0.41495,                0.39801,                  0.588,                0.56516,                0.31714,                0.48609,                      1
                     30,                0.70571,                0.47016,                 1.3703,                0.03329,                0.82107,                 0.8143,                0.85671,                0.70438,                0.67068,                0.42181,                 1.4535,                0.03348,               0.007129,               0.007129,               0.007129,                0.63606,                0.78937,                 1.6001,                0.60698,                0.10701,                0.78937,                0.13669,                0.39985,                0.39363,                0.39302,                0.39284,                0.57243,                0.22909,                0.43587,                0.58583,                0.10367,                 0.7648,                0.12242,                 1.5641,                 0.3984,                0.41417,                0.39759,                0.58818,                0.56511,                 0.3171,                0.48453,                      1
                     31,                0.70897,                0.47151,                 1.3767,                0.03335,                 0.8229,                0.82304,                0.86738,                0.71365,                0.66632,                0.41598,                 1.4496,                0.03347,                0.00703,                0.00703,                0.00703,                0.63861,                0.78637,                 1.6028,                0.60303,                0.10309,                0.78637,                 0.1345,                 0.3972,                0.39782,                0.39697,                0.39539,                0.57777,                0.23256,                0.43024,                0.58176,                0.10026,                0.75971,                0.12115,                 1.5698,                0.40136,                0.41824,                 0.4002,                 0.5886,                0.56864,                0.31157,                0.49031,                      1
                     32,                0.70404,                 0.4673,                  1.373,                0.03338,                0.82119,                 0.8163,                0.86179,                0.70863,                0.66891,                0.41713,                 1.4374,                0.03346,               0.006931,               0.006931,               0.006931,                0.64152,                0.78321,                 1.6062,                0.60468,                0.10479,                0.78321,                0.13405,                0.39376,                0.39658,                0.39532,                0.39725,                0.57928,                0.23534,                0.42871,                0.58254,                0.10142,                0.75855,                0.12059,                 1.5713,                0.40068,                0.41746,                0.40166,                0.58548,                0.56809,                0.31026,                0.48535,                      1
