                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,p2/P3_prompt_residual_gain,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,p2/P4_prompt_residual_gain,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     73,                0.64232,                0.39316,                 1.3615,                0.07735,                0.84313,                0.82631,                0.86723,                0.72077,                0.65654,                0.39846,                 1.4621,                0.08473,               0.002872,               0.002872,               0.002872,                      0,                0.69737,                0.68746,                 0.6748,                0.50426,                 0.6843,                0.42329,                0.19054,                0.44436,                0.55047,                0.41306,                0.10508,                0.64936,                      0,                0.68738,                0.67864,                0.66754,                 0.4805,                 0.6875,                0.45488,                0.19432,                0.44756,                0.53511,                0.41306,               -0.01472,                0.68781,              0.0079588,                      0,                0.66444,                0.58327,                0.31457,                0.48445,                0.27223,                0.72777,                0.72777,                      1
                     74,                0.63992,                0.39399,                 1.3441,                0.07814,                0.84205,                0.82677,                0.86693,                0.72057,                0.65652,                 0.3986,                 1.4622,                0.08474,               0.002773,               0.002773,               0.002773,                      0,                0.69568,                0.68897,                0.67591,                 0.5119,                0.68194,                 0.4152,                0.18966,                0.44198,                0.55032,                0.41108,                0.10535,                0.64393,                      0,                0.68549,                 0.6812,                0.66891,                0.48859,                0.68545,                0.44844,                0.19398,                0.44507,                0.53284,                0.41108,              -0.015716,                0.68534,              0.0079531,                      0,                0.67252,                0.58803,                0.31436,                0.48679,                0.26554,                0.73446,                0.73446,                      1
                     75,                0.64117,                0.39436,                 1.3492,                0.07735,                0.84124,                0.82732,                0.86702,                0.72069,                0.65651,                0.39853,                 1.4624,                0.08474,               0.002674,               0.002674,               0.002674,                      0,                0.69846,                0.68629,                0.67364,                0.50368,                0.68506,                0.42492,                0.18802,                0.44328,                0.55509,                0.41101,                0.10571,                0.64831,                      0,                0.68922,                0.67832,                0.66576,                0.48031,                0.68901,                0.45789,                0.19201,                0.44473,                0.53799,                0.41101,              -0.016674,                0.68843,              0.0079527,                      0,                0.66365,                0.58642,                0.31421,                0.48478,                0.26724,                0.73276,                0.73276,                      1
                     76,                0.63655,                0.38956,                 1.3545,                0.07755,                0.84008,                0.82946,                0.86691,                0.72053,                0.65648,                0.39849,                  1.463,                0.08473,               0.002575,               0.002575,               0.002575,                      0,                0.70181,                0.68827,                0.67385,                0.50532,                0.68607,                0.42244,                0.18916,                0.43792,                0.55544,                0.41055,                0.10804,                0.64235,                      0,                0.69076,                0.67851,                 0.6647,                0.48244,                0.68852,                0.45583,                0.19222,                0.44089,                0.54057,                0.41055,               -0.01579,                0.68229,              0.0079805,                      0,                0.66539,                0.58707,                0.31338,                0.48498,                0.26469,                0.73531,                0.73531,                      1
                     77,                0.64015,                0.39103,                 1.3485,                 0.0772,                0.83991,                0.82942,                0.86703,                0.72087,                0.65643,                0.39826,                 1.4632,                0.08471,               0.002476,               0.002476,               0.002476,                      0,                0.69138,                 0.6841,                0.67228,                0.50485,                0.68262,                0.43042,                0.18817,                0.44683,                0.54749,                 0.4106,                0.10915,                0.65812,                      0,                0.68174,                0.67498,                0.66414,                0.47992,                0.68525,                0.46195,                0.19285,                 0.4487,                0.52633,                 0.4106,              -0.016205,                0.69507,              0.0078686,                      0,                0.66393,                0.58632,                0.31692,                0.48467,                0.26337,                0.73663,                0.73663,                      1
                     78,                0.63606,                0.38731,                 1.3429,                0.07784,                0.84047,                0.82798,                0.86679,                0.72065,                0.65646,                 0.3984,                 1.4635,                 0.0847,               0.002377,               0.002377,               0.002377,                      0,                0.69681,                0.68822,                0.67578,                0.50725,                0.68454,                0.41854,                0.18966,                0.44371,                0.55981,                 0.4114,                0.10758,                0.65098,                      0,                0.68882,                0.67841,                 0.6663,                0.48355,                0.68818,                0.45261,                0.19315,                0.44548,                0.54445,                 0.4114,              -0.016531,                0.68643,              0.0078957,                      0,                0.66751,                0.58252,                 0.3144,                0.48109,                0.26785,                0.73215,                0.73215,                      1
                     79,                0.63789,                0.38819,                 1.3459,                0.07739,                0.84314,                0.82425,                0.86685,                0.72079,                0.65637,                0.39828,                 1.4639,                 0.0847,               0.002278,               0.002278,               0.002278,                      0,                0.69383,                0.68745,                0.67702,                0.50387,                 0.6819,                 0.4199,                0.18954,                0.44534,                0.55434,                0.41345,                0.10599,                0.64953,                      0,                0.68568,                0.67806,                0.66862,                0.47893,                0.68589,                0.45361,                0.19276,                0.44795,                0.53784,                0.41345,              -0.016838,                0.68646,              0.0079113,                      0,                0.66411,                0.58328,                0.31167,                0.48519,                0.26929,                0.73071,                0.73071,                      1
                     80,                0.62762,                0.38309,                 1.3484,                0.07751,                0.84672,                0.82159,                0.86623,                0.72055,                0.65636,                0.39806,                 1.4642,                0.08468,               0.002179,               0.002179,               0.002179,                      0,                 0.6973,                0.68641,                0.67332,                0.50619,                0.68474,                0.41935,                0.18887,                0.44442,                0.55428,                0.41139,                0.10553,                0.65052,                      0,                0.68917,                 0.6789,                0.66612,                0.48122,                0.69006,                0.45387,                0.19354,                0.44665,                0.53435,                0.41139,              -0.015699,                0.69251,              0.0080171,                      0,                 0.6656,                 0.5862,                0.31502,                0.48498,                0.26845,                0.73155,                0.73155,                      1
                     81,                0.63354,                0.38446,                 1.3434,                0.07711,                0.84427,                 0.8231,                0.86644,                0.72075,                0.65627,                0.39803,                 1.4646,                0.08468,                0.00208,                0.00208,                0.00208,                      0,                0.69636,                0.68601,                0.67321,                0.50281,                0.68529,                0.42986,                0.19002,                0.44583,                0.55108,                0.41122,                0.10441,                0.65548,                      0,                0.68477,                0.67635,                0.66498,                0.47825,                0.68884,                 0.4633,                0.19409,                0.45013,                0.53057,                0.41122,              -0.016147,                 0.6998,              0.0080571,                      0,                0.66224,                0.58167,                0.31836,                0.48029,                0.27065,                0.72935,                0.72935,                      1
                     82,                 0.6318,                0.38241,                 1.3384,                0.07743,                0.84117,                0.82611,                 0.8666,                0.72037,                0.65631,                0.39812,                  1.465,                0.08468,               0.001981,               0.001981,               0.001981,                      0,                0.69593,                0.68743,                0.67332,                0.50682,                0.68343,                0.42439,                0.18935,                 0.4453,                0.54835,                0.41203,                0.10508,                0.64989,                      0,                0.68596,                 0.6784,                0.66504,                0.48181,                0.68654,                 0.4583,                0.19346,                0.44813,                0.52623,                0.41203,              -0.016345,                 0.6881,              0.0077938,                      0,                0.66613,                0.58197,                0.31514,                0.48148,                 0.2715,                 0.7285,                 0.7285,                      1
                     83,                0.62694,                0.37925,                 1.3461,                0.07669,                0.83961,                0.82709,                0.86646,                0.72059,                0.65636,                0.39825,                 1.4655,                0.08468,               0.001882,               0.001882,               0.001882,                      0,                0.69779,                 0.6868,                0.67413,                0.50015,                0.68568,                 0.4301,                0.19007,                0.44524,                0.54076,                0.41384,                0.10473,                0.65343,                      0,                 0.6862,                0.67844,                 0.6661,                 0.4758,                0.68872,                0.46396,                0.19395,                0.44919,                0.52317,                0.41384,              -0.014607,                0.69542,              0.0079892,                      0,                 0.6599,                0.58044,                0.31431,                0.48231,                0.27305,                0.72695,                0.72695,                      1
                     84,                0.63275,                0.38198,                 1.3474,                0.07727,                0.83404,                0.83363,                0.86636,                0.72038,                0.65625,                0.39841,                 1.4657,                0.08468,               0.001783,               0.001783,               0.001783,                      0,                0.69623,                0.68721,                0.67506,                0.50283,                0.68702,                0.42785,                0.19002,                 0.4443,                0.55183,                0.41141,                0.10409,                0.66168,                      0,                 0.6887,                0.68001,                0.66722,                0.48062,                0.69104,                0.45817,                  0.194,                0.44564,                0.53386,                0.41141,              -0.014272,                0.69748,              0.0079878,                      0,                0.66354,                0.58628,                0.31574,                0.48559,                0.26663,                0.73337,                0.73337,                      1
                     85,                0.62827,                0.37881,                 1.3425,                0.07734,                0.83413,                0.83316,                0.86635,                0.72037,                0.65627,                0.39868,                 1.4664,                0.08467,               0.001684,               0.001684,               0.001684,                      0,                0.70172,                0.68524,                0.67067,                0.50521,                0.68588,                0.42795,                0.18727,                0.44073,                0.54922,                0.41227,                0.10321,                0.64298,                      0,                0.69022,                0.67724,                 0.6629,                0.48252,                0.68835,                0.45973,                0.19146,                0.44366,                0.53185,                0.41227,              -0.014159,                0.68327,              0.0079444,                      0,                0.66467,                0.58181,                0.31433,                  0.482,                0.26978,                0.73022,                0.73022,                      1
                     86,                0.62234,                 0.3742,                 1.3352,                0.07626,                 0.8266,                0.83938,                0.86624,                0.72032,                0.65632,                0.39886,                 1.4668,                0.08467,               0.001585,               0.001585,               0.001585,                      0,                0.69584,                0.68657,                0.67542,                0.49596,                0.68606,                0.42999,                0.18999,                0.44653,                 0.5389,                0.41422,                0.10273,                0.66018,                      0,                0.68604,                0.67802,                0.66727,                 0.4719,                0.68917,                0.46346,                0.19451,                0.44971,                0.51968,                0.41422,              -0.015258,                0.69745,              0.0080873,                      0,                0.65611,                0.58314,                0.31176,                0.48559,                0.27437,                0.72563,                0.72563,                      1
                     87,                0.62464,                0.37617,                 1.3399,                0.07727,                0.82861,                0.83871,                0.86647,                0.72045,                0.65635,                0.39884,                 1.4672,                0.08467,               0.001486,               0.001486,               0.001486,                      0,                0.69815,                0.68633,                0.67381,                0.50414,                0.68668,                0.42456,                0.18847,                0.44466,                0.55116,                0.41214,                0.10214,                0.65514,                      0,                0.68854,                0.67828,                0.66658,                0.47934,                0.69064,                0.45919,                0.19317,                 0.4464,                 0.5319,                0.41214,              -0.016152,                0.69642,              0.0081741,                      0,                0.66373,                 0.5853,                  0.315,                 0.4855,                0.26668,                0.73332,                0.73332,                      1
                     88,                0.62301,                0.37468,                 1.3333,                0.07682,                0.82894,                0.83832,                0.86617,                0.72018,                0.65631,                0.39887,                 1.4675,                0.08467,               0.001387,               0.001387,               0.001387,                      0,                0.69945,                0.68584,                0.67262,                0.50112,                0.68599,                0.42939,                0.18934,                0.44181,                0.54451,                0.41031,                0.10159,                0.64884,                      0,                0.69055,                0.67678,                0.66379,                0.47705,                0.69047,                0.46459,                0.19266,                0.44435,                0.52664,                0.41031,              -0.016636,                0.69024,              0.0081106,                      0,                0.66052,                0.58733,                0.31822,                0.48505,                0.26595,                0.73405,                0.73405,                      1
                     89,                0.62126,                0.37033,                  1.339,                0.07754,                0.82713,                0.83935,                 0.8658,                0.72016,                0.65634,                0.39918,                 1.4679,                0.08466,               0.001288,               0.001288,               0.001288,                      0,                0.69484,                0.68868,                0.67404,                0.50782,                0.68315,                0.42536,                0.19089,                 0.4466,                0.54739,                0.41323,                0.10085,                0.65236,                      0,                0.68574,                0.68075,                0.66762,                0.48208,                0.68861,                0.45599,                0.19618,                0.45033,                 0.5277,                0.41323,              -0.017101,                0.69617,              0.0077833,                      0,                0.66722,                0.57726,                0.31581,                0.47765,                0.27518,                0.72482,                0.72482,                      1
                     90,                0.61759,                0.36866,                 1.3357,                0.07704,                0.82975,                0.83736,                0.86563,                0.72012,                0.65638,                0.39936,                 1.4681,                0.08465,               0.001189,               0.001189,               0.001189,                      0,                0.70051,                0.68864,                0.67581,                0.50115,                0.68699,                0.42617,                0.18877,                0.44218,                0.55609,                0.41296,                0.10016,                0.65024,                      0,                0.69236,                0.67998,                0.66844,                0.47406,                0.69144,                0.45938,                0.19344,                0.44527,                0.53695,                0.41296,              -0.017321,                0.68896,              0.0077966,                      0,                0.66046,                0.58554,                0.31351,                0.48708,                0.26905,                0.73095,                0.73095,                      1
                     91,                0.62206,                0.36857,                 1.3353,                 0.0768,                 0.8295,                0.83757,                0.86566,                0.72011,                0.65639,                0.39954,                 1.4684,                0.08465,                0.00109,                0.00109,                0.00109,                      0,                0.69342,                 0.6865,                0.67625,                  0.498,                0.68424,                0.42628,                0.19054,                 0.4459,                0.54973,                0.41351,               0.099186,                0.65936,                      0,                0.68857,                0.67948,                0.66872,                0.47579,                0.68998,                0.45641,                0.19465,                 0.4471,                0.53518,                0.41351,              -0.017642,                0.69379,              0.0078581,                      0,                0.65903,                0.58326,                0.31167,                0.48493,                0.26951,                0.73049,                0.73049,                      1
                     92,                0.62046,                0.36873,                 1.3275,                0.07656,                 0.8294,                0.83914,                0.86591,                0.72014,                0.65625,                0.39963,                 1.4686,                0.08466,               0.000991,               0.000991,               0.000991,                      0,                0.70365,                0.68673,                0.67365,                0.49729,                0.68987,                0.43128,                0.19035,                0.44073,                0.54815,                0.41138,               0.099309,                0.65217,                      0,                0.69292,                0.67805,                0.66587,                0.47362,                0.69236,                0.46355,                 0.1945,                0.44407,                0.53079,                0.41138,              -0.017274,                0.69081,              0.0080502,                      0,                0.65716,                0.58466,                0.31665,                0.48415,                0.26776,                0.73224,                0.73224,                      1
                     93,                0.61685,                0.36595,                 1.3318,                0.07668,                0.82952,                0.83833,                0.86558,                 0.7197,                0.65629,                0.39963,                 1.4687,                0.08465,               0.000892,               0.000892,               0.000892,                      0,                 0.6901,                0.68791,                0.67648,                0.49913,                0.68273,                0.42878,                0.19127,                0.44856,                0.54419,                0.41435,               0.099948,                0.66339,                      0,                0.68367,                0.67876,                0.66818,                0.47394,                0.68736,                0.46194,                0.19533,                0.45117,                0.52604,                0.41435,              -0.016836,                0.69707,              0.0079181,                      0,                0.65916,                0.57933,                0.31171,                0.48219,                0.27607,                0.72393,                0.72393,                      1
                     94,                0.61316,                0.36282,                 1.3295,                0.07625,                0.82958,                0.83761,                0.86535,                0.71965,                0.65632,                0.39999,                 1.4689,                0.08464,               0.000793,               0.000793,               0.000793,                      0,                0.69776,                0.68433,                0.67092,                0.49621,                0.68645,                0.43601,                0.18994,                0.44421,                0.54233,                0.41164,                0.10003,                0.65592,                      0,                0.68932,                0.67616,                0.66386,                0.47161,                0.69103,                0.46656,                0.19506,                0.44671,                0.52512,                0.41164,              -0.016092,                0.69563,              0.0078114,                      0,                0.65515,                0.57992,                0.31764,                0.47861,                0.27041,                0.72959,                0.72959,                      1
                     95,                0.61083,                0.36111,                  1.329,                0.07639,                0.83029,                0.83698,                0.86531,                 0.7195,                0.65628,                0.39997,                 1.4691,                0.08464,               0.000694,               0.000694,               0.000694,                      0,                0.69894,                0.68533,                 0.6715,                0.49826,                0.68696,                0.43563,                0.18897,                0.44156,                0.53964,                0.41145,               0.099972,                0.65394,                      0,                0.69005,                0.67633,                 0.6634,                0.47341,                0.69125,                0.46557,                0.19401,                0.44396,                0.52082,                0.41145,              -0.016081,                0.69456,              0.0079722,                      0,                0.65718,                 0.5835,                0.31605,                0.48212,                0.26612,                0.73388,                0.73388,                      1
                     96,                0.60871,                0.36001,                 1.3264,                0.07683,                0.83108,                0.83592,                0.86507,                0.71931,                0.65628,                0.39992,                 1.4692,                0.08464,               0.000595,               0.000595,               0.000595,                      0,                0.70155,                0.68697,                0.67237,                0.50004,                0.68798,                0.43018,                0.18957,                 0.4401,                0.54722,                0.41014,               0.099937,                0.65079,                      0,                0.69606,                0.67868,                0.66445,                0.47676,                0.69369,                0.46078,                0.19406,                0.44215,                  0.534,                0.41014,              -0.016028,                0.68717,              0.0078381,                      0,                0.65971,                0.58458,                0.31508,                0.48153,                0.26732,                0.73268,                0.73268,                      1
                     97,                 0.6106,                0.36013,                 1.3208,                0.07676,                0.84141,                0.82595,                0.86508,                0.71939,                0.65634,                0.40005,                 1.4695,                0.08464,               0.000496,               0.000496,               0.000496,                      0,                0.69891,                0.68812,                0.67513,                0.49978,                0.68631,                0.42761,                 0.1899,                0.44366,                0.54487,                0.41356,               0.099516,                0.65263,                      0,                0.69053,                0.67887,                0.66663,                0.47494,                0.69137,                0.46141,                0.19406,                0.44658,                0.53098,                0.41356,               -0.01627,                 0.6936,              0.0079572,                      0,                0.65957,                0.58191,                 0.3133,                0.48369,                0.27234,                0.72766,                0.72766,                      1
                     98,                0.60797,                 0.3578,                 1.3291,                0.07644,                0.84143,                 0.8262,                0.86443,                0.71878,                0.65628,                0.40011,                 1.4698,                0.08464,               0.000397,               0.000397,               0.000397,                      0,                0.69844,                0.68668,                0.67403,                0.49685,                 0.6882,                0.43264,                0.19027,                0.44378,                0.54236,                0.41277,               0.099216,                0.66072,                      0,                0.69268,                0.67772,                0.66618,                0.47361,                0.69421,                0.46074,                 0.1947,                0.44587,                 0.5273,                0.41277,              -0.016371,                0.69833,              0.0075386,                      0,                0.65696,                0.58392,                0.31632,                0.48444,                0.27141,                0.72859,                0.72859,                      1
                     99,                0.60961,                0.35919,                 1.3274,                0.07667,                 0.8428,                0.82479,                0.86432,                0.71877,                0.65631,                0.40015,                 1.4701,                0.08463,               0.000298,               0.000298,               0.000298,                      0,                0.70287,                0.68618,                0.67242,                0.49773,                 0.6887,                0.43295,                0.18808,                0.43974,                 0.5519,                0.40986,               0.098959,                0.64964,                      0,                0.69766,                0.67796,                0.66435,                0.47383,                0.69431,                0.46456,                0.19318,                0.44107,                0.53938,                0.40986,              -0.016073,                0.68508,               0.007725,                      0,                 0.6572,                0.58592,                0.31741,                0.48333,                0.26625,                0.73375,                0.73375,                      1
                    100,                0.60731,                0.35623,                  1.322,                0.07621,                0.84328,                0.82525,                0.86413,                0.71888,                 0.6563,                0.40009,                 1.4704,                0.08463,               0.000199,               0.000199,               0.000199,                      0,                0.69715,                0.68682,                0.67513,                0.49448,                0.68795,                0.43226,                0.19032,                0.44573,                0.54619,                0.41353,               0.098849,                0.66339,                      0,                0.69333,                0.67767,                0.66591,                0.46846,                 0.6943,                 0.4652,                0.19488,                0.44643,                0.53168,                0.41353,              -0.016218,                0.69689,              0.0078651,                      0,                0.65382,                0.58326,                0.31341,                0.48516,                0.27275,                0.72725,                0.72725,                      1
