                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,p2/P3_prompt_residual_gain,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,p2/P4_prompt_residual_gain,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     21,                 0.7282,                0.49326,                 1.3752,                0.08062,                0.78074,                 0.7958,                0.82455,                 0.6699,                0.68645,                0.44499,                 1.4847,                0.08645,                0.00802,                0.00802,                0.00802,                      0,                0.68647,                0.68284,                0.66946,                0.53403,                0.67209,                0.40233,                0.18598,                0.45048,                0.57396,                0.41286,               0.088361,                0.63391,                      0,                0.66373,                0.67505,                0.66257,                0.51121,                0.67085,                0.44139,                 0.1886,                0.45631,                0.54691,                0.41286,              0.0093669,                0.68976,              0.0092161,                      0,                0.69321,                0.57717,                0.31643,                0.47805,                 0.2735,                 0.7265,                 0.7265,                      1
                     22,                0.72226,                 0.4915,                 1.3772,                0.08071,                0.78386,                0.77099,                 0.8202,                0.66799,                0.68432,                0.44574,                 1.4673,                  0.087,               0.007921,               0.007921,               0.007921,                      0,                0.68372,                0.68195,                0.66867,                0.53434,                0.67268,                0.40563,                0.18232,                0.45155,                0.57243,                0.41166,               0.090683,                0.64221,                      0,                0.66966,                0.67596,                0.66262,                0.51312,                0.67448,                0.44035,                0.18584,                0.45318,                0.55233,                0.41166,              0.0093373,                0.68778,              0.0088289,                      0,                0.69393,                0.58783,                0.31497,                0.48757,                0.26605,                0.73395,                0.73395,                      1
                     23,                 0.7224,                 0.4875,                 1.3818,                0.08101,                0.81501,                 0.7986,                0.85148,                0.69594,                 0.6798,                0.43432,                 1.4672,                0.08647,               0.007822,               0.007822,               0.007822,                      0,                0.68667,                  0.686,                0.67226,                0.53526,                0.67218,                0.39756,                0.18627,                0.44841,                0.58494,                0.41033,               0.089664,                0.63246,                      0,                0.67064,                0.67676,                0.66362,                0.51164,                0.67432,                0.43692,                 0.1876,                0.45169,                0.56033,                0.41033,               0.010795,                 0.6844,              0.0092602,                      0,                0.69473,                0.58385,                0.31669,                 0.4814,                0.26724,                0.73276,                0.73276,                      1
                     24,                0.71959,                0.48643,                   1.38,                0.08012,                0.80769,                0.77748,                0.83754,                0.68625,                0.67787,                0.43408,                 1.4642,                 0.0859,               0.007723,               0.007723,               0.007723,                      0,                0.67923,                0.68392,                0.67319,                 0.5272,                0.66983,                0.40287,                0.18707,                0.45134,                0.57699,                0.41155,               0.087956,                0.64378,                      0,                0.66545,                0.67548,                0.66533,                0.50387,                0.67207,                0.44163,                 0.1885,                0.45455,                0.55871,                0.41155,               0.011351,                 0.6904,              0.0093093,                      0,                0.68707,                0.58422,                 0.3137,                0.48391,                0.26505,                0.73495,                0.73495,                      1
                     25,                 0.7164,                0.48104,                 1.3801,                0.08048,                0.81594,                0.81513,                0.85174,                0.69907,                0.67494,                0.42971,                 1.4512,                0.08606,               0.007624,               0.007624,               0.007624,                      0,                0.68501,                0.68391,                 0.6709,                0.53249,                0.67384,                0.40371,                0.18577,                0.45236,                0.57157,                0.41361,               0.088028,                0.64385,                      0,                0.66492,                0.67593,                0.66409,                0.50924,                0.67381,                 0.4404,                0.18837,                0.45813,                   0.55,                0.41361,               0.011265,                0.69769,              0.0087316,                      0,                 0.6919,                0.58057,                0.31345,                 0.4822,                 0.2713,                 0.7287,                 0.7287,                      1
                     26,                0.71363,                0.47938,                 1.3746,                0.08072,                0.82793,                0.77221,                0.84976,                0.69591,                0.67631,                0.42942,                 1.4575,                0.08592,               0.007525,               0.007525,               0.007525,                      0,                0.68848,                0.68547,                0.67079,                0.53372,                0.67392,                 0.4011,                0.18613,                0.44676,                0.57695,                0.41039,               0.088972,                0.63317,                      0,                0.67149,                0.67809,                0.66467,                0.51091,                0.67347,                0.43726,                0.18991,                0.45062,                0.55407,                0.41039,               0.011456,                  0.679,               0.008703,                      0,                 0.6933,                0.58507,                0.31619,                0.48268,                0.26328,                0.73672,                0.73672,                      1
                     27,                0.70901,                  0.478,                  1.376,                0.07958,                0.80886,                0.81953,                0.85769,                0.70293,                 0.6747,                0.42954,                 1.4456,                 0.0863,               0.007426,               0.007426,               0.007426,                      0,                0.69184,                0.68478,                 0.6711,                0.52325,                0.67904,                0.41229,                0.18548,                0.44851,                0.57243,                0.41328,                0.09219,                0.64481,                      0,                0.67582,                0.67646,                0.66386,                0.49957,                0.67952,                0.44724,                0.18828,                0.45196,                0.55379,                0.41328,              0.0087374,                 0.6894,              0.0086472,                      0,                0.68253,                0.58501,                 0.3114,                 0.4865,                0.27219,                0.72781,                0.72781,                      1
                     28,                0.71138,                0.47725,                 1.3747,                0.08032,                0.79016,                0.81616,                0.84294,                0.69296,                0.67514,                0.43195,                 1.4392,                0.08561,               0.007327,               0.007327,               0.007327,                      0,                0.68952,                0.68583,                0.67188,                0.53062,                0.67677,                 0.4049,                0.18639,                0.44891,                0.56834,                0.41045,               0.096853,                0.64175,                      0,                0.67502,                0.67946,                0.66537,                0.50872,                0.67689,                0.44081,                0.18923,                0.45237,                0.55072,                0.41045,              0.0057745,                0.68202,               0.008725,                      0,                0.69075,                0.58558,                 0.3148,                0.48364,                0.26691,                0.73309,                0.73309,                      1
                     29,                0.70744,                0.47429,                   1.38,                 0.0793,                0.81837,                0.81741,                0.85719,                0.70469,                0.67019,                0.42211,                  1.449,                0.08628,               0.007228,               0.007228,               0.007228,                      0,                0.69194,                0.68203,                0.66865,                0.52268,                0.67831,                0.41498,                0.18625,                0.44862,                0.56848,                0.41262,                0.10051,                0.64171,                      0,                 0.6754,                0.67396,                0.66233,                0.49727,                 0.6787,                0.45174,                  0.189,                0.45347,                0.54477,                0.41262,              0.0037247,                0.68758,              0.0090689,                      0,                0.68084,                0.58216,                0.31659,                0.48273,                0.27145,                0.72855,                0.72855,                      1
                     30,                0.71006,                0.47489,                 1.3724,                0.08054,                0.82279,                0.80883,                0.85867,                0.70714,                0.66859,                 0.4226,                 1.4453,                0.08549,               0.007129,               0.007129,               0.007129,                      0,                0.68926,                 0.6852,                0.67109,                0.53121,                0.67628,                0.40171,                0.18644,                0.44728,                0.58047,                0.40999,                0.10514,                0.64011,                      0,                0.67311,                0.67648,                0.66314,                0.50775,                0.67648,                0.44219,                0.18769,                0.45211,                0.56244,                0.40999,              0.0030187,                0.68589,               0.008484,                      0,                 0.6905,                0.58696,                0.31641,                0.48447,                0.26393,                0.73607,                0.73607,                      1
