                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss,  train/rgb_prompt_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,    val/rgb_prompt_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,  p2/P3_rgb_prompt_mean,   p2/P3_rgb_prompt_mse,   p2/P3_rgb_prompt_std,p2/P4_gder_attention_weight,p2/P4_gder_modality_weight,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,  p2/P4_rgb_prompt_mean,   p2/P4_rgb_prompt_mse,   p2/P4_rgb_prompt_std,p2/P5_gder_attention_weight,p2/P5_gder_modality_weight,p2/prompt_warmup_factor
                     33,                0.69348,                 0.4621,                 1.3666,                0.03053,                0.00045,                0.82502,                0.80874,                0.85986,                0.71707,                0.65608,                0.41359,                 1.4474,                0.02874,                 0.0004,               0.006832,               0.006832,               0.006832,               0.044659,                0.43122,                0.47588,               0.057734,                0.14284,                0.51841,               0.044731,             0.00057151,                0.50004,                0.49996,               0.031718,                0.49164,                0.52336,               0.046691,                0.14592,                0.51553,               0.044739,               0.001978,                0.50004,                0.49996,                      1
                     34,                0.68835,                0.45651,                 1.3681,                0.03043,                0.00044,                0.81075,                0.80736,                0.84754,                0.70659,                0.65696,                0.41618,                 1.4538,                0.02866,                 0.0004,               0.006733,               0.006733,               0.006733,               0.043973,                0.43447,                0.47844,               0.057215,                0.14331,                0.51861,               0.044474,              0.0005432,                0.50005,                0.49995,                0.03118,                0.49436,                0.52554,               0.046328,                0.14608,                0.51573,               0.044487,              0.0018575,                0.50004,                0.49996,                      1
                     35,                0.69056,                0.45728,                 1.3716,                0.03045,                0.00045,                0.83898,                0.81329,                0.86262,                0.72222,                0.65557,                0.40786,                 1.4483,                0.02853,                 0.0004,               0.006634,               0.006634,               0.006634,               0.043855,                0.43412,                0.47797,               0.057003,                0.14295,                0.51854,               0.044763,             0.00051022,                0.50005,                0.49995,               0.031142,                0.49625,                0.52739,               0.046248,                0.14627,                0.51588,               0.044774,              0.0017614,                0.50004,                0.49996,                      1
                     36,                0.68533,                0.45205,                 1.3631,                0.03046,                0.00045,                 0.8392,                0.81145,                0.86565,                0.72457,                0.65413,                0.40739,                 1.4455,                0.02846,                0.00039,               0.006535,               0.006535,               0.006535,               0.043904,                0.43395,                0.47785,               0.057226,                0.14321,                0.51871,               0.045138,             0.00048478,                0.50005,                0.49995,               0.030979,                0.49404,                0.52501,               0.046235,                0.14618,                0.51614,               0.045149,              0.0016688,                0.50004,                0.49996,                      1
                     37,                0.68009,                0.44934,                 1.3613,                0.03016,                0.00045,                0.81834,                0.82244,                0.86234,                0.72162,                0.65358,                0.40758,                 1.4403,                0.02842,                 0.0004,               0.006436,               0.006436,               0.006436,               0.042552,                0.43692,                0.47947,               0.055882,                 0.1429,                0.51863,               0.045145,             0.00046228,                0.50005,                0.49995,               0.030467,                0.49686,                0.52733,               0.045704,                0.14563,                 0.5162,               0.045136,              0.0015895,                0.50005,                0.49995,                      1
                     38,                0.68375,                0.45054,                 1.3692,                 0.0302,                0.00045,                0.82584,                0.82427,                 0.8633,                0.72218,                0.65336,                 0.4061,                 1.4526,                0.02839,                 0.0004,               0.006337,               0.006337,               0.006337,               0.042143,                 0.4389,                0.48105,               0.055524,                0.14317,                 0.5185,                0.04457,             0.00043787,                0.50005,                0.49995,               0.030369,                0.49848,                0.52885,               0.045638,                0.14604,                0.51621,               0.044586,               0.001492,                0.50005,                0.49995,                      1
                     39,                0.67987,                0.44546,                 1.3689,                0.03009,                0.00045,                0.83119,                 0.8207,                0.86429,                0.72312,                0.65263,                0.40388,                 1.4423,                0.02825,                 0.0004,               0.006238,               0.006238,               0.006238,                0.04244,                0.43819,                0.48063,               0.055878,                0.14311,                0.51846,                 0.0447,             0.00041752,                0.50006,                0.49994,               0.030169,                0.49988,                0.53005,               0.045578,                0.14639,                0.51624,               0.044709,              0.0014226,                0.50005,                0.49995,                      1
                     40,                0.67731,                0.44594,                 1.3634,                0.03013,                0.00045,                0.84546,                0.81462,                0.86874,                0.72666,                0.65215,                 0.4019,                 1.4456,                0.02822,                0.00039,               0.006139,               0.006139,               0.006139,               0.041847,                0.43749,                0.47934,               0.055211,                0.14307,                0.51871,               0.044813,             0.00039722,                0.50006,                0.49994,               0.029628,                0.49818,                 0.5278,               0.044929,                0.14555,                0.51641,               0.044823,              0.0013482,                0.50005,                0.49995,                      1
                     41,                0.67713,                0.44102,                 1.3708,                0.03017,                0.00045,                0.83864,                0.82512,                0.86848,                0.72722,                0.65125,                0.40208,                 1.4477,                 0.0282,                0.00039,                0.00604,                0.00604,                0.00604,               0.042635,                0.43929,                0.48193,               0.056124,                0.14377,                0.51885,               0.045136,             0.00038053,                0.50006,                0.49994,               0.030292,                0.49939,                0.52968,               0.045697,                0.14644,                0.51658,               0.045117,              0.0012736,                0.50005,                0.49995,                      1
                     42,                0.67497,                0.44034,                 1.3654,                0.03001,                0.00045,                0.84386,                0.81868,                0.87119,                0.72965,                0.65105,                0.40081,                 1.4496,                0.02814,                0.00039,               0.005941,               0.005941,               0.005941,               0.041697,                0.43989,                0.48159,                0.05514,                0.14306,                0.51867,               0.045132,             0.00035983,                0.50007,                0.49993,               0.029914,                0.50112,                0.53104,               0.045287,                0.14619,                0.51659,               0.045149,              0.0012057,                0.50005,                0.49995,                      1
                     43,                0.66991,                0.43854,                 1.3663,                0.02987,                0.00045,                0.83932,                0.82715,                 0.8728,                0.73099,                0.65045,                0.39988,                 1.4485,                0.02809,                0.00039,               0.005842,               0.005842,               0.005842,               0.040995,                0.44285,                0.48384,               0.054554,                0.14303,                0.51885,               0.045033,             0.00034107,                0.50007,                0.49993,                0.02919,                0.50124,                0.53043,               0.044619,                0.14567,                0.51683,                0.04503,               0.001148,                0.50005,                0.49995,                      1
                     44,                0.67103,                0.43536,                 1.3656,                0.02999,                0.00045,                0.84698,                0.81996,                0.87372,                0.73138,                 0.6508,                0.39898,                 1.4507,                0.02806,                0.00039,               0.005743,               0.005743,               0.005743,                0.04189,                0.44186,                0.48375,               0.055536,                0.14411,                0.51884,               0.045138,             0.00032672,                0.50008,                0.49992,               0.029577,                0.50115,                0.53073,               0.045124,                0.14643,                0.51705,                0.04513,              0.0010876,                0.50006,                0.49994,                      1
                     45,                0.67477,                0.43812,                 1.3692,                0.02983,                0.00045,                0.85341,                0.81773,                0.87469,                0.73277,                0.65084,                0.39751,                 1.4497,                0.02802,                0.00039,               0.005644,               0.005644,               0.005644,               0.040768,                0.44125,                0.48202,               0.054195,                0.14291,                0.51887,               0.044883,              0.0003125,                0.50008,                0.49992,               0.029289,                0.50174,                0.53103,               0.044629,                0.14559,                0.51724,               0.044892,              0.0010403,                0.50006,                0.49994,                      1
                     46,                0.67062,                0.43578,                 1.3708,                 0.0298,                0.00045,                0.83999,                0.82913,                0.87331,                0.73163,                0.65045,                0.39747,                 1.4498,                0.02797,                0.00039,               0.005545,               0.005545,               0.005545,               0.040861,                0.44141,                0.48227,               0.054242,                0.14275,                0.51892,               0.044939,             0.00029816,                0.50008,                0.49992,               0.029066,                0.50221,                0.53127,               0.044362,                0.14537,                0.51734,               0.044939,               0.000994,                0.50006,                0.49994,                      1
                     47,                 0.6695,                  0.432,                 1.3629,                0.02976,                0.00045,                0.84007,                0.82964,                0.87259,                0.73146,                0.64964,                0.39735,                 1.4483,                0.02793,                0.00039,               0.005446,               0.005446,               0.005446,               0.040705,                0.44462,                0.48533,               0.054241,                0.14382,                0.51884,               0.044719,             0.00028667,                0.50009,                0.49991,               0.029074,                0.50555,                0.53462,               0.044543,                0.14643,                0.51743,               0.044727,             0.00094276,                0.50006,                0.49994,                      1
                     48,                0.66895,                0.43394,                 1.3657,                0.02978,                0.00045,                 0.8437,                0.82202,                0.86979,                0.72875,                0.64984,                0.39771,                 1.4457,                0.02791,                0.00039,               0.005347,               0.005347,               0.005347,               0.040226,                0.44227,                 0.4825,               0.053731,                0.14315,                0.51856,                0.04501,             0.00027322,                0.50009,                0.49991,               0.028941,                 0.5041,                0.53304,               0.044403,                0.14602,                0.51747,               0.044981,             0.00090449,                0.50006,                0.49994,                      1
                     49,                 0.6656,                0.42927,                 1.3567,                0.02962,                0.00045,                0.84523,                0.82009,                0.86774,                0.72741,                0.64946,                0.39801,                 1.4446,                0.02788,                0.00039,               0.005248,               0.005248,               0.005248,                   0.04,                0.44542,                0.48542,               0.053547,                0.14307,                0.51842,               0.044869,             0.00025797,                 0.5001,                 0.4999,               0.028784,                0.50738,                0.53616,               0.044278,                0.14611,                0.51751,               0.044864,              0.0008519,                0.50006,                0.49994,                      1
                     50,                0.65984,                 0.4236,                  1.362,                0.02974,                0.00045,                0.85138,                0.81601,                0.86681,                0.72695,                0.64915,                0.39773,                  1.447,                0.02784,                0.00039,               0.005149,               0.005149,               0.005149,               0.039883,                0.44507,                0.48495,               0.053654,                0.14379,                0.51841,               0.044856,              0.0002468,                 0.5001,                 0.4999,               0.028687,                0.50522,                 0.5339,               0.044396,                0.14634,                0.51757,               0.044836,             0.00081452,                0.50006,                0.49994,                      1
                     51,                0.66467,                0.42808,                 1.3636,                0.02965,                0.00045,                0.85358,                0.81153,                0.86555,                0.72646,                 0.6487,                 0.3985,                 1.4476,                0.02782,                0.00039,                0.00505,                0.00505,                0.00505,               0.040517,                0.44509,                 0.4856,               0.054189,                0.14405,                 0.5184,               0.044813,             0.00023744,                0.50011,                0.49989,               0.028768,                0.50651,                0.53528,                0.04441,                0.14634,                0.51766,               0.044814,             0.00077709,                0.50006,                0.49994,                      1
                     52,                  0.659,                0.42422,                 1.3664,                 0.0294,                0.00045,                0.85209,                0.81344,                0.86524,                0.72625,                0.64824,                0.39848,                 1.4475,                0.02779,                0.00039,               0.004951,               0.004951,               0.004951,               0.039179,                0.44583,                0.48501,               0.052657,                0.14229,                0.51867,               0.045236,             0.00022861,                0.50012,                0.49988,                0.02835,                0.50755,                 0.5359,               0.043762,                0.14555,                0.51786,               0.045271,             0.00074536,                0.50007,                0.49993,                      1
