                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,   p2/P4_rgb_win_recall,p2/P5_gate_direction_loss,    p2/P5_ir_win_recall,p2/P5_object_balanced_loss,p2/P5_object_calibrated_loss,p2/P5_object_hard_winner_loss,p2/P5_object_prompt_accuracy,p2/P5_object_prompt_correlation,p2/P5_object_prompt_mae,p2/P5_object_prompt_rgb, p2/P5_object_rank_loss,p2/P5_object_target_rgb,   p2/P5_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     21,                 0.7287,                0.49403,                 1.3754,                0.09392,                0.78574,                 0.7944,                0.82833,                0.67432,                0.68698,                0.44405,                 1.4784,                0.10084,                0.00802,                0.00802,                0.00802,                      0,                0.68457,                0.68321,                0.67008,                0.53436,                0.67074,                0.40095,                0.18627,                0.45069,                0.57371,                0.41286,                0.63398,                      0,                0.66303,                0.67577,                0.66334,                0.51027,                0.67092,                  0.442,                0.18939,                0.45662,                0.54835,                0.41286,                 0.6919,                      0,                0.71551,                0.68802,                0.67344,                0.51729,                0.69398,                0.40586,                0.19304,                0.45203,                0.55778,                0.41286,                0.63681,                 0.0159,                      0,                0.80756,                0.57717,                0.31643,                0.47805,                 0.2735,                 0.7265,                 0.7265,                      1
                     22,                0.72329,                0.49147,                 1.3797,                0.09389,                0.80015,                0.77359,                0.82707,                0.67622,                0.68244,                0.43984,                  1.466,                0.10159,               0.007921,               0.007921,               0.007921,                      0,                0.68577,                0.68267,                 0.6695,                0.53368,                0.67388,                0.40368,                  0.183,                0.45031,                0.57264,                0.41166,                0.64107,                      0,                0.66854,                0.67539,                0.66225,                0.51102,                 0.6745,                0.44249,                 0.1864,                0.45361,                0.55268,                0.41166,                0.69093,                      0,                0.72097,                0.68766,                 0.6718,                0.51649,                 0.6993,                0.40882,                0.18982,                0.44992,                0.56072,                0.41166,                0.63953,               0.015502,                      0,                0.80697,                0.58783,                0.31497,                0.48757,                0.26605,                0.73395,                0.73395,                      1
                     23,                0.72267,                0.48771,                 1.3844,                0.09422,                0.78556,                0.79114,                0.82786,                0.67421,                0.68567,                0.44567,                 1.4777,                0.10174,               0.007822,               0.007822,               0.007822,                      0,                0.68713,                0.68596,                0.67201,                0.53514,                0.67308,                0.39786,                  0.186,                0.44842,                0.58479,                0.41033,                0.63454,                      0,                0.67404,                0.67666,                0.66312,                0.51064,                0.67594,                0.43768,                 0.1881,                0.45112,                0.55691,                0.41033,                0.68114,                      0,                0.71839,                0.68945,                0.67399,                0.51514,                0.69646,                0.40589,                0.19249,                0.44883,                 0.5667,                0.41033,                0.63634,               0.015766,                      0,                0.80818,                0.58385,                0.31669,                 0.4814,                0.26724,                0.73276,                0.73276,                      1
                     24,                0.72072,                0.48784,                 1.3783,                0.09317,                0.81753,                0.78516,                0.84952,                0.69559,                 0.6779,                0.43545,                 1.4456,                0.10032,               0.007723,               0.007723,               0.007723,                      0,                0.67838,                0.68327,                0.67282,                0.52659,                0.66936,                0.40338,                0.18685,                0.45142,                0.57427,                0.41155,                0.64438,                      0,                0.66541,                0.67549,                0.66523,                0.50253,                 0.6723,                0.44279,                0.18873,                 0.4542,                0.55922,                0.41155,                0.69139,                      0,                0.71468,                0.68869,                0.67537,                0.50892,                0.69617,                0.41007,                0.19339,                0.45042,                0.56347,                0.41155,                0.64485,               0.016029,                      0,                0.79911,                0.58422,                 0.3137,                0.48391,                0.26505,                0.73495,                0.73495,                      1
                     25,                0.71759,                0.48235,                 1.3802,                0.09372,                0.80904,                0.81907,                0.84921,                0.69491,                 0.6776,                0.42995,                 1.4599,                0.10062,               0.007624,               0.007624,               0.007624,                      0,                0.68216,                0.68347,                0.67088,                0.53297,                0.67205,                0.40288,                 0.1853,                0.45306,                0.57151,                0.41361,                 0.6449,                      0,                0.66375,                0.67722,                0.66554,                0.50762,                0.67289,                0.43982,                0.18978,                 0.4575,                0.55032,                0.41361,                0.69747,                      0,                0.71367,                0.68999,                0.67563,                0.51473,                0.69533,                0.40654,                0.19323,                0.45289,                0.55676,                0.41361,                0.64606,               0.015325,                      0,                0.80573,                0.58057,                0.31345,                 0.4822,                 0.2713,                 0.7287,                 0.7287,                      1
                     26,                0.71256,                0.48001,                 1.3726,                0.09402,                0.82021,                0.79024,                0.85046,                0.69625,                0.67731,                0.42711,                 1.4621,                0.10091,               0.007525,               0.007525,               0.007525,                      0,                0.68563,                0.68486,                0.67078,                0.53273,                0.67189,                0.40133,                0.18621,                0.44692,                 0.5792,                0.41039,                0.63343,                      0,                 0.6679,                0.67823,                0.66477,                0.51191,                0.67224,                0.43812,                0.19018,                0.45168,                0.55393,                0.41039,                0.68439,                      0,                0.71487,                0.68993,                0.67392,                0.51747,                0.69341,                0.40691,                0.19409,                0.44808,                0.56273,                0.41039,                0.63336,               0.015537,                      0,                0.80731,                0.58507,                0.31619,                0.48268,                0.26328,                0.73672,                0.73672,                      1
                     27,                0.70971,                0.47837,                 1.3774,                0.09256,                0.81575,                0.82197,                0.86094,                0.70734,                0.67341,                0.42134,                 1.4559,                0.10129,               0.007426,               0.007426,               0.007426,                      0,                0.68978,                0.68365,                0.67081,                0.52257,                0.67763,                0.41073,                0.18588,                0.44837,                0.57095,                0.41328,                0.64515,                      0,                0.67302,                0.67645,                0.66425,                 0.4997,                0.67846,                0.44732,                0.18869,                 0.4529,                0.55402,                0.41328,                  0.693,                      0,                0.71933,                0.68916,                0.67469,                0.50215,                 0.7017,                0.41932,                 0.1933,                0.45163,                0.55969,                0.41328,                0.65459,               0.015446,                      0,                0.79391,                0.58501,                 0.3114,                 0.4865,                0.27219,                0.72781,                0.72781,                      1
                     28,                  0.711,                0.47672,                 1.3725,                0.09321,                0.82062,                0.78577,                0.83781,                0.68919,                0.67344,                0.43072,                  1.451,                0.10021,               0.007327,               0.007327,               0.007327,                      0,                0.68823,                0.68554,                0.67208,                0.52846,                0.67629,                0.40513,                0.18692,                0.44796,                0.56594,                0.41045,                0.64349,                      0,                0.67295,                0.67944,                0.66578,                0.50596,                0.67661,                0.44252,                0.19039,                0.45242,                0.54909,                0.41045,                0.68665,                      0,                0.71803,                0.69089,                0.67425,                0.50915,                0.69852,                0.41708,                0.19376,                0.44888,                 0.5578,                0.41045,                0.64494,               0.015246,                      0,                0.80141,                0.58558,                 0.3148,                0.48364,                0.26691,                0.73309,                0.73309,                      1
                     29,                0.70711,                0.47338,                 1.3839,                0.09211,                0.84057,                0.81756,                0.86833,                0.71292,                0.67287,                0.41664,                 1.4584,                0.10016,               0.007228,               0.007228,               0.007228,                      0,                0.69002,                0.68114,                0.66856,                0.52061,                0.67748,                 0.4161,                0.18649,                0.44878,                0.56572,                0.41262,                0.64383,                      0,                0.67228,                0.67371,                0.66196,                 0.4972,                0.67735,                0.45285,                0.18923,                0.45414,                0.54513,                0.41262,                0.69095,                      0,                0.71488,                0.68749,                0.67405,                0.50048,                0.69952,                0.42256,                0.19459,                 0.4516,                0.55234,                0.41262,                0.65831,               0.015656,                      0,                0.79089,                0.58216,                0.31659,                0.48273,                0.27145,                0.72855,                0.72855,                      1
                     30,                0.70939,                0.47477,                 1.3718,                 0.0935,                0.81006,                0.82265,                0.85599,                0.70266,                0.66981,                0.42399,                 1.4488,                0.09981,               0.007129,               0.007129,               0.007129,                      0,                0.68895,                 0.6847,                0.67112,                0.52963,                0.67574,                0.40276,                 0.1866,                0.44679,                0.57767,                0.40999,                0.63888,                      0,                0.67323,                  0.677,                0.66383,                0.50665,                0.67621,                 0.4423,                0.18852,                0.45125,                0.56073,                0.40999,                0.68454,                      0,                0.71188,                0.68871,                0.67442,                0.50693,                0.69673,                0.41657,                0.19394,                0.44919,                0.56465,                0.40999,                0.65446,               0.015186,                      0,                0.80173,                0.58696,                0.31641,                0.48447,                0.26393,                0.73607,                0.73607,                      1
