                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,train/object_reliability_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,val/object_reliability_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,p2/P3_gate_direction_loss,    p2/P3_ir_win_recall,p2/P3_object_balanced_loss,p2/P3_object_calibrated_loss,p2/P3_object_hard_winner_loss,p2/P3_object_prompt_accuracy,p2/P3_object_prompt_correlation,p2/P3_object_prompt_mae,p2/P3_object_prompt_rgb, p2/P3_object_rank_loss,p2/P3_object_target_rgb,   p2/P3_rgb_win_recall,p2/P4_gate_direction_loss,    p2/P4_ir_win_recall,p2/P4_object_balanced_loss,p2/P4_object_calibrated_loss,p2/P4_object_hard_winner_loss,p2/P4_object_prompt_accuracy,p2/P4_object_prompt_correlation,p2/P4_object_prompt_mae,p2/P4_object_prompt_rgb, p2/P4_object_rank_loss,p2/P4_object_target_rgb,p2/P4_prompt_residual_gain,   p2/P4_rgb_win_recall,p2/object_cross_scale_consistency,p2/object_gate_raw_loss,p2/object_prompt_raw_loss,  p2/teacher_ir_quality,p2/teacher_relative_margin, p2/teacher_rgb_quality,p2/teacher_rgb_win_rate, p2/teacher_ir_win_rate,p2/teacher_majority_baseline,p2/object_reliability_warmup_factor
                     25,                0.71724,                0.48348,                 1.3772,                0.08053,                0.81066,                0.81303,                0.85473,                0.70093,                0.67439,                0.43225,                 1.4405,                0.08587,               0.007624,               0.007624,               0.007624,                      0,                0.68214,                0.68354,                0.67108,                0.53229,                0.67244,                0.40346,                0.18578,                 0.4528,                0.56907,                0.41361,                0.64639,                      0,                0.65773,                0.67796,                 0.6663,                0.51097,                0.66975,                0.43824,                0.18982,                0.45909,                0.55296,                0.41361,               0.018209,                0.70204,              0.0087171,                      0,                0.69255,                0.58057,                0.31345,                 0.4822,                 0.2713,                 0.7287,                 0.7287,                      1
                     26,                 0.7136,                0.48156,                   1.37,                0.08067,                0.82868,                0.78596,                0.85415,                0.70064,                 0.6766,                0.42746,                 1.4577,                0.08616,               0.007525,               0.007525,               0.007525,                      0,                0.68877,                0.68557,                0.67155,                0.53196,                0.67393,                0.40144,                0.18643,                0.44631,                 0.5749,                0.41039,                0.63242,                      0,                0.66472,                0.67901,                 0.6653,                0.51296,                 0.6705,                0.43846,                0.18983,                0.45193,                0.55585,                0.41039,               0.018772,                0.68667,              0.0086629,                      0,                0.69299,                0.58507,                0.31619,                0.48268,                0.26328,                0.73672,                0.73672,                      1
                     27,                0.71031,                 0.4783,                 1.3748,                0.07949,                0.81608,                0.81564,                0.85992,                0.70314,                0.67445,                0.42797,                   1.44,                0.08655,               0.007426,               0.007426,               0.007426,                      0,                0.68986,                0.68387,                0.67093,                0.52206,                 0.6776,                0.41149,                0.18552,                0.44879,                0.57019,                0.41328,                0.64482,                      0,                0.66914,                0.67764,                0.66559,                0.49995,                0.67643,                0.44564,                0.18922,                0.45285,                0.55415,                0.41328,               0.016799,                0.69591,              0.0084775,                      0,                0.68198,                0.58501,                 0.3114,                 0.4865,                0.27219,                0.72781,                0.72781,                      1
                     28,                0.71291,                0.47935,                 1.3702,                0.08017,                0.79381,                0.79899,                 0.8368,                 0.6866,                 0.6745,                0.43678,                 1.4414,                0.08614,               0.007327,               0.007327,               0.007327,                      0,                0.68927,                0.68546,                0.67173,                0.52849,                0.67719,                 0.4068,                0.18671,                0.44872,                0.56541,                0.41045,                0.64401,                      0,                0.66749,                 0.6814,                0.66784,                0.50884,                0.67444,                0.43925,                0.19096,                0.45341,                0.55102,                0.41045,               0.015858,                0.69355,              0.0086643,                      0,                0.68955,                0.58558,                 0.3148,                0.48364,                0.26691,                0.73309,                0.73309,                      1
                     29,                 0.7078,                0.47515,                 1.3778,                0.07916,                0.82733,                0.81971,                0.86187,                0.70768,                0.67173,                0.42278,                 1.4502,                 0.0864,               0.007228,               0.007228,               0.007228,                      0,                0.69099,                0.68154,                0.66915,                 0.5204,                0.67847,                0.41576,                0.18656,                0.44915,                0.56597,                0.41262,                0.64489,                      0,                0.66755,                0.67604,                0.66444,                0.49804,                0.67515,                0.44968,                0.19072,                0.45429,                0.54444,                0.41262,               0.019714,                0.69554,              0.0089561,                      0,                0.67985,                0.58216,                0.31659,                0.48273,                0.27145,                0.72855,                0.72855,                      1
                     30,                0.70973,                0.47603,                 1.3708,                 0.0804,                0.82434,                0.81442,                0.85657,                0.70236,                0.66954,                0.42402,                 1.4461,                0.08575,               0.007129,               0.007129,               0.007129,                      0,                0.68736,                0.68492,                0.67158,                 0.5291,                 0.6748,                0.40397,                 0.1867,                0.44794,                0.57759,                0.40999,                0.63976,                      0,                0.66838,                0.67883,                0.66613,                0.50837,                0.67333,                0.43869,                0.18979,                0.45182,                0.56058,                0.40999,               0.019239,                0.68714,              0.0085073,                      0,                0.68963,                0.58696,                0.31641,                0.48447,                0.26393,                0.73607,                0.73607,                      1
                     31,                0.70618,                0.46879,                 1.3767,                0.07999,                0.81985,                0.82503,                0.86107,                0.71001,                0.66875,                0.41984,                 1.4479,                0.08578,                0.00703,                0.00703,                0.00703,                      0,                0.68918,                 0.6855,                0.67318,                0.52475,                0.67583,                0.40416,                0.18647,                 0.4483,                0.57797,                0.41219,                0.63952,                      0,                0.66782,                0.68094,                0.66923,                0.50301,                0.67399,                0.43821,                0.19113,                0.45283,                0.56122,                0.41219,               0.021153,                0.69077,              0.0087072,                      0,                0.68547,                0.58494,                0.31166,                0.48516,                0.26876,                0.73124,                0.73124,                      1
                     32,                0.70593,                 0.4706,                 1.3768,                0.08006,                 0.8142,                0.81314,                0.85687,                0.70483,                0.66855,                0.42059,                 1.4457,                0.08572,               0.006931,               0.006931,               0.006931,                      0,                0.69178,                0.68674,                 0.6728,                0.52541,                0.67625,                0.40584,                0.18683,                0.44589,                 0.5696,                0.41152,                0.63401,                      0,                0.67061,                0.68094,                0.66796,                0.50833,                0.67382,                0.43588,                0.19019,                0.45033,                0.55715,                0.41152,               0.019295,                0.68256,              0.0081697,                      0,                0.68752,                0.58439,                0.31392,                 0.4837,                0.26886,                0.73114,                0.73114,                      1
                     33,                0.70044,                0.46438,                 1.3769,                0.07935,                0.82762,                0.82375,                0.86465,                0.71128,                0.66854,                0.41701,                 1.4605,                0.08563,               0.006832,               0.006832,               0.006832,                      0,                0.68816,                 0.6831,                0.67065,                0.52191,                0.67438,                0.41049,                0.18747,                0.44806,                  0.563,                0.41208,                0.63739,                      0,                0.66999,                0.67783,                0.66579,                0.50046,                0.67501,                 0.4438,                0.19181,                 0.4517,                 0.5457,                0.41208,               0.019575,                0.68848,              0.0085842,                      0,                0.68202,                0.58181,                0.31676,                0.48126,                0.27149,                0.72851,                0.72851,                      1
                     34,                0.69837,                0.46252,                 1.3743,                0.07985,                0.81372,                0.82456,                0.85698,                0.70426,                0.66809,                0.41964,                 1.4525,                0.08529,               0.006733,               0.006733,               0.006733,                      0,                0.69177,                0.68675,                0.67418,                0.52483,                0.67883,                0.40537,                0.18736,                0.44667,                0.56682,                0.41202,                0.64339,                      0,                0.67532,                0.67998,                0.66772,                0.50437,                0.67915,                0.44052,                0.19011,                0.45038,                0.55336,                0.41202,               0.019072,                0.68965,              0.0084132,                      0,                0.68602,                0.58284,                0.31387,                0.48265,                0.26744,                0.73256,                0.73256,                      1
