                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   train/ir_prompt_loss, train/rgb_spatial_loss,  train/rgb_global_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,     val/ir_prompt_loss,   val/rgb_spatial_loss,    val/rgb_global_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,       p2/P3_ir_bg_mean,     p2/P3_ir_fg_bg_gap,       p2/P3_ir_fg_mean,   p2/P3_ir_prompt_mean,    p2/P3_ir_prompt_std,       p2/P4_ir_bg_mean,     p2/P4_ir_fg_bg_gap,       p2/P4_ir_fg_mean,   p2/P4_ir_prompt_mean,    p2/P4_ir_prompt_std,p2/prompt_warmup_factor
                     28,                0.69771,                0.46905,                 1.3682,                0.03129,                      0,                      0,                0.81564,                0.80251,                0.85357,                 0.7104,                0.66156,                0.42135,                 1.4449,                0.02942,                      0,                      0,               0.007327,               0.007327,               0.007327,               0.045627,                0.43069,                0.47632,               0.058766,                0.14362,               0.038384,                0.47066,                0.50904,               0.052831,                0.14572,                      1
                     29,                0.69797,                0.46791,                 1.3776,                0.03115,                      0,                      0,                0.79719,                0.81235,                0.84279,                0.70085,                0.66022,                0.42018,                 1.4557,                0.02934,                      0,                      0,               0.007228,               0.007228,               0.007228,               0.044531,                0.43144,                0.47597,               0.057634,                0.14288,               0.037034,                0.47212,                0.50915,               0.051457,                0.14531,                      1
                     30,                0.69558,                0.46626,                 1.3704,                0.03108,                      0,                      0,                0.81203,                0.81686,                0.85158,                0.71095,                0.66032,                0.41883,                 1.4443,                0.02921,                      0,                      0,               0.007129,               0.007129,               0.007129,               0.044569,                0.43261,                0.47718,               0.057723,                0.14293,               0.036607,                0.47306,                0.50967,               0.051079,                 0.1452,                      1
                     31,                0.69928,                0.46832,                 1.3739,                0.03102,                      0,                      0,                0.81499,                0.82084,                0.85523,                0.71177,                0.65873,                0.41692,                  1.448,                0.02914,                      0,                      0,                0.00703,                0.00703,                0.00703,               0.044016,                0.43066,                0.47468,               0.057106,                0.14309,               0.035884,                0.47451,                 0.5104,               0.050395,                0.14564,                      1
                     32,                0.69301,                0.46202,                 1.3744,                0.03093,                      0,                      0,                0.83589,                0.80748,                0.86198,                0.71964,                0.65781,                0.41097,                 1.4438,                0.02903,                      0,                      0,               0.006931,               0.006931,               0.006931,               0.044626,                 0.4341,                0.47872,               0.057895,                0.14395,               0.035531,                0.47848,                0.51401,               0.050259,                0.14607,                      1
                     33,                0.69323,                0.46123,                  1.369,                0.03077,                      0,                      0,                0.81271,                0.81675,                0.85936,                0.71909,                0.65448,                0.41115,                 1.4547,                0.02893,                      0,                      0,               0.006832,               0.006832,               0.006832,               0.043546,                0.43441,                0.47795,               0.056719,                0.14313,               0.034901,                0.47911,                0.51401,                 0.0495,                0.14564,                      1
                     34,                0.68823,                0.45633,                 1.3707,                0.03069,                      0,                      0,                0.82295,                0.80779,                0.85752,                0.71669,                0.65562,                0.41286,                 1.4512,                0.02883,                      0,                      0,               0.006733,               0.006733,               0.006733,               0.043214,                0.43633,                0.47954,               0.056512,                0.14369,               0.034178,                0.48263,                 0.5168,               0.048967,                0.14583,                      1
                     35,                0.69038,                0.45732,                  1.372,                0.03066,                      0,                      0,                 0.8248,                0.81708,                0.85967,                0.71803,                0.65516,                0.41019,                 1.4463,                0.02875,                      0,                      0,               0.006634,               0.006634,               0.006634,               0.043321,                0.43673,                0.48005,               0.056541,                0.14337,               0.034128,                0.48573,                0.51986,               0.048929,                0.14618,                      1
                     36,                0.68488,                0.45217,                 1.3608,                0.03069,                      0,                      0,                 0.8214,                0.81614,                0.86117,                0.72052,                0.65302,                0.40883,                 1.4468,                0.02869,                      0,                      0,               0.006535,               0.006535,               0.006535,               0.042879,                0.43512,                  0.478,               0.056247,                0.14314,               0.033618,                0.48362,                0.51724,               0.048545,                0.14618,                      1
                     37,                0.68063,                0.44965,                 1.3627,                0.03034,                      0,                      0,                0.80663,                0.83887,                0.86558,                0.72428,                0.65157,                0.40887,                 1.4379,                0.02861,                      0,                      0,               0.006436,               0.006436,               0.006436,               0.041678,                0.43903,                0.48071,               0.055064,                 0.1429,               0.033152,                0.48833,                0.52148,               0.048127,                0.14591,                      1
